https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EPX,Volume USDT
1663462800,2022-09-18 01:00:00,EPX/USDT,0.000468,0.000468,0.000468,0.000468,482.7537,0.2259287316
1663459200,2022-09-18 00:00:00,EPX/USDT,0.000471,0.000473,0.000467,0.00047,626385.1702,294.3832074208
1663455600,2022-09-17 23:00:00,EPX/USDT,0.00047,0.000483,0.00047,0.000471,1125741.2812,539.5203147137
1663452000,2022-09-17 22:00:00,EPX/USDT,0.00047,0.000471,0.00047,0.00047,66098.7435,31.0706841885
1663448400,2022-09-17 21:00:00,EPX/USDT,0.000472,0.000472,0.000469,0.00047,180247.5471,84.5666574831
1663444800,2022-09-17 20:00:00,EPX/USDT,0.00047,0.00048,0.00047,0.000472,540514.5204,257.7507244837
1663441200,2022-09-17 19:00:00,EPX/USDT,0.000469,0.000471,0.000467,0.000467,344658.5524,161.839174468
1663437600,2022-09-17 18:00:00,EPX/USDT,0.000469,0.000469,0.000467,0.000467,1835098.9861,857.0012735031
1663434000,2022-09-17 17:00:00,EPX/USDT,0.00047,0.000472,0.00047,0.00047,1862258.744,875.3019228178
1663430400,2022-09-17 16:00:00,EPX/USDT,0.000468,0.000472,0.000467,0.000472,175550.2586,82.1024727968
1663426800,2022-09-17 15:00:00,EPX/USDT,0.000469,0.00047,0.000469,0.00047,3679.6832,1.7265542955
1663423200,2022-09-17 14:00:00,EPX/USDT,0.000471,0.000471,0.000471,0.000471,4778.5,2.2506735
1663419600,2022-09-17 13:00:00,EPX/USDT,0.000469,0.00047,0.000469,0.00047,2886.1859,1.3555425645
1663416000,2022-09-17 12:00:00,EPX/USDT,0.000468,0.000468,0.000467,0.000467,2886.1859,1.3497701927
1663412400,2022-09-17 11:00:00,EPX/USDT,0.00047,0.000476,0.000469,0.000469,71375.9472,33.644745801
1663408800,2022-09-17 10:00:00,EPX/USDT,0.000471,0.000481,0.000471,0.000471,1403573.7488,668.4222235847
1663405200,2022-09-17 09:00:00,EPX/USDT,0.000469,0.000471,0.000469,0.00047,35171.5874,16.5363182827
1663401600,2022-09-17 08:00:00,EPX/USDT,0.000467,0.000469,0.000467,0.000469,13092.7647,6.1150116947
1663398000,2022-09-17 07:00:00,EPX/USDT,0.000468,0.000469,0.000467,0.000467,43812.0896,20.5046794602
1663394400,2022-09-17 06:00:00,EPX/USDT,0.00047,0.000472,0.000467,0.000467,134660.8388,62.998512164
1663390800,2022-09-17 05:00:00,EPX/USDT,0.000471,0.000477,0.000469,0.000471,890561.7764,421.3389898571
