https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CREDI,Volume USDT
1663459200,2022-09-18 00:00:00,CREDI/USDT,0.00169,0.00169,0.001653,0.00166,2608085.8267,4341.1173537533
1663372800,2022-09-17 00:00:00,CREDI/USDT,0.001646,0.001969,0.0016,0.00169,34803418.4381,60655.8205918947
1663286400,2022-09-16 00:00:00,CREDI/USDT,0.001654,0.002096,0.00155,0.001646,88597193.214,159783.8187114697
1663200000,2022-09-15 00:00:00,CREDI/USDT,0.00166,0.001771,0.001575,0.00166,28374285.6873,46903.9242312125
1663113600,2022-09-14 00:00:00,CREDI/USDT,0.001727,0.002984,0.001544,0.00166,179435452.3812,332275.190871672
1663027200,2022-09-13 00:00:00,CREDI/USDT,0.001994,0.002082,0.001579,0.001721,102467129.8173,186561.4483965437
1662940800,2022-09-12 00:00:00,CREDI/USDT,0.001602,0.00377,0.001546,0.001982,398325798.3727123,1023959.43706892299944
1662854400,2022-09-11 00:00:00,CREDI/USDT,0.001533,0.001638,0.001496,0.001601,14917519.8234,23176.2888557348
1662768000,2022-09-10 00:00:00,CREDI/USDT,0.00156,0.00185,0.00141,0.001534,59812978.0326,94666.6064288144
1662681600,2022-09-09 00:00:00,CREDI/USDT,0.001489,0.001654,0.00143,0.001569,43714932.1552,65773.2662775655
1662595200,2022-09-08 00:00:00,CREDI/USDT,0.001723,0.001723,0.001444,0.0015,73344643.6455,116491.0947260042
1662508800,2022-09-07 00:00:00,CREDI/USDT,0.001369,0.00397,0.001368,0.001726,332386687.34231045,750039.98646909802755
1662422400,2022-09-06 00:00:00,CREDI/USDT,0.00149,0.00169,0.001334,0.001369,51059290.2442,74912.2144884311
1662336000,2022-09-05 00:00:00,CREDI/USDT,0.001415,0.001524,0.00137,0.00149,40071975.2579,56452.931216088
1662249600,2022-09-04 00:00:00,CREDI/USDT,0.001482,0.0018,0.001402,0.001419,36416533.2899,57850.0348776234
1662163200,2022-09-03 00:00:00,CREDI/USDT,0.00137,0.001706,0.00137,0.001484,28391173.362,41162.6028915268
1662076800,2022-09-02 00:00:00,CREDI/USDT,0.001357,0.001484,0.001356,0.00137,12524612.6814,17395.3873363683
1661990400,2022-09-01 00:00:00,CREDI/USDT,0.001423,0.001443,0.001325,0.001357,10757169.2126,14773.615739348
1661904000,2022-08-31 00:00:00,CREDI/USDT,0.00143,0.001489,0.001413,0.001431,35268984.079,50654.0414294272
1661817600,2022-08-30 00:00:00,CREDI/USDT,0.00147,0.00167,0.00142,0.00143,61085718.1641,90942.6531054704
