https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PEL,Volume USDT
1663459200,2022-09-18 00:00:00,PEL/USDT,0.01346,0.0136,0.01333,0.01341,320585.9061,4328.306966446
1663372800,2022-09-17 00:00:00,PEL/USDT,0.01324,0.01413,0.01305,0.01346,8082649.6442,109331.701184919
1663286400,2022-09-16 00:00:00,PEL/USDT,0.01423,0.01423,0.0127,0.01325,7954317.2932,107988.272411718
1663200000,2022-09-15 00:00:00,PEL/USDT,0.0146,0.01486,0.0133,0.01423,8383889.1697,115788.870042656
1663113600,2022-09-14 00:00:00,PEL/USDT,0.01326,0.01542,0.01315,0.01465,10040049.6667,142532.520795847
1663027200,2022-09-13 00:00:00,PEL/USDT,0.0135,0.01372,0.01315,0.01326,9085325.1028,121089.954755035
1662940800,2022-09-12 00:00:00,PEL/USDT,0.01328,0.01375,0.01308,0.01347,10323935.5324,138754.66023554
1662854400,2022-09-11 00:00:00,PEL/USDT,0.01351,0.01416,0.01326,0.01334,8730199.703,118279.458128934
1662768000,2022-09-10 00:00:00,PEL/USDT,0.01367,0.017,0.01301,0.01351,10977691.4213,156472.881877819
1662681600,2022-09-09 00:00:00,PEL/USDT,0.01316,0.01396,0.013,0.01371,8931462.5683,119164.802294265
1662595200,2022-09-08 00:00:00,PEL/USDT,0.01479,0.01485,0.013,0.01318,7910189.334,106389.459173076
1662508800,2022-09-07 00:00:00,PEL/USDT,0.01303,0.0194,0.01254,0.01482,19328032.9079,296235.149584833
1662422400,2022-09-06 00:00:00,PEL/USDT,0.01382,0.0141,0.01281,0.01303,9987969.72525072,134774.6107087312128
1662336000,2022-09-05 00:00:00,PEL/USDT,0.01489,0.01501,0.01365,0.01386,8932918.9849,127282.0302257
1662249600,2022-09-04 00:00:00,PEL/USDT,0.01505,0.01577,0.0144,0.0149,8295496.4389,124935.184081196
1662163200,2022-09-03 00:00:00,PEL/USDT,0.01543,0.0161,0.015,0.01507,8036156.4868,124714.090350078
1662076800,2022-09-02 00:00:00,PEL/USDT,0.01562,0.01586,0.0146,0.0155,8090707.8401,125228.431232815
1661990400,2022-09-01 00:00:00,PEL/USDT,0.016,0.0162,0.01504,0.01568,8065454.6344,124567.294918015
1661904000,2022-08-31 00:00:00,PEL/USDT,0.01503,0.01639,0.01497,0.01606,7947607.5958,124318.745079528
1661817600,2022-08-30 00:00:00,PEL/USDT,0.01616,0.01643,0.01501,0.01504,7958050.463,124861.960280077
1661731200,2022-08-29 00:00:00,PEL/USDT,0.01563,0.01629,0.0152,0.01618,8042238.2719,124883.240473922
1661644800,2022-08-28 00:00:00,PEL/USDT,0.01518,0.01692,0.01505,0.01563,7925738.103,124841.194920058
1661558400,2022-08-27 00:00:00,PEL/USDT,0.01558,0.01601,0.01497,0.01518,9741159.1168,151324.034003135
1661472000,2022-08-26 00:00:00,PEL/USDT,0.01677,0.0179,0.0155,0.01563,8980496.598,151168.066506288
1661385600,2022-08-25 00:00:00,PEL/USDT,0.01586,0.01801,0.01579,0.01677,9314665.3711,153553.801551799
