https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CBC,Volume USDT
1663459200,2022-09-18 00:00:00,CBC/USDT,0.009272,0.00929,0.008919,0.009007,2254985.2776,20905.465599152
1663372800,2022-09-17 00:00:00,CBC/USDT,0.010275,0.010275,0.008434,0.00924,8795486.895,80078.520117513
1663286400,2022-09-16 00:00:00,CBC/USDT,0.011229,0.0138,0.009042,0.010288,16403411.7137,173532.8057301112
1663200000,2022-09-15 00:00:00,CBC/USDT,0.008707,0.0144,0.008642,0.011199,29641248.32325408,311975.8082397921768
1663113600,2022-09-14 00:00:00,CBC/USDT,0.008495,0.008753,0.008269,0.008753,7860263.6809,66721.2470074605
1663027200,2022-09-13 00:00:00,CBC/USDT,0.008953,0.009337,0.008315,0.008512,9126151.7178,81838.331316218
1662940800,2022-09-12 00:00:00,CBC/USDT,0.009074,0.009165,0.008748,0.008939,7176083.9282,65265.8804793752
1662854400,2022-09-11 00:00:00,CBC/USDT,0.009118,0.009165,0.008929,0.009056,3383811.6304,30798.0404329469
1662768000,2022-09-10 00:00:00,CBC/USDT,0.00903,0.009338,0.0089,0.009125,9197789.1127,83751.8957605178
1662681600,2022-09-09 00:00:00,CBC/USDT,0.008639,0.009239,0.008513,0.009019,10188348.5652,90871.7616668615
1662595200,2022-09-08 00:00:00,CBC/USDT,0.008271,0.009303,0.008216,0.008595,10277216.0665,86619.8192430916
1662508800,2022-09-07 00:00:00,CBC/USDT,0.008138,0.008498,0.007817,0.008276,11014697.947,88501.3650971274
1662422400,2022-09-06 00:00:00,CBC/USDT,0.008779,0.008869,0.008,0.008104,11466934.2845,98011.2965047248
1662336000,2022-09-05 00:00:00,CBC/USDT,0.008726,0.011974,0.008456,0.008755,18823946.3774,177869.7104546227
1662249600,2022-09-04 00:00:00,CBC/USDT,0.008678,0.008999,0.008581,0.0087,9658678.0096,83775.5068048265
1662163200,2022-09-03 00:00:00,CBC/USDT,0.008845,0.008846,0.0086,0.008703,9472247.6454,82730.0376763058
1662076800,2022-09-02 00:00:00,CBC/USDT,0.008682,0.009046,0.008592,0.00884,9608379.6505,84160.8367987365
1661990400,2022-09-01 00:00:00,CBC/USDT,0.009,0.009031,0.008487,0.008759,9472762.8394,84003.3824602119
1661904000,2022-08-31 00:00:00,CBC/USDT,0.009148,0.009173,0.008964,0.008966,9297503.4918,84318.6994072075
1661817600,2022-08-30 00:00:00,CBC/USDT,0.009094,0.009769,0.008973,0.009154,9407035.8536,86493.7967407595
1661731200,2022-08-29 00:00:00,CBC/USDT,0.009055,0.009176,0.008695,0.009086,9115172.6899,81741.3509573063
1661644800,2022-08-28 00:00:00,CBC/USDT,0.009439,0.009717,0.008966,0.009027,8769835.5938,83466.5255544931
1661558400,2022-08-27 00:00:00,CBC/USDT,0.009687,0.009744,0.009283,0.009465,9011629.3565,85446.9982165267
1661472000,2022-08-26 00:00:00,CBC/USDT,0.010129,0.010491,0.0096,0.00966,8844041.7751,87307.253772014
1661385600,2022-08-25 00:00:00,CBC/USDT,0.009561,0.010498,0.00935,0.010167,9082514.9715,88402.5153300934
1661299200,2022-08-24 00:00:00,CBC/USDT,0.009729,0.009729,0.009406,0.009592,13371138.8358,128284.6656812138
1661212800,2022-08-23 00:00:00,CBC/USDT,0.009712,0.009864,0.009594,0.009729,3053564.8507,29649.8136341501
1661126400,2022-08-22 00:00:00,CBC/USDT,0.00954,0.009799,0.009399,0.009751,7528851.7107,72043.6184950314
1661040000,2022-08-21 00:00:00,CBC/USDT,0.009782,0.009872,0.009429,0.009591,8716044.9369,85176.8203243165
1660953600,2022-08-20 00:00:00,CBC/USDT,0.009668,0.0102,0.009628,0.009737,8992379.0575,87035.327065775
1660867200,2022-08-19 00:00:00,CBC/USDT,0.010052,0.010135,0.009638,0.009638,8714305.7659,85379.9403012666
1660780800,2022-08-18 00:00:00,CBC/USDT,0.01035,0.010588,0.010001,0.010003,8125971.0553,83699.2625726267
1660694400,2022-08-17 00:00:00,CBC/USDT,0.010782,0.010977,0.010353,0.010353,7749995.3691,82936.0200796701
1660608000,2022-08-16 00:00:00,CBC/USDT,0.01074,0.010887,0.010528,0.010789,6393007.0638,69133.4509108114
1660521600,2022-08-15 00:00:00,CBC/USDT,0.010888,0.01108,0.010521,0.010778,9680673.7509,104671.7426822502
1660435200,2022-08-14 00:00:00,CBC/USDT,0.01129,0.01184,0.01083,0.010955,2401690.1388,27103.893544881
1660348800,2022-08-13 00:00:00,CBC/USDT,0.010743,0.011755,0.010696,0.011248,8189885.035,90542.116693216
1660262400,2022-08-12 00:00:00,CBC/USDT,0.010589,0.010919,0.01056,0.010697,7850707.3465,83266.3776078261
1660176000,2022-08-11 00:00:00,CBC/USDT,0.010568,0.010814,0.010309,0.010566,7972662.2807,84391.9754664124
1660089600,2022-08-10 00:00:00,CBC/USDT,0.010263,0.010789,0.010206,0.010568,8060687.5314,83747.6684285722
1660003200,2022-08-09 00:00:00,CBC/USDT,0.010538,0.010972,0.010224,0.010301,7849344.2257,83018.3600223509
1659916800,2022-08-08 00:00:00,CBC/USDT,0.010849,0.011068,0.010382,0.010567,7919370.0436,84882.4122464139
