https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume CHZ
1663545600000,2022-09-19 00:00:00,CHZ/BTC,1.142e-05,1.22e-05,1.138e-05,1.159e-05,0.0342203634961222,2952.57666058
1663459200000,2022-09-18 00:00:00,CHZ/BTC,1.125e-05,1.228e-05,1.097e-05,1.101e-05,0.6218428488292695,56479.82278195
1663372800000,2022-09-17 00:00:00,CHZ/BTC,1.063e-05,1.131e-05,1.044e-05,1.117e-05,0.6142858093902654,54994.25330262
1663286400000,2022-09-16 00:00:00,CHZ/BTC,9.34e-06,1.074e-05,9.34e-06,1.063e-05,0.5921380033203867,55704.42176109
1663200000000,2022-09-15 00:00:00,CHZ/BTC,9.49e-06,9.93e-06,9e-06,9.68e-06,0.5181724414520809,53530.21089381
1663113600000,2022-09-14 00:00:00,CHZ/BTC,9.68e-06,1.029e-05,9.34e-06,9.5e-06,0.41465107568849,43647.48165142
1663027200000,2022-09-13 00:00:00,CHZ/BTC,8.99e-06,1.032e-05,8.72e-06,9.59e-06,0.4715819352937021,49174.34153219
1662940800000,2022-09-12 00:00:00,CHZ/BTC,9.53e-06,9.67e-06,8.88e-06,8.98e-06,0.485523191786399,54067.17057755
1662854400000,2022-09-11 00:00:00,CHZ/BTC,9.33e-06,1.02e-05,9.23e-06,9.54e-06,0.5115687356649132,53623.55719758
1662768000000,2022-09-10 00:00:00,CHZ/BTC,9.64e-06,9.74e-06,9.24e-06,9.31e-06,0.5028086548249828,54007.37430988
1662681600000,2022-09-09 00:00:00,CHZ/BTC,9.69e-06,1.033e-05,9.33e-06,9.62e-06,0.533971217995059,55506.36361695
1662595200000,2022-09-08 00:00:00,CHZ/BTC,1.002e-05,1.052e-05,9.61e-06,9.69e-06,0.5298509310298365,54680.17864085
1662508800000,2022-09-07 00:00:00,CHZ/BTC,9.85e-06,1.015e-05,9.79e-06,1.004e-05,0.519573858335856,51750.3842964
1662422400000,2022-09-06 00:00:00,CHZ/BTC,1.047e-05,1.054e-05,9.67e-06,9.85e-06,0.513149388745567,52096.38464422
1662336000000,2022-09-05 00:00:00,CHZ/BTC,1.07e-05,1.09e-05,1.021e-05,1.046e-05,0.5551109163242189,53069.87727765
1662249600000,2022-09-04 00:00:00,CHZ/BTC,1.098e-05,1.113e-05,1.063e-05,1.066e-05,0.5835450048321296,54741.55767656
