https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP
1663545600,2022-09-19 00:00:00,BTC/GBP,16981,17004,16969,16969,0.01681827,285.38922363
1663459200,2022-09-18 00:00:00,BTC/GBP,17585,17599,16958,16977,167.36812893,2841408.7248446103
1663372800,2022-09-17 00:00:00,BTC/GBP,17344,17667,17287,17615,253.76863154,4470134.4445771
1663286400,2022-09-16 00:00:00,BTC/GBP,17177,17428,16972,17337,359.49229543,6232517.92586991
1663200000,2022-09-15 00:00:00,BTC/GBP,17542,17625,16978,17209,261.50808754,4500292.6784758605
1663113600,2022-09-14 00:00:00,BTC/GBP,17529,17824,17006,17513,252.48366263,4421746.38363919
1663027200,2022-09-13 00:00:00,BTC/GBP,19143,19458,17300,17540,426.41443804,7479309.2432216
1662940800,2022-09-12 00:00:00,BTC/GBP,18791,19229,18562,19164,139.49679009,2673316.4852847597
1662854400,2022-09-11 00:00:00,BTC/GBP,18688,18859,18449,18799,74.72521117,1404759.24478483
1662768000,2022-09-10 00:00:00,BTC/GBP,18430,18796,18240,18693,96.21830067,1798608.69442431
1662681600,2022-09-09 00:00:00,BTC/GBP,16769,18624,16744,18433,154.71574730,2851875.3699809
1662595200,2022-09-08 00:00:00,BTC/GBP,16756,16898,16553,16774,113.11453396,1897383.19264504
1662508800,2022-09-07 00:00:00,BTC/GBP,16348,16871,16157,16741,65.68053002,1099557.75306482
1662422400,2022-09-06 00:00:00,BTC/GBP,17117,17411,16206,16323,112.63307307,1838509.65172161
1662336000,2022-09-05 00:00:00,BTC/GBP,17450,17450,17081,17143,57.78981403,990690.78191629
1662249600,2022-09-04 00:00:00,BTC/GBP,17232,17439,17057,17430,36.43195639,635008.9998777001
1662163200,2022-09-03 00:00:00,BTC/GBP,17352,17417,17086,17239,37.56460855,647576.28679345
1662076800,2022-09-02 00:00:00,BTC/GBP,17426,17647,17183,17343,83.86423836,1454457.4858774801
1661990400,2022-09-01 00:00:00,BTC/GBP,17287,17483,16986,17429,133.85479146,2332955.16035634
1661904000,2022-08-31 00:00:00,BTC/GBP,17009,17563,17009,17303,92.49447946,1600431.97809638
1661817600,2022-08-30 00:00:00,BTC/GBP,17292,17563,16800,16976,59.94166940,1017569.7797344
1661731200,2022-08-29 00:00:00,BTC/GBP,16758,17429,16732,17329,89.82470800,1556572.364932
1661644800,2022-08-28 00:00:00,BTC/GBP,17074,17175,16700,16700,39.74521258,663745.050086
1661558400,2022-08-27 00:00:00,BTC/GBP,17234,17348,16881,17098,76.19880776,1302847.2150804799
1661472000,2022-08-26 00:00:00,BTC/GBP,18230,18416,17138,17246,140.23723903,2418531.4243113804
1661385600,2022-08-25 00:00:00,BTC/GBP,18112,18415,18077,18242,59.82569359,1091340.30246878
1661299200,2022-08-24 00:00:00,BTC/GBP,18180,18539,17937,18142,115.79485933,2100750.33796486
1661212800,2022-08-23 00:00:00,BTC/GBP,18186,18308,17793,18193,166.34608689,3026334.3587897704
1661126400,2022-08-22 00:00:00,BTC/GBP,18199,18311,17729,18205,102.55467322,1867007.8259701
