https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTCBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,LTCBULL/USDT,7.24e-05,7.374e-05,7.221e-05,7.344e-05,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,LTCBULL/USDT,9.791e-05,9.791e-05,7.164e-05,7.303e-05,25411141.99643982,1855.7757
1663372800000.0,2022-09-17 00:00:00,LTCBULL/USDT,8.858e-05,0.00010112,8.846e-05,9.791e-05,2285268.9204371357,223.75068
1663286400000.0,2022-09-16 00:00:00,LTCBULL/USDT,9.134e-05,9.309e-05,8.355e-05,8.858e-05,4254334.7256717095,376.84897
1663200000000.0,2022-09-15 00:00:00,LTCBULL/USDT,0.00011205,0.00011566,8.913e-05,9.134e-05,71149701.00722575,6498.81369
1663113600000.0,2022-09-14 00:00:00,LTCBULL/USDT,0.0001078,0.000117,0.00010325,0.00011205,23683346.72021419,2653.719
1663027200000.0,2022-09-13 00:00:00,LTCBULL/USDT,0.00012015,0.00015445,0.0001034,0.0001078,701065688.3116883,75574.8812
1662940800000.0,2022-09-12 00:00:00,LTCBULL/USDT,0.0001247,0.00013055,0.0001139,0.00012015,1783863.087806908,214.33115
1662854400000.0,2022-09-11 00:00:00,LTCBULL/USDT,0.0001335,0.0001396,0.00012175,0.0001247,2099981.154771452,261.86765
1662768000000.0,2022-09-10 00:00:00,LTCBULL/USDT,0.00012,0.0001399,0.0001176,0.0001335,4735918.72659176,632.24515
1662681600000.0,2022-09-09 00:00:00,LTCBULL/USDT,0.00010388,0.00012286,0.00010265,0.00012,6556171.333333333,786.74056
1662595200000.0,2022-09-08 00:00:00,LTCBULL/USDT,0.00010075,0.00010619,9.439e-05,0.00010388,3262048.998844821,338.86165
1662508800000.0,2022-09-07 00:00:00,LTCBULL/USDT,8.605e-05,0.00010333,8.05e-05,0.00010075,15072953.94540943,1518.60011
1662422400000.0,2022-09-06 00:00:00,LTCBULL/USDT,0.0001237,0.0001378,8.599e-05,8.605e-05,25825069.84311447,2222.24726
1662336000000.0,2022-09-05 00:00:00,LTCBULL/USDT,0.00012725,0.00013135,0.00011755,0.0001237,3042942.603071948,376.412
1662249600000.0,2022-09-04 00:00:00,LTCBULL/USDT,0.0001236,0.0001277,0.00011525,0.00012725,2302296.2671905695,292.9672
1662163200000.0,2022-09-03 00:00:00,LTCBULL/USDT,0.0001287,0.00013505,0.0001209,0.0001236,760000.0000000001,93.936
1662076800000.0,2022-09-02 00:00:00,LTCBULL/USDT,0.00010855,0.00013435,0.0001039,0.0001287,20893432.01243201,2688.9847
1661990400000.0,2022-09-01 00:00:00,LTCBULL/USDT,9.117e-05,0.00010944,8.781e-05,0.00010855,15835121.787194842,1718.90247
1661904000000.0,2022-08-31 00:00:00,LTCBULL/USDT,8.687e-05,9.694e-05,8.687e-05,9.117e-05,1057.2556762092795,0.09639
1661817600000.0,2022-08-30 00:00:00,LTCBULL/USDT,0.00010187,0.00010285,8.158e-05,8.687e-05,5864663.059744446,509.46328
1661731200000.0,2022-08-29 00:00:00,LTCBULL/USDT,9.011e-05,0.00010658,8.574e-05,0.00010187,2620650.731324237,266.96569
1661644800000.0,2022-08-28 00:00:00,LTCBULL/USDT,8.688e-05,0.00010046,8.498e-05,9.011e-05,6028293.641105315,543.20954
1661558400000.0,2022-08-27 00:00:00,LTCBULL/USDT,8.647e-05,8.914e-05,8.21e-05,8.688e-05,1767715.1243093924,153.57909
1661472000000.0,2022-08-26 00:00:00,LTCBULL/USDT,0.00010965,0.00011725,8.376e-05,8.647e-05,2859956.7480050884,247.30046
1661385600000.0,2022-08-25 00:00:00,LTCBULL/USDT,0.00011465,0.00011485,0.00010505,0.00010965,139597.35522115824,15.30685
1661299200000.0,2022-08-24 00:00:00,LTCBULL/USDT,0.0001094,0.00011485,0.00010325,0.00011465,755310.0741386829,86.5963
1661212800000.0,2022-08-23 00:00:00,LTCBULL/USDT,0.0001115,0.00011425,9.39e-05,0.0001094,184051.18829981718,20.1352
1661126400000.0,2022-08-22 00:00:00,LTCBULL/USDT,0.0001025,0.00011218,8.571e-05,0.0001115,26369701.88340807,2940.22176
1661040000000.0,2022-08-21 00:00:00,LTCBULL/USDT,9.436e-05,0.0001048,9.36e-05,0.0001025,113315.12195121952,11.6148
1660953600000.0,2022-08-20 00:00:00,LTCBULL/USDT,9.566e-05,0.00010338,8.833e-05,9.436e-05,4392851.8440016955,414.5095
1660867200000.0,2022-08-19 00:00:00,LTCBULL/USDT,0.0001389,0.00014,9.23e-05,9.566e-05,32652302.425256114,3123.51925
1660780800000.0,2022-08-18 00:00:00,LTCBULL/USDT,0.00013995,0.00014835,0.0001345,0.0001389,10079.19366450684,1.4
1660694400000.0,2022-08-17 00:00:00,LTCBULL/USDT,0.0001462,0.0001701,0.00013675,0.00013995,1294750.6252232941,181.20035
1660608000000.0,2022-08-16 00:00:00,LTCBULL/USDT,0.00014205,0.0001491,0.00013645,0.0001462,12421733.584131327,1816.05745
1660521600000.0,2022-08-15 00:00:00,LTCBULL/USDT,0.00016105,0.00017705,0.00013615,0.00014205,38777663.85075677,5508.36715
