https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume EUR
1663545600,2022-09-19 00:00:00,COMP/EUR,49.30,49.30,49.30,49.30,0.00000000,0.0
1663459200,2022-09-18 00:00:00,COMP/EUR,54.33,54.33,47.49,49.30,90.59360339,4466.264647127
1663372800,2022-09-17 00:00:00,COMP/EUR,53.44,55.16,53.44,53.82,45.31524664,2438.8665741648
1663286400,2022-09-16 00:00:00,COMP/EUR,56.00,56.89,53.61,54.00,90.60823385,4892.8446279
1663200000,2022-09-15 00:00:00,COMP/EUR,59.33,59.33,53.48,57.05,188.77720065,10769.739297082499
1663113600,2022-09-14 00:00:00,COMP/EUR,54.00,61.17,52.00,60.61,70.45000138,4269.974583641801
1663027200,2022-09-13 00:00:00,COMP/EUR,55.89,55.89,52.00,54.47,171.63683802,9349.0585669494
1662940800,2022-09-12 00:00:00,COMP/EUR,54.00,55.89,52.68,54.01,177.10007124,9565.1748476724
1662854400,2022-09-11 00:00:00,COMP/EUR,54.38,56.70,54.38,55.55,186.11469234,10338.671159487
1662768000,2022-09-10 00:00:00,COMP/EUR,53.00,54.12,52.39,54.12,117.53705636,6361.105490203199
1662681600,2022-09-09 00:00:00,COMP/EUR,50.00,51.75,50.00,51.75,86.67036522,4485.191400135
1662595200,2022-09-08 00:00:00,COMP/EUR,48.96,49.75,48.48,48.48,239.09155973,11591.1588157104
1662508800,2022-09-07 00:00:00,COMP/EUR,45.13,48.73,44.96,48.72,177.92657109,8668.582543504801
1662422400,2022-09-06 00:00:00,COMP/EUR,49.36,50.62,45.71,45.71,330.78593953,15120.2252959163
1662336000,2022-09-05 00:00:00,COMP/EUR,49.38,49.38,47.47,49.19,306.02457221,15053.348707009898
1662249600,2022-09-04 00:00:00,COMP/EUR,48.61,48.81,48.24,48.63,84.98955089,4133.0418597807
1662163200,2022-09-03 00:00:00,COMP/EUR,46.16,48.28,46.16,48.04,141.38220705,6792.001226682
1662076800,2022-09-02 00:00:00,COMP/EUR,48.23,48.43,45.87,46.34,72.98631694,3382.1859269996
1661990400,2022-09-01 00:00:00,COMP/EUR,46.00,49.08,45.44,49.08,891.97734712,43778.2481966496
1661904000,2022-08-31 00:00:00,COMP/EUR,48.11,48.96,46.80,47.10,159.78367843,7525.811254053001
1661817600,2022-08-30 00:00:00,COMP/EUR,49.59,52.21,46.91,47.47,596.12234509,28297.927721422297
1661731200,2022-08-29 00:00:00,COMP/EUR,44.00,49.68,44.00,49.52,257.52198189,12752.488543192801
1661644800,2022-08-28 00:00:00,COMP/EUR,46.11,47.61,44.35,44.35,172.46379896,7648.769483876
1661558400,2022-08-27 00:00:00,COMP/EUR,46.46,47.14,45.57,46.64,174.81532233,8153.386633471199
1661472000,2022-08-26 00:00:00,COMP/EUR,53.82,54.50,46.00,46.00,278.87267111,12828.14287106
1661385600,2022-08-25 00:00:00,COMP/EUR,50.92,52.46,50.42,51.69,89.94149830,4649.0760471270005
1661299200,2022-08-24 00:00:00,COMP/EUR,50.88,52.37,49.96,51.39,133.53518223,6862.3730147997
1661212800,2022-08-23 00:00:00,COMP/EUR,51.74,52.10,50.00,50.83,202.27110744,10281.4403911752
1661126400,2022-08-22 00:00:00,COMP/EUR,50.28,52.18,48.00,50.32,147.48569188,7421.480015401599
1661040000,2022-08-21 00:00:00,COMP/EUR,49.36,51.17,49.32,50.22,182.65127238,9172.7468989236
1660953600,2022-08-20 00:00:00,COMP/EUR,50.84,51.75,47.96,49.66,95.39510833,4737.3210796677995
1660867200,2022-08-19 00:00:00,COMP/EUR,55.52,55.52,49.84,49.86,120.57035560,6011.637930216
1660780800,2022-08-18 00:00:00,COMP/EUR,58.29,58.56,55.00,55.54,134.41119295,7465.197656442999
1660694400,2022-08-17 00:00:00,COMP/EUR,60.30,62.26,57.54,58.50,190.53052101,11146.035479085
1660608000,2022-08-16 00:00:00,COMP/EUR,60.87,61.65,59.13,60.29,263.65926574,15896.017131464601
1660521600,2022-08-15 00:00:00,COMP/EUR,61.72,62.36,60.00,60.56,67.07319780,4061.952858768
1660435200,2022-08-14 00:00:00,COMP/EUR,64.62,66.00,61.34,61.34,194.58593059,11935.900982390602
1660348800,2022-08-13 00:00:00,COMP/EUR,63.05,64.50,62.73,63.80,253.67415016,16184.410780208
1660262400,2022-08-12 00:00:00,COMP/EUR,62.37,63.38,61.93,63.38,232.00358259,14704.387064554201
1660176000,2022-08-11 00:00:00,COMP/EUR,64.50,64.50,61.43,61.78,210.84325847,13025.8965082766
1660089600,2022-08-10 00:00:00,COMP/EUR,56.77,64.90,56.77,63.24,326.25687040,20632.484484096003
1660003200,2022-08-09 00:00:00,COMP/EUR,63.37,63.80,57.32,57.89,173.66400682,10053.4093548098
1659916800,2022-08-08 00:00:00,COMP/EUR,61.98,63.88,61.10,61.10,312.19398285,19075.052352135
1659830400,2022-08-07 00:00:00,COMP/EUR,63.89,65.00,61.64,61.83,188.92374241,11681.154993210299
1659744000,2022-08-06 00:00:00,COMP/EUR,60.13,64.31,59.15,64.10,479.02675509,30705.615001268998
1659657600,2022-08-05 00:00:00,COMP/EUR,55.58,60.03,55.58,60.03,154.95850771,9302.1592178313
1659571200,2022-08-04 00:00:00,COMP/EUR,55.86,56.88,54.70,54.70,201.36073798,11014.432367506
1659484800,2022-08-03 00:00:00,COMP/EUR,54.21,58.34,53.96,55.80,141.22636816,7880.4313433279995
