https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume THETA,Volume USDT
1663459200,2022-09-18 00:00:00,THETA/USDT,1.1217,1.1222,1.1112,1.114,15237.23656861,16983.068884052064
1663372800,2022-09-17 00:00:00,THETA/USDT,1.0837,1.1722,1.0833,1.1216,1686181.43066737,1870307.507780724358
1663286400,2022-09-16 00:00:00,THETA/USDT,1.0872,1.1107,1.0569,1.0832,1884429.364973,2029598.547485557495
1663200000,2022-09-15 00:00:00,THETA/USDT,1.1101,1.1168,1.0678,1.0862,1902505.40065565,2073058.882659785832
1663113600,2022-09-14 00:00:00,THETA/USDT,1.0882,1.1187,1.075,1.1103,2036242.80938897,2240010.850459375538
1663027200,2022-09-13 00:00:00,THETA/USDT,1.1874,1.2056,1.0831,1.0874,2915535.6088591,3293002.91627078757
1662940800,2022-09-12 00:00:00,THETA/USDT,1.1799,1.2235,1.1553,1.1873,2036528.7786723,2426821.374348384618
1662854400,2022-09-11 00:00:00,THETA/USDT,1.1891,1.2079,1.1537,1.1803,1379791.58016337,1636033.077915401504
1662768000,2022-09-10 00:00:00,THETA/USDT,1.1884,1.2077,1.1689,1.1882,1264825.75143172,1501397.697852700802
1662681600,2022-09-09 00:00:00,THETA/USDT,1.1248,1.2148,1.122,1.1879,2311998.21146301,2713809.311723201087
1662595200,2022-09-08 00:00:00,THETA/USDT,1.1113,1.133,1.0874,1.1242,1277167.98461337,1418852.588064508103
1662508800,2022-09-07 00:00:00,THETA/USDT,1.0721,1.1306,1.055,1.1105,1722907.20697585,1875215.666631782088
1662422400,2022-09-06 00:00:00,THETA/USDT,1.1778,1.2075,1.0703,1.0719,2647610.60118481,3024593.395296370875
1662336000,2022-09-05 00:00:00,THETA/USDT,1.1694,1.1798,1.1529,1.1778,1172918.15592156,1372509.75800781309
1662249600,2022-09-04 00:00:00,THETA/USDT,1.1448,1.172,1.1314,1.17,1074565.51664575,1239642.153764941694
1662163200,2022-09-03 00:00:00,THETA/USDT,1.1323,1.1461,1.1211,1.1445,914129.84899136,1039091.121401520884
1662076800,2022-09-02 00:00:00,THETA/USDT,1.1627,1.1788,1.1173,1.1325,2285118.48324036,2625788.01131185909
1661990400,2022-09-01 00:00:00,THETA/USDT,1.1573,1.1734,1.1218,1.1629,1798912.67650938,2071970.997641823942
1661904000,2022-08-31 00:00:00,THETA/USDT,1.1532,1.1995,1.1532,1.1575,2638590.21234123,3109861.04676114771
1661817600,2022-08-30 00:00:00,THETA/USDT,1.1808,1.1971,1.114,1.1523,1814163.67982806,2096074.515073627109
1661731200,2022-08-29 00:00:00,THETA/USDT,1.097,1.1889,1.0807,1.1809,2267604.90425826,2614659.36493885874
1661644800,2022-08-28 00:00:00,THETA/USDT,1.1258,1.151,1.0902,1.0974,1290186.4368788,1459559.291937325537
1661558400,2022-08-27 00:00:00,THETA/USDT,1.1538,1.158,1.1028,1.1249,1603511.48867692,1806724.453523803541
1661472000,2022-08-26 00:00:00,THETA/USDT,1.2613,1.3,1.135,1.1542,2888956.50382681,3572841.289316117539
1661385600,2022-08-25 00:00:00,THETA/USDT,1.2257,1.2911,1.225,1.261,1153723.4881167,1449427.329875671571
1661299200,2022-08-24 00:00:00,THETA/USDT,1.2382,1.2626,1.1944,1.2263,1568853.39489277,1933806.155515756712
1661212800,2022-08-23 00:00:00,THETA/USDT,1.2152,1.3043,1.1709,1.2368,1258905.30080278,1541661.84065351918
1661126400,2022-08-22 00:00:00,THETA/USDT,1.2288,1.229,1.1555,1.2147,1262058.23911042,1488266.626023392968
1661040000,2022-08-21 00:00:00,THETA/USDT,1.1944,1.2464,1.1823,1.2292,1066714.17798343,1300948.061527042845
1660953600,2022-08-20 00:00:00,THETA/USDT,1.1982,1.244,1.1571,1.1944,1427317.1647852,1718964.168032145132
1660867200,2022-08-19 00:00:00,THETA/USDT,1.3235,1.3286,1.18,1.1983,2481670.46157148,3059423.68646209136
1660780800,2022-08-18 00:00:00,THETA/USDT,1.3934,1.4284,1.303,1.3238,1360421.21119308,1881317.161542382507
1660694400,2022-08-17 00:00:00,THETA/USDT,1.446,1.5206,1.3718,1.3931,2048230.18678789,2955798.379068257259
1660608000,2022-08-16 00:00:00,THETA/USDT,1.488,1.508,1.4276,1.445,1600049.69937203,2353647.010596277413
1660521600,2022-08-15 00:00:00,THETA/USDT,1.5246,1.575,1.4562,1.4879,1917768.98427134,2895245.782676084072
1660435200,2022-08-14 00:00:00,THETA/USDT,1.5878,1.6728,1.5018,1.5248,3264930.37292912,5155395.028472158928
1660348800,2022-08-13 00:00:00,THETA/USDT,1.6232,1.6414,1.5762,1.5874,2027801.52887948,3267178.082925297553
1660262400,2022-08-12 00:00:00,THETA/USDT,1.5698,1.6453,1.5436,1.6226,2790839.11569871,4444196.539429710427
1660176000,2022-08-11 00:00:00,THETA/USDT,1.6094,1.6366,1.5559,1.5695,3093230.40415919,4956473.218101608228
1660089600,2022-08-10 00:00:00,THETA/USDT,1.5227,1.6275,1.4717,1.6101,4116955.96418914,6476644.384225614674
