https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EPK,Volume USDT
1663459200,2022-09-18 00:00:00,EPK/USDT,0.0094,0.00944,0.00939,0.00943,18043.0951,169.85142567
1663372800,2022-09-17 00:00:00,EPK/USDT,0.00947,0.00953,0.00929,0.00941,3539473.5686,33502.110395997
1663286400,2022-09-16 00:00:00,EPK/USDT,0.00958,0.0096,0.0094,0.00944,3743464.7592,35537.697949203
1663200000,2022-09-15 00:00:00,EPK/USDT,0.0101,0.01012,0.00958,0.00958,3933531.0419,39387.116892415
1663113600,2022-09-14 00:00:00,EPK/USDT,0.01025,0.01029,0.01,0.0101,4860206.2657,49645.973557957
1663027200,2022-09-13 00:00:00,EPK/USDT,0.0104,0.01059,0.00987,0.01032,7754650.0219,79451.423339854
1662940800,2022-09-12 00:00:00,EPK/USDT,0.01044,0.01063,0.01017,0.0104,7215234.3475,75776.592689304
1662854400,2022-09-11 00:00:00,EPK/USDT,0.01037,0.0106,0.01023,0.01043,5016630.1095,51953.40338729
1662768000,2022-09-10 00:00:00,EPK/USDT,0.01021,0.01069,0.0101,0.0104,5508748.644,56290.541830257
1662681600,2022-09-09 00:00:00,EPK/USDT,0.01057,0.01063,0.01018,0.01023,5349952.9946,56231.262214871
1662595200,2022-09-08 00:00:00,EPK/USDT,0.01006,0.01089,0.01006,0.01063,5203078.8657,54914.515961414
1662508800,2022-09-07 00:00:00,EPK/USDT,0.01021,0.01047,0.00989,0.01006,7357118.414,73692.381220839
1662422400,2022-09-06 00:00:00,EPK/USDT,0.01058,0.01068,0.01022,0.01022,7999948.4909,84384.687595281
1662336000,2022-09-05 00:00:00,EPK/USDT,0.01083,0.01083,0.0102,0.01049,5185688.0184,54749.121270165
1662249600,2022-09-04 00:00:00,EPK/USDT,0.01095,0.01108,0.01084,0.01084,3211381.7407,35123.206389637
1662163200,2022-09-03 00:00:00,EPK/USDT,0.01117,0.01127,0.0109,0.01096,4949795.0344,55158.102354006
1662076800,2022-09-02 00:00:00,EPK/USDT,0.01114,0.01123,0.01082,0.01114,5031571.4003,55298.249069327
1661990400,2022-09-01 00:00:00,EPK/USDT,0.01158,0.01179,0.01114,0.01114,7191327.2033,82993.019515682
1661904000,2022-08-31 00:00:00,EPK/USDT,0.01146,0.01227,0.01138,0.01159,6518647.2531,76457.397474776
1661817600,2022-08-30 00:00:00,EPK/USDT,0.01127,0.01164,0.01123,0.01142,4419152.6403,50533.708261336
1661731200,2022-08-29 00:00:00,EPK/USDT,0.011,0.0114,0.011,0.01125,3585269.0382,40214.411899496
1661644800,2022-08-28 00:00:00,EPK/USDT,0.01183,0.01209,0.01076,0.01102,6414958.1492,73643.648237307
1661558400,2022-08-27 00:00:00,EPK/USDT,0.01223,0.01223,0.01174,0.01184,3828805.489,45611.865013582
1661472000,2022-08-26 00:00:00,EPK/USDT,0.01209,0.01249,0.01184,0.01222,2306167.6955,28105.796754633
1661385600,2022-08-25 00:00:00,EPK/USDT,0.01209,0.01298,0.01175,0.01217,10470088.5412,128514.498405266
1661299200,2022-08-24 00:00:00,EPK/USDT,0.01097,0.0125,0.01075,0.012,6277617.1481,71115.147813386
1661212800,2022-08-23 00:00:00,EPK/USDT,0.01033,0.01158,0.00995,0.01109,8262219.7292,87364.53501507
1661126400,2022-08-22 00:00:00,EPK/USDT,0.0108,0.01086,0.01013,0.01035,7469244.4056,79548.055872428
1661040000,2022-08-21 00:00:00,EPK/USDT,0.01111,0.01158,0.01065,0.01083,7783496.8365,85213.476428233
1660953600,2022-08-20 00:00:00,EPK/USDT,0.00942,0.0123,0.00909,0.01113,11095759.7301,115337.892271108
1660867200,2022-08-19 00:00:00,EPK/USDT,0.01088,0.01105,0.00934,0.00934,4554477.0315,48663.036837372
1660780800,2022-08-18 00:00:00,EPK/USDT,0.01115,0.01132,0.0108,0.0108,5365713.4593,59331.235777747
1660694400,2022-08-17 00:00:00,EPK/USDT,0.0126,0.01276,0.01095,0.01115,4781003.5504,56204.195849463
1660608000,2022-08-16 00:00:00,EPK/USDT,0.01212,0.01325,0.01136,0.01254,10195448.7613,121358.426179576
1660521600,2022-08-15 00:00:00,EPK/USDT,0.01109,0.01399,0.01086,0.01216,8325328.1589,96936.325392798
1660435200,2022-08-14 00:00:00,EPK/USDT,0.0113,0.01132,0.01075,0.01117,4901918.1503,54835.108480424
1660348800,2022-08-13 00:00:00,EPK/USDT,0.01131,0.01184,0.01114,0.01129,7124039.9841,81218.123713088
1660262400,2022-08-12 00:00:00,EPK/USDT,0.0108,0.01198,0.01071,0.01131,6049949.209,67658.563901873
1660176000,2022-08-11 00:00:00,EPK/USDT,0.01102,0.01117,0.01071,0.0108,5157472.863,56635.282131476
1660089600,2022-08-10 00:00:00,EPK/USDT,0.01102,0.01113,0.01071,0.01096,7183264.8258,78480.384190389
1660003200,2022-08-09 00:00:00,EPK/USDT,0.01142,0.01208,0.01078,0.01101,5326631.0494,60706.585926604
1659916800,2022-08-08 00:00:00,EPK/USDT,0.01098,0.01156,0.01098,0.0114,4826911.9626,53613.265076225
1659830400,2022-08-07 00:00:00,EPK/USDT,0.01182,0.01182,0.01083,0.011,7065295.1858,80779.700901776
1659744000,2022-08-06 00:00:00,EPK/USDT,0.01132,0.01195,0.01104,0.01176,7122279.9227,80890.622842917
1659657600,2022-08-05 00:00:00,EPK/USDT,0.01162,0.01182,0.01119,0.01125,4671345.4609,54113.980247461
