https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DFYN,Volume USDT
1663459200,2022-09-18 00:00:00,DFYN/USDT,0.03689,0.03689,0.03589,0.03589,48678.2174,1752.417625705
1663372800,2022-09-17 00:00:00,DFYN/USDT,0.03573,0.0384,0.03071,0.03697,6347255.99753282,218801.177291979778
1663286400,2022-09-16 00:00:00,DFYN/USDT,0.03638,0.037,0.03457,0.03565,442980.2919,15915.966297103
1663200000,2022-09-15 00:00:00,DFYN/USDT,0.03796,0.03802,0.03625,0.03625,195342.2689,7319.851218163
1663113600,2022-09-14 00:00:00,DFYN/USDT,0.03842,0.03868,0.03679,0.03808,269545.7037,10100.769634922
1663027200,2022-09-13 00:00:00,DFYN/USDT,0.04,0.04032,0.0373,0.0382,3690170.29,146962.458453329
1662940800,2022-09-12 00:00:00,DFYN/USDT,0.04,0.04142,0.03874,0.04007,6950385.5438,278173.033917003
1662854400,2022-09-11 00:00:00,DFYN/USDT,0.04,0.0414,0.03958,0.04001,6517948.2402,260827.265758948
1662768000,2022-09-10 00:00:00,DFYN/USDT,0.04017,0.04158,0.03894,0.04,6651572.3387,266244.071055028
1662681600,2022-09-09 00:00:00,DFYN/USDT,0.04,0.04389,0.03933,0.0402,9934419.5063,402304.345035788
1662595200,2022-09-08 00:00:00,DFYN/USDT,0.04017,0.0428,0.03943,0.04006,7863866.5117,315959.165224922
1662508800,2022-09-07 00:00:00,DFYN/USDT,0.03217,0.0536,0.0311,0.04037,11428221.59907357,457580.7241885542911
1662422400,2022-09-06 00:00:00,DFYN/USDT,0.03561,0.0387,0.03213,0.03247,874344.4763,30084.002564181
1662336000,2022-09-05 00:00:00,DFYN/USDT,0.03795,0.0386,0.03495,0.03561,358554.2206,13070.723854757
1662249600,2022-09-04 00:00:00,DFYN/USDT,0.0363,0.0382,0.03547,0.03795,350204.8265,12672.06428935
1662163200,2022-09-03 00:00:00,DFYN/USDT,0.0384,0.03906,0.03606,0.03634,825180.9271,30872.940173563
1662076800,2022-09-02 00:00:00,DFYN/USDT,0.04,0.0435,0.0384,0.0384,4786799.9528,191899.932165875
1661990400,2022-09-01 00:00:00,DFYN/USDT,0.04,0.044,0.03912,0.0401,8413301.5072,336973.302583419
1661904000,2022-08-31 00:00:00,DFYN/USDT,0.04,0.04156,0.03925,0.04006,7591452.6863,304627.433302399
1661817600,2022-08-30 00:00:00,DFYN/USDT,0.04005,0.04208,0.03923,0.04005,9319650.919,378571.994496117
1661731200,2022-08-29 00:00:00,DFYN/USDT,0.04,0.04091,0.0385,0.04014,8343136.8068,333565.217523395
1661644800,2022-08-28 00:00:00,DFYN/USDT,0.04075,0.04342,0.03891,0.04001,7538618.455,302483.483701498
1661558400,2022-08-27 00:00:00,DFYN/USDT,0.03561,0.0424,0.03557,0.04095,10522198.6864,418532.31764618
1661472000,2022-08-26 00:00:00,DFYN/USDT,0.03695,0.041,0.0322,0.03568,5069040.5718,186238.193897281
1661385600,2022-08-25 00:00:00,DFYN/USDT,0.03777,0.047,0.036,0.03706,5207977.2957,208212.535009923
1661299200,2022-08-24 00:00:00,DFYN/USDT,0.04,0.042,0.03679,0.03812,3578054.7415,140588.626259401
1661212800,2022-08-23 00:00:00,DFYN/USDT,0.04001,0.048,0.03884,0.04002,9333108.8035,378817.514933101
1661126400,2022-08-22 00:00:00,DFYN/USDT,0.04,0.04552,0.03884,0.04015,9565413.2924,388772.489564597
1661040000,2022-08-21 00:00:00,DFYN/USDT,0.04456,0.04613,0.03951,0.04004,9100736.9177,380361.702666418
1660953600,2022-08-20 00:00:00,DFYN/USDT,0.05064,0.05065,0.0444,0.04493,1654080.394,77966.548588177
1660867200,2022-08-19 00:00:00,DFYN/USDT,0.07,0.07225,0.047,0.05053,8078311.5896,431111.521511206
1660780800,2022-08-18 00:00:00,DFYN/USDT,0.07,0.0712,0.068,0.07,5940624.7387,415364.481642892
1660694400,2022-08-17 00:00:00,DFYN/USDT,0.07,0.07025,0.06501,0.07002,5364360.6813,373658.685092594
1660608000,2022-08-16 00:00:00,DFYN/USDT,0.06984,0.07738,0.0668,0.07008,5703608.6628,401057.871350868
1660521600,2022-08-15 00:00:00,DFYN/USDT,0.06849,0.074,0.0638,0.06983,7376170.5849,511920.830540613
1660435200,2022-08-14 00:00:00,DFYN/USDT,0.07134,0.0743,0.06475,0.06847,7039593.9026,490143.619900254
1660348800,2022-08-13 00:00:00,DFYN/USDT,0.08546,0.093,0.07059,0.07199,7354934.6084,598556.4442394
