https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETHHEDGE,Volume USD
1663545600000.0,2022-09-19 00:00:00,ETHHEDGE/USD,19.35,19.3725,19.2225,19.2425,0.7852695855528128,15.11055
1663542000000.0,2022-09-18 23:00:00,ETHHEDGE/USD,19.245,19.37,19.1475,19.35,40.963299741602064,792.63985
1663538400000.0,2022-09-18 22:00:00,ETHHEDGE/USD,19.315,19.405,19.24,19.245,158.24560795011692,3045.436725
1663534800000.0,2022-09-18 21:00:00,ETHHEDGE/USD,18.92,19.45,18.92,19.315,390.72445198032614,7546.84279
1663531200000.0,2022-09-18 20:00:00,ETHHEDGE/USD,18.8125,18.925,18.805,18.92,0.0,0.0
1663527600000.0,2022-09-18 19:00:00,ETHHEDGE/USD,18.8925,18.925,18.74,18.8125,0.0,0.0
1663524000000.0,2022-09-18 18:00:00,ETHHEDGE/USD,18.8,18.925,18.7375,18.8925,576.2793701204182,10887.358
1663520400000.0,2022-09-18 17:00:00,ETHHEDGE/USD,18.58,18.835,18.555,18.8,581.0913577127659,10924.517525
1663516800000.0,2022-09-18 16:00:00,ETHHEDGE/USD,18.3325,18.787,18.2975,18.58,644.9644755113026,11983.439955
1663513200000.0,2022-09-18 15:00:00,ETHHEDGE/USD,18.3425,18.395,18.2875,18.3325,165.72790945042956,3038.2069
1663509600000.0,2022-09-18 14:00:00,ETHHEDGE/USD,18.115,18.4475,18.115,18.3425,178.47565081095814,3273.689625
1663506000000.0,2022-09-18 13:00:00,ETHHEDGE/USD,18.115,18.1425,18.1125,18.115,0.0,0.0
1663502400000.0,2022-09-18 12:00:00,ETHHEDGE/USD,18.115,18.305,18.0725,18.115,3311.598978746895,59989.6155
1663498800000.0,2022-09-18 11:00:00,ETHHEDGE/USD,18.1525,18.1625,18.0725,18.115,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,ETHHEDGE/USD,18.2325,18.3075,18.03,18.1525,44.39701969425699,805.9169
1663491600000.0,2022-09-18 09:00:00,ETHHEDGE/USD,17.8825,18.24,17.88,18.2325,0.9946441793500617,18.13485
1663488000000.0,2022-09-18 08:00:00,ETHHEDGE/USD,17.88,17.89,17.85,17.8825,63.61,1137.505825
1663484400000.0,2022-09-18 07:00:00,ETHHEDGE/USD,17.9225,17.9225,17.85,17.88,54.60822147651007,976.395
1663480800000.0,2022-09-18 06:00:00,ETHHEDGE/USD,17.88,17.9225,17.865,17.9225,0.0,0.0
1663477200000.0,2022-09-18 05:00:00,ETHHEDGE/USD,17.9225,17.9225,17.8625,17.88,0.0,0.0
1663473600000.0,2022-09-18 04:00:00,ETHHEDGE/USD,17.9225,17.94,17.905,17.9225,0.0,0.0
1663470000000.0,2022-09-18 03:00:00,ETHHEDGE/USD,17.91,17.965,17.9075,17.9225,0.0,0.0
1663466400000.0,2022-09-18 02:00:00,ETHHEDGE/USD,17.935,17.935,17.9,17.91,1.6711655499720828,29.930575
1663462800000.0,2022-09-18 01:00:00,ETHHEDGE/USD,17.935,17.935,17.895,17.935,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,ETHHEDGE/USD,17.72,17.94,17.6925,17.935,1.4489127404516309,25.98625
1663455600000.0,2022-09-17 23:00:00,ETHHEDGE/USD,17.7575,17.7925,17.6975,17.72,0.64,11.3408
1663452000000.0,2022-09-17 22:00:00,ETHHEDGE/USD,17.935,17.9375,17.725,17.7575,0.12976207236378995,2.30425
1663448400000.0,2022-09-17 21:00:00,ETHHEDGE/USD,17.7875,17.985,17.7425,17.935,0.8191469194312797,14.6914
1663444800000.0,2022-09-17 20:00:00,ETHHEDGE/USD,17.76,17.805,17.6925,17.7875,0.0,0.0
1663441200000.0,2022-09-17 19:00:00,ETHHEDGE/USD,17.715,17.81,17.6925,17.76,0.0,0.0
1663437600000.0,2022-09-17 18:00:00,ETHHEDGE/USD,17.735,17.7625,17.6575,17.715,32.359760090318936,573.25315
1663434000000.0,2022-09-17 17:00:00,ETHHEDGE/USD,17.79,17.85,17.6725,17.735,608.364684240203,10789.347675
1663430400000.0,2022-09-17 16:00:00,ETHHEDGE/USD,18.03,18.035,17.75,17.79,28.399598088813942,505.22885
1663426800000.0,2022-09-17 15:00:00,ETHHEDGE/USD,18.0575,18.135,17.9975,18.03,0.18999999999999997,3.4257
1663423200000.0,2022-09-17 14:00:00,ETHHEDGE/USD,18.3425,18.3525,18.0625,18.0625,12.171381314878893,219.845575
1663419600000.0,2022-09-17 13:00:00,ETHHEDGE/USD,18.3225,18.3575,18.2925,18.3425,163.52910453863976,2999.5326
1663416000000.0,2022-09-17 12:00:00,ETHHEDGE/USD,18.345,18.46,18.29,18.3225,164.88434711420382,3021.09345
1663412400000.0,2022-09-17 11:00:00,ETHHEDGE/USD,18.2775,18.345,18.2775,18.345,182.43535568274737,3346.7766
1663408800000.0,2022-09-17 10:00:00,ETHHEDGE/USD,18.1775,18.355,18.1675,18.2775,444.34267131719326,8121.473175
1663405200000.0,2022-09-17 09:00:00,ETHHEDGE/USD,18.1675,18.2025,18.1675,18.1775,0.0,0.0
1663401600000.0,2022-09-17 08:00:00,ETHHEDGE/USD,18.2125,18.2125,18.1675,18.1675,49.19040594468144,893.6667
1663398000000.0,2022-09-17 07:00:00,ETHHEDGE/USD,18.2125,18.25,18.2125,18.2125,0.0,0.0
1663394400000.0,2022-09-17 06:00:00,ETHHEDGE/USD,18.2125,18.2675,18.2125,18.2125,0.0,0.0
1663390800000.0,2022-09-17 05:00:00,ETHHEDGE/USD,18.075,18.2275,18.075,18.2125,111.0038846945779,2021.65825
1663387200000.0,2022-09-17 04:00:00,ETHHEDGE/USD,18.075,18.085,18.055,18.075,44.480000000000004,803.976
1663383600000.0,2022-09-17 03:00:00,ETHHEDGE/USD,18.095,18.1175,18.055,18.075,138.26683817427386,2499.1731
1663380000000.0,2022-09-17 02:00:00,ETHHEDGE/USD,18.0625,18.12,18.0525,18.095,116.27000000000001,2103.90565
1663376400000.0,2022-09-17 01:00:00,ETHHEDGE/USD,18.0925,18.1025,18.0325,18.0625,0.0,0.0
1663372800000.0,2022-09-17 00:00:00,ETHHEDGE/USD,18.1875,18.21,17.9425,18.0925,1.5748100041453639,28.49225
1663369200000.0,2022-09-16 23:00:00,ETHHEDGE/USD,18.175,18.285,18.1525,18.1875,5.37,97.666875
1663365600000.0,2022-09-16 22:00:00,ETHHEDGE/USD,18.135,18.18,18.11,18.175,2.3670660247592847,43.021425
1663362000000.0,2022-09-16 21:00:00,ETHHEDGE/USD,18.17,18.2325,18.0575,18.135,0.63,11.42505
1663358400000.0,2022-09-16 20:00:00,ETHHEDGE/USD,18.2825,18.2825,18.1675,18.17,0.0,0.0
1663354800000.0,2022-09-16 19:00:00,ETHHEDGE/USD,18.2325,18.2825,18.17,18.2825,0.54,9.87255
1663351200000.0,2022-09-16 18:00:00,ETHHEDGE/USD,18.37,18.4175,18.2125,18.2325,5.886146990264637,107.319175
1663347600000.0,2022-09-16 17:00:00,ETHHEDGE/USD,18.3025,18.4625,18.2475,18.37,670.6182117583015,12319.25655
1663344000000.0,2022-09-16 16:00:00,ETHHEDGE/USD,17.935,18.395,17.935,18.3025,513.6876128944134,9401.767535
1663340400000.0,2022-09-16 15:00:00,ETHHEDGE/USD,17.9925,18.0925,17.9275,17.935,0.0,0.0
1663336800000.0,2022-09-16 14:00:00,ETHHEDGE/USD,18.2075,18.215,17.9275,17.9925,1290.8500930943449,23225.6203
1663333200000.0,2022-09-16 13:00:00,ETHHEDGE/USD,17.935,18.2425,17.87,18.2075,715.3067928051628,13023.94843
1663329600000.0,2022-09-16 12:00:00,ETHHEDGE/USD,17.6725,17.9425,17.6725,17.935,428.21499024254257,7680.03585
1663326000000.0,2022-09-16 11:00:00,ETHHEDGE/USD,17.7875,17.8025,17.65,17.6725,0.8417201867307964,14.8753
1663322400000.0,2022-09-16 10:00:00,ETHHEDGE/USD,17.85,17.8725,17.7375,17.7875,367.90498945888964,6544.11
1663318800000.0,2022-09-16 09:00:00,ETHHEDGE/USD,17.9825,17.9825,17.8325,17.85,0.19999999999999998,3.57
1663315200000.0,2022-09-16 08:00:00,ETHHEDGE/USD,17.715,18.03,17.7,17.9825,169.228089809537,3043.144125
1663311600000.0,2022-09-16 07:00:00,ETHHEDGE/USD,17.7075,17.7425,17.6975,17.715,0.0,0.0
