https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MAP,Volume USDT
1663376400,2022-09-17 01:00:00,MAP/USDT,0.012595,0.012603,0.012595,0.012603,350777.6589,4419.4459021542
1663372800,2022-09-17 00:00:00,MAP/USDT,0.012633,0.012671,0.012633,0.012671,524.5625,6.6421715285
1663369200,2022-09-16 23:00:00,MAP/USDT,0.01257,0.01257,0.01256,0.01256,209.2331,2.6286348502
1663365600,2022-09-16 22:00:00,MAP/USDT,0.012633,0.012633,0.012633,0.012633,31.1829,0.3939335757
1663362000,2022-09-16 21:00:00,MAP/USDT,0.012595,0.012639,0.01256,0.01257,4826.81,60.6702725709
1663358400,2022-09-16 20:00:00,MAP/USDT,0.012633,0.012657,0.012561,0.012657,700.4763,8.8385191692
1663354800,2022-09-16 19:00:00,MAP/USDT,0.012562,0.012562,0.012562,0.012562,244.0392,3.0656204304
1663351200,2022-09-16 18:00:00,MAP/USDT,0.012561,0.012561,0.012561,0.012561,600,7.5366
1663347600,2022-09-16 17:00:00,MAP/USDT,0.012561,0.012624,0.012561,0.012624,856.6209,10.7673767757
1663344000,2022-09-16 16:00:00,MAP/USDT,0.012604,0.012604,0.012561,0.012561,1308.9135,16.4831785239
1663340400,2022-09-16 15:00:00,MAP/USDT,0.012604,0.012604,0.012604,0.012604,0,0
1663336800,2022-09-16 14:00:00,MAP/USDT,0.012633,0.012633,0.012604,0.012604,809.6947,10.2065787107
1663333200,2022-09-16 13:00:00,MAP/USDT,0.012657,0.012657,0.012637,0.012638,448.6602,5.6749426354
1663329600,2022-09-16 12:00:00,MAP/USDT,0.012666,0.012666,0.01266,0.01266,299.6161,3.7939086384
1663326000,2022-09-16 11:00:00,MAP/USDT,0.01267,0.012755,0.012661,0.012755,155.5264,1.980104836
1663322400,2022-09-16 10:00:00,MAP/USDT,0.012741,0.012741,0.01267,0.01267,315.7165,4.0017262103
1663318800,2022-09-16 09:00:00,MAP/USDT,0.012707,0.012712,0.01269,0.01269,1260089.7795,16002.8815556412
1663315200,2022-09-16 08:00:00,MAP/USDT,0.012702,0.012706,0.01269,0.012706,600762.904,7629.0394376726
1663311600,2022-09-16 07:00:00,MAP/USDT,0.012702,0.012716,0.012702,0.012716,525388.5603,6677.680082823
1663308000,2022-09-16 06:00:00,MAP/USDT,0.012702,0.012702,0.012702,0.012702,512.0595,6.504179769
1663304400,2022-09-16 05:00:00,MAP/USDT,0.012704,0.01271,0.012704,0.01271,284765.0608,3618.5087407229
1663300800,2022-09-16 04:00:00,MAP/USDT,0.01266,0.012728,0.012653,0.012728,1349659.7494,17099.2517965974
1663297200,2022-09-16 03:00:00,MAP/USDT,0.012696,0.01272,0.012652,0.012659,299690.6586,3792.8526170843
1663293600,2022-09-16 02:00:00,MAP/USDT,0.012757,0.012771,0.012633,0.012633,869908.3267,11067.3864729243
1663290000,2022-09-16 01:00:00,MAP/USDT,0.012692,0.012698,0.012692,0.012698,309292.2583,3926.4642557773
1663286400,2022-09-16 00:00:00,MAP/USDT,0.012832,0.012832,0.012604,0.012756,5827.1542,74.1688209567
1663282800,2022-09-15 23:00:00,MAP/USDT,0.012832,0.012832,0.012832,0.012832,0,0
1663279200,2022-09-15 22:00:00,MAP/USDT,0.012832,0.012832,0.012832,0.012832,620.3693,7.9605788576
1663275600,2022-09-15 21:00:00,MAP/USDT,0.012832,0.012832,0.012832,0.012832,0,0
1663272000,2022-09-15 20:00:00,MAP/USDT,0.012912,0.012912,0.012832,0.012832,230.1876,2.9582214438
1663268400,2022-09-15 19:00:00,MAP/USDT,0.012931,0.012931,0.012931,0.012931,0,0
1663264800,2022-09-15 18:00:00,MAP/USDT,0.012842,0.012931,0.012842,0.012931,331.0618,4.2546226417
1663261200,2022-09-15 17:00:00,MAP/USDT,0.012916,0.01293,0.012916,0.01293,809.024,10.4553246102
1663257600,2022-09-15 16:00:00,MAP/USDT,0.012852,0.012855,0.01285,0.01285,176424.5225,2267.6717969446
1663254000,2022-09-15 15:00:00,MAP/USDT,0.012799,0.012927,0.012756,0.012927,6038.8514,77.4073758536
1663250400,2022-09-15 14:00:00,MAP/USDT,0.012908,0.012984,0.012799,0.012799,3237.4944,41.7015471876
1663246800,2022-09-15 13:00:00,MAP/USDT,0.012939,0.012985,0.012908,0.012908,2184.2528,28.2800858036
1663243200,2022-09-15 12:00:00,MAP/USDT,0.01294,0.012985,0.012939,0.012939,844556.3298,10937.8169847372
1663239600,2022-09-15 11:00:00,MAP/USDT,0.012942,0.012985,0.012942,0.012985,677249.4558,8767.716068952
1663236000,2022-09-15 10:00:00,MAP/USDT,0.012942,0.012984,0.01294,0.01294,592757.7737,7675.0665755019
1663232400,2022-09-15 09:00:00,MAP/USDT,0.012942,0.012948,0.012941,0.012945,459670.8557,5950.1170444489
1663228800,2022-09-15 08:00:00,MAP/USDT,0.012952,0.012985,0.012939,0.012939,279744.3793,3623.9691622111
1663225200,2022-09-15 07:00:00,MAP/USDT,0.012966,0.012985,0.012952,0.012955,186270.848,2412.8629239294
1663221600,2022-09-15 06:00:00,MAP/USDT,0.012988,0.013085,0.012966,0.012966,282552.4647,3670.515035312
1663218000,2022-09-15 05:00:00,MAP/USDT,0.013013,0.013116,0.012986,0.012988,564023.0342,7334.0205819073
1663214400,2022-09-15 04:00:00,MAP/USDT,0.012985,0.013097,0.012985,0.013097,897311.6665,11659.6870730999
1663210800,2022-09-15 03:00:00,MAP/USDT,0.013288,0.013288,0.01298,0.012984,815485.5792,10760.6037860182
1663207200,2022-09-15 02:00:00,MAP/USDT,0.013207,0.013288,0.013202,0.013202,617651.3345,8158.9388792576
