https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume USD
1663545600,2022-09-19 00:00:00,EUR/USD,1.00205,1.00205,1.00172,1.00172,62.94497,63.053235348399994
1663542000,2022-09-18 23:00:00,EUR/USD,1.00189,1.00249,1.00170,1.00194,4270.04801,4278.3319031394
1663538400,2022-09-18 22:00:00,EUR/USD,1.00078,1.00150,1.00039,1.00150,21996.99748,22029.992976220004
1663534800,2022-09-18 21:00:00,EUR/USD,1.00118,1.00164,1.00093,1.00093,53230.78285,53280.28747805051
1663531200,2022-09-18 20:00:00,EUR/USD,1.00114,1.00139,1.00111,1.00119,12310.62650,12325.276145535001
1663527600,2022-09-18 19:00:00,EUR/USD,1.00147,1.00147,1.00116,1.00116,11966.01186,11979.8924337576
1663524000,2022-09-18 18:00:00,EUR/USD,1.00125,1.00145,1.00125,1.00145,2196.90205,2200.0875579725002
1663520400,2022-09-18 17:00:00,EUR/USD,1.00113,1.00157,1.00057,1.00122,6882.66659,6891.0634432398
1663516800,2022-09-18 16:00:00,EUR/USD,1.00123,1.00141,1.00110,1.00120,25844.64809,25875.661667708002
1663513200,2022-09-18 15:00:00,EUR/USD,1.00130,1.00136,1.00123,1.00136,1680.46516,1682.7505926176
1663509600,2022-09-18 14:00:00,EUR/USD,1.00141,1.00148,1.00122,1.00130,11232.65212,11247.254567756001
1663506000,2022-09-18 13:00:00,EUR/USD,1.00140,1.00140,1.00133,1.00133,114.99000,115.1429367
1663502400,2022-09-18 12:00:00,EUR/USD,1.00135,1.00149,1.00135,1.00149,445.95178,446.6162481522
1663498800,2022-09-18 11:00:00,EUR/USD,1.00134,1.00153,1.00134,1.00135,67964.49936,68056.251434136
1663495200,2022-09-18 10:00:00,EUR/USD,1.00126,1.00132,1.00126,1.00132,13956.96590,13975.389094987999
1663491600,2022-09-18 09:00:00,EUR/USD,1.00102,1.00132,1.00099,1.00117,4323.82914,4328.888020093799
1663488000,2022-09-18 08:00:00,EUR/USD,1.00106,1.00106,1.00098,1.00098,462.82448,463.2780479904
1663484400,2022-09-18 07:00:00,EUR/USD,1.00105,1.00122,1.00105,1.00119,10958.47967,10971.520260807301
1663480800,2022-09-18 06:00:00,EUR/USD,1.00107,1.00117,1.00105,1.00105,161.00000,161.16905
1663477200,2022-09-18 05:00:00,EUR/USD,1.00105,1.00105,1.00105,1.00105,285.35289,285.6525105345
1663473600,2022-09-18 04:00:00,EUR/USD,1.00134,1.00134,1.00134,1.00134,0.00000,0.0
1663470000,2022-09-18 03:00:00,EUR/USD,1.00120,1.00134,1.00120,1.00134,9341.86289,9354.3809862726
1663466400,2022-09-18 02:00:00,EUR/USD,1.00103,1.00103,1.00103,1.00103,44.87000,44.9162161
