https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BOND,Volume USDT
1663459200,2022-09-18 00:00:00,BOND/USDT,5.926,5.926,5.886,5.9,615.5471,3628.7217765
1663372800,2022-09-17 00:00:00,BOND/USDT,5.892,5.978,5.847,5.925,9072.8848,53608.4113389
1663286400,2022-09-16 00:00:00,BOND/USDT,5.84,6.072,5.76,5.905,13456.6812,78981.0719211
1663200000,2022-09-15 00:00:00,BOND/USDT,5.942,6.26,5.841,5.861,16092.5081,97149.1957677
1663113600,2022-09-14 00:00:00,BOND/USDT,5.784,6.48,5.75,5.949,36727.8968,223478.3135803
1663027200,2022-09-13 00:00:00,BOND/USDT,6.143,6.186,5.74,5.794,22752.66931267,135500.3792745059
1662940800,2022-09-12 00:00:00,BOND/USDT,6.313,6.436,6.07,6.14,15666.98,97913.7498853
1662854400,2022-09-11 00:00:00,BOND/USDT,6.423,6.6,6.232,6.318,22692.2074,144123.360907
1662768000,2022-09-10 00:00:00,BOND/USDT,6.371,6.608,6.201,6.398,35339.8126,226171.3725721
1662681600,2022-09-09 00:00:00,BOND/USDT,6.137,6.5,6.099,6.362,47673.9816,301317.5021324
1662595200,2022-09-08 00:00:00,BOND/USDT,6.16,6.313,6.013,6.137,47640.5527,292743.4596937
1662508800,2022-09-07 00:00:00,BOND/USDT,6.081,6.299,5.889,6.156,37062.2277,225073.51404
1662422400,2022-09-06 00:00:00,BOND/USDT,6.663,6.769,6.047,6.1,38460.6277,243051.4722992
1662336000,2022-09-05 00:00:00,BOND/USDT,7.074,7.3,6.555,6.659,102500.6148,698413.9722675
1662249600,2022-09-04 00:00:00,BOND/USDT,6.577,8.161,6.545,7.073,274769.7487,2017959.1643432
1662163200,2022-09-03 00:00:00,BOND/USDT,5.99,7.124,5.918,6.573,90683.1197,587102.9925481
1662076800,2022-09-02 00:00:00,BOND/USDT,6.073,6.175,5.904,6.001,43302.4187,261330.0100034
1661990400,2022-09-01 00:00:00,BOND/USDT,6.004,6.144,5.784,6.056,37961.0882,226046.7172216
1661904000,2022-08-31 00:00:00,BOND/USDT,6.145,6.338,5.949,6.01,35305.9398,216781.7903686
1661817600,2022-08-30 00:00:00,BOND/USDT,6.28,7.007,6.071,6.109,69415.974,453180.3757651
1661731200,2022-08-29 00:00:00,BOND/USDT,6.136,6.333,5.85,6.272,15660.3986,94888.0105083
1661644800,2022-08-28 00:00:00,BOND/USDT,6.2,6.374,6.109,6.118,43894.2037,274746.8648669
1661558400,2022-08-27 00:00:00,BOND/USDT,6.456,6.726,6.114,6.208,49320.9519,313914.9993703
1661472000,2022-08-26 00:00:00,BOND/USDT,6.9,7.755,6.409,6.456,50418.8094,360714.2225471
1661385600,2022-08-25 00:00:00,BOND/USDT,7.107,7.243,6.886,6.917,20122.7704,142106.4567442
1661299200,2022-08-24 00:00:00,BOND/USDT,7.167,7.39,7.024,7.1,30603.0248,220099.1054338
1661212800,2022-08-23 00:00:00,BOND/USDT,7.009,7.363,6.863,7.151,34087.7611,240426.0914597
1661126400,2022-08-22 00:00:00,BOND/USDT,7.311,7.315,6.791,7.008,29787.4695,208965.3032621
1661040000,2022-08-21 00:00:00,BOND/USDT,7.49,8.102,7.235,7.296,48835.1449,367381.8319045
1660953600,2022-08-20 00:00:00,BOND/USDT,6.41,8.242,6.41,7.48,158703.4628,1198849.2199609
1660867200,2022-08-19 00:00:00,BOND/USDT,7.3,7.3,6.278,6.386,52352.8922,356285.5468865
1660780800,2022-08-18 00:00:00,BOND/USDT,8.014,8.383,7.297,7.314,58671.47942513,461029.45884025698
1660694400,2022-08-17 00:00:00,BOND/USDT,8.062,9.5,7.746,8.021,185327.35097487,1596739.64128964302
1660608000,2022-08-16 00:00:00,BOND/USDT,7.43,8.473,7.089,8.083,96267.5386,769235.5101576
1660521600,2022-08-15 00:00:00,BOND/USDT,7.723,7.883,7.374,7.431,20523.5254,154915.657893
