https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume ETH
1663545600000,2022-09-19 00:00:00,ETH/UST,1334.2,1353.5,1332.2,1352.8,8263.989131295999,6.10880332
1663459200000,2022-09-18 00:00:00,ETH/UST,1469.1,1469.9,1324.9,1334.8,3463153.1447683317,2594.51089659
1663372800000,2022-09-17 00:00:00,ETH/UST,1433.6,1476.2,1410.2,1468.9,7274047.869310713,4952.03749017
1663286400000,2022-09-16 00:00:00,ETH/UST,1475.2,1482.3,1406.8,1433.8,9466860.26044188,6602.6365326000005
1663200000000,2022-09-15 00:00:00,ETH/UST,1636.8,1653.0,1458.7,1471.9,14139470.26873854,9606.27098902
1663113600000,2022-09-14 00:00:00,ETH/UST,1574.0,1646.2,1551.1,1638.2,8931270.67056703,5451.88052165
1663027200000,2022-09-13 00:00:00,ETH/UST,1715.6,1760.0,1560.9,1574.6,8275602.904721562,5255.68582797
1662940800000,2022-09-12 00:00:00,ETH/UST,1767.0,1783.1,1694.4,1716.8,2606296.520155456,1518.11307092
1662854400000,2022-09-11 00:00:00,ETH/UST,1775.0,1787.2,1720.3,1766.0,1301488.6240451399,736.96977579
1662768000000,2022-09-10 00:00:00,ETH/UST,1719.4,1788.6,1706.8,1774.0,2060366.9962089001,1161.42446235
1662681600000,2022-09-09 00:00:00,ETH/UST,1636.2,1745.8,1630.9,1719.0,4580994.45608991,2664.91824089
1662595200000,2022-09-08 00:00:00,ETH/UST,1630.5,1663.2,1595.8,1635.4,3413487.278406374,2087.24916131
1662508800000,2022-09-07 00:00:00,ETH/UST,1559.0,1657.1,1490.7,1630.0,3467127.4108559997,2127.0720312
1662422400000,2022-09-06 00:00:00,ETH/UST,1618.1,1686.2,1556.0,1558.6,5982042.094522376,3838.08680516
1662336000000,2022-09-05 00:00:00,ETH/UST,1579.6,1630.3,1557.7,1617.3,1450014.278485581,896.56481697
1662249600000,2022-09-04 00:00:00,ETH/UST,1557.8,1582.2,1541.9,1578.6,1805623.83276642,1143.8133997
1662163200000,2022-09-03 00:00:00,ETH/UST,1575.2,1582.3,1534.7,1557.8,1128110.8695515918,724.16925764
1662076800000,2022-09-02 00:00:00,ETH/UST,1586.4,1646.7,1546.6,1575.5,3817173.90199351,2422.83332402
1661990400000,2022-09-01 00:00:00,ETH/UST,1555.1,1598.6,1514.2,1585.4,3945519.1201217542,2488.65845851
1661904000000,2022-08-31 00:00:00,ETH/UST,1525.3,1618.4,1525.3,1555.1,3853559.1722213808,2478.01374331
1661817600000,2022-08-30 00:00:00,ETH/UST,1552.1,1604.5,1475.0,1525.1,6568020.740467763,4306.61644513
1661731200000,2022-08-29 00:00:00,ETH/UST,1427.1,1559.3,1423.0,1553.1,5770135.485435875,3715.23757996
1661644800000,2022-08-28 00:00:00,ETH/UST,1493.1,1510.5,1425.0,1426.2,3141274.789117386,2202.54858303
