https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CVC,Volume USDT,tradecount
1663545600000,2022-09-19 00:00:00,CVC/USDT,0.12910000,0.12940000,0.12880000,0.12910000,396374.00000000,51153.72910000,250
1663459200000,2022-09-18 00:00:00,CVC/USDT,0.14170000,0.14170000,0.12630000,0.12910000,8895885.00000000,1184214.40040000,6492
1663372800000,2022-09-17 00:00:00,CVC/USDT,0.13830000,0.14190000,0.13800000,0.14170000,3390706.00000000,473697.65050000,2596
1663286400000,2022-09-16 00:00:00,CVC/USDT,0.13370000,0.13860000,0.13190000,0.13840000,9141564.00000000,1239160.67760000,6155
1663200000000,2022-09-15 00:00:00,CVC/USDT,0.13970000,0.13990000,0.13220000,0.13360000,6954586.00000000,946321.47370000,5141
1663113600000,2022-09-14 00:00:00,CVC/USDT,0.13930000,0.14150000,0.13640000,0.13980000,6825386.00000000,949389.31500000,5181
1663027200000,2022-09-13 00:00:00,CVC/USDT,0.15200000,0.15440000,0.13870000,0.13940000,12611572.00000000,1851756.04190000,9466
1662940800000,2022-09-12 00:00:00,CVC/USDT,0.15200000,0.15580000,0.14780000,0.15190000,11876816.00000000,1810814.58320000,8626
1662854400000,2022-09-11 00:00:00,CVC/USDT,0.14930000,0.15620000,0.14680000,0.15190000,9815231.00000000,1485069.87410000,7272
1662768000000,2022-09-10 00:00:00,CVC/USDT,0.15000000,0.15160000,0.14640000,0.14910000,9707055.00000000,1445790.03910000,7345
1662681600000,2022-09-09 00:00:00,CVC/USDT,0.14020000,0.15090000,0.13940000,0.15000000,8777135.00000000,1286770.41180000,7267
1662595200000,2022-09-08 00:00:00,CVC/USDT,0.13560000,0.14500000,0.13290000,0.14010000,23404445.00000000,3246782.23880000,16200
1662508800000,2022-09-07 00:00:00,CVC/USDT,0.13200000,0.13720000,0.12840000,0.13560000,8443000.00000000,1116102.53830000,6081
1662422400000,2022-09-06 00:00:00,CVC/USDT,0.14460000,0.14770000,0.13140000,0.13180000,14831520.00000000,2063410.15780000,10791
1662336000000,2022-09-05 00:00:00,CVC/USDT,0.14340000,0.14590000,0.14010000,0.14440000,4575707.00000000,654618.78270000,3589
1662249600000,2022-09-04 00:00:00,CVC/USDT,0.14190000,0.14370000,0.13980000,0.14330000,3768020.00000000,534858.60590000,3144
1662163200000,2022-09-03 00:00:00,CVC/USDT,0.14110000,0.14230000,0.13990000,0.14180000,2928852.00000000,414258.65580000,2579
1662076800000,2022-09-02 00:00:00,CVC/USDT,0.14370000,0.14610000,0.13870000,0.14090000,6297958.00000000,895380.83040000,5517
1661990400000,2022-09-01 00:00:00,CVC/USDT,0.14470000,0.14560000,0.13880000,0.14370000,8686385.00000000,1233133.45440000,7081
