https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ANC,Volume USDT
1663459200,2022-09-18 00:00:00,ANC/USDT,0.1087,0.1087,0.1056,0.1069,513610.64921752,54646.487475376871
1663372800,2022-09-17 00:00:00,ANC/USDT,0.1103,0.1132,0.1034,0.1087,14080616.14744982,1523631.516139361587
1663286400,2022-09-16 00:00:00,ANC/USDT,0.102,0.1195,0.1,0.1103,26031473.52895896,2811012.874663944962
1663200000,2022-09-15 00:00:00,ANC/USDT,0.1127,0.1135,0.0998,0.1019,23904450.50817448,2531865.132412583218
1663113600,2022-09-14 00:00:00,ANC/USDT,0.1381,0.1514,0.091,0.1128,57491203.60983393,6817921.806011317028
1663027200,2022-09-13 00:00:00,ANC/USDT,0.1308,0.1577,0.1255,0.1381,43102032.653494,6053064.130749748701
1662940800,2022-09-12 00:00:00,ANC/USDT,0.1629,0.17,0.1254,0.1305,35733872.98834976,5179132.052689962487
1662854400,2022-09-11 00:00:00,ANC/USDT,0.1815,0.1918,0.1534,0.1632,47296190.22863228,8059079.612178255024
1662768000,2022-09-10 00:00:00,ANC/USDT,0.1526,0.22,0.148,0.1811,96380188.85006604,17320324.197964612526
1662681600,2022-09-09 00:00:00,ANC/USDT,0.1066,0.2225,0.1044,0.1526,121224510.54568328,19113969.852851283988
1662595200,2022-09-08 00:00:00,ANC/USDT,0.0927,0.1279,0.0927,0.1062,51029520.58323833,5763695.804112124833
1662508800,2022-09-07 00:00:00,ANC/USDT,0.0916,0.0971,0.0859,0.0929,11782121.35966273,1082353.285038899044
1662422400,2022-09-06 00:00:00,ANC/USDT,0.0931,0.1118,0.088,0.0914,31420774.18022012,3121343.593006591707
1662336000,2022-09-05 00:00:00,ANC/USDT,0.0885,0.0965,0.0863,0.0931,12006162.73976581,1099125.352487218858
1662249600,2022-09-04 00:00:00,ANC/USDT,0.0884,0.0898,0.0855,0.0886,2806381.31525051,246324.379786625762
1662163200,2022-09-03 00:00:00,ANC/USDT,0.0899,0.0934,0.0857,0.0883,9445728.92304617,842547.877966002028
1662076800,2022-09-02 00:00:00,ANC/USDT,0.0991,0.1022,0.0883,0.0898,15004933.26357766,1407790.673536250243
1661990400,2022-09-01 00:00:00,ANC/USDT,0.0914,0.1196,0.0882,0.099,46501488.90262229,4788205.244857258372
1661904000,2022-08-31 00:00:00,ANC/USDT,0.0827,0.0979,0.0808,0.0914,11631055.62907914,1034361.812166778344
1661817600,2022-08-30 00:00:00,ANC/USDT,0.0827,0.0872,0.0787,0.0826,6280177.4030561,520635.76489472431
1661731200,2022-08-29 00:00:00,ANC/USDT,0.078,0.0854,0.0748,0.0831,5036307.69858027,406787.408757423338
1661644800,2022-08-28 00:00:00,ANC/USDT,0.0803,0.0822,0.0767,0.0779,2633832.31401864,210911.39227916107
1661558400,2022-08-27 00:00:00,ANC/USDT,0.0812,0.0826,0.0771,0.0801,4994762.88262912,400852.109310643655
1661472000,2022-08-26 00:00:00,ANC/USDT,0.0934,0.0936,0.08,0.0811,9029700.52029699,776155.368881222516
1661385600,2022-08-25 00:00:00,ANC/USDT,0.0881,0.0962,0.0849,0.0935,6915204.26393375,630586.208626319455
1661299200,2022-08-24 00:00:00,ANC/USDT,0.0914,0.0915,0.087,0.088,3311395.53585602,294542.637515457419
1661212800,2022-08-23 00:00:00,ANC/USDT,0.0862,0.0938,0.0843,0.0915,8732245.67754625,786810.481616871662
1661126400,2022-08-22 00:00:00,ANC/USDT,0.0881,0.0884,0.0825,0.0866,3387647.61079221,288835.946375931064
1661040000,2022-08-21 00:00:00,ANC/USDT,0.0848,0.0895,0.0842,0.0882,4191366.21683294,364890.032341739956
1660953600,2022-08-20 00:00:00,ANC/USDT,0.0838,0.0903,0.08,0.0846,5070800.23767461,431336.841355613489
1660867200,2022-08-19 00:00:00,ANC/USDT,0.0906,0.0927,0.0825,0.0839,5956975.11742555,522810.021827054913
1660780800,2022-08-18 00:00:00,ANC/USDT,0.1024,0.1034,0.0846,0.0911,8500832.67614362,816429.351478187403
1660694400,2022-08-17 00:00:00,ANC/USDT,0.111,0.1121,0.0995,0.102,6264385.41632688,664433.062335895397
1660608000,2022-08-16 00:00:00,ANC/USDT,0.1112,0.1126,0.1096,0.1108,1237467.60607354,137807.166444216621
1660521600,2022-08-15 00:00:00,ANC/USDT,0.1139,0.1173,0.1087,0.1113,3541760.68873007,397440.400584256389
1660435200,2022-08-14 00:00:00,ANC/USDT,0.1123,0.1251,0.112,0.1139,6435691.0066418,754360.629548406408
1660348800,2022-08-13 00:00:00,ANC/USDT,0.115,0.1157,0.1119,0.1122,1612261.21436744,182966.097500996065
1660262400,2022-08-12 00:00:00,ANC/USDT,0.1127,0.1153,0.1101,0.115,3615079.62109121,406148.121943067033
1660176000,2022-08-11 00:00:00,ANC/USDT,0.1154,0.1179,0.1118,0.1127,2014898.29295345,232476.236081517359
1660089600,2022-08-10 00:00:00,ANC/USDT,0.1118,0.1167,0.1083,0.1154,3276834.8144912,371516.270214133667
1660003200,2022-08-09 00:00:00,ANC/USDT,0.1164,0.13,0.1047,0.1117,13085506.96275255,1563865.030577604917
1659916800,2022-08-08 00:00:00,ANC/USDT,0.1152,0.1193,0.1151,0.1162,2597819.19832499,304653.692293076631
1659830400,2022-08-07 00:00:00,ANC/USDT,0.1149,0.1196,0.1142,0.1153,2602573.81787412,303550.069223749576
1659744000,2022-08-06 00:00:00,ANC/USDT,0.1158,0.117,0.1143,0.1147,2551688.04052743,295354.33516655354
1659657600,2022-08-05 00:00:00,ANC/USDT,0.1133,0.1173,0.1129,0.1158,2735815.31669581,314856.239670948392
1659571200,2022-08-04 00:00:00,ANC/USDT,0.114,0.1161,0.1122,0.1135,2283733.2340664,260301.431093927936
1659484800,2022-08-03 00:00:00,ANC/USDT,0.1135,0.1165,0.111,0.1143,2794644.1109269,320145.572928116783
1659398400,2022-08-02 00:00:00,ANC/USDT,0.119,0.121,0.109,0.1133,4801340.75941029,548925.909705036854
1659312000,2022-08-01 00:00:00,ANC/USDT,0.1161,0.139,0.1147,0.1192,15727384.54970301,1960788.848021221492
1659225600,2022-07-31 00:00:00,ANC/USDT,0.1141,0.1265,0.1137,0.1162,4713709.019423,557123.183920743084
1659139200,2022-07-30 00:00:00,ANC/USDT,0.1143,0.1199,0.1137,0.1141,3317031.43499342,386917.783078902583
