https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TITAN,Volume USDT
1663459200,2022-09-18 00:00:00,TITAN/USDT,1.121,1.176,1.113,1.119,23742.0603,26821.2070951
1663372800,2022-09-17 00:00:00,TITAN/USDT,1.061,1.166,1.057,1.119,206081.4541,223033.0550301
1663286400,2022-09-16 00:00:00,TITAN/USDT,0.999,1.24,0.974,1.061,233457.47571836,246845.19820201168
1663200000,2022-09-15 00:00:00,TITAN/USDT,0.994,1.053,0.963,1,217878.9852,219426.9559683
1663113600,2022-09-14 00:00:00,TITAN/USDT,1.008,1.074,0.994,0.995,250255.5778,257519.4227333
1663027200,2022-09-13 00:00:00,TITAN/USDT,1.065,1.071,0.996,1.008,250759.3076,260399.7976071
1662940800,2022-09-12 00:00:00,TITAN/USDT,1.071,1.098,1.018,1.068,201663.1671,211920.571517
1662854400,2022-09-11 00:00:00,TITAN/USDT,1.028,1.108,1.021,1.068,253730.3481,271293.8111957
1662768000,2022-09-10 00:00:00,TITAN/USDT,1.045,1.102,1.01,1.029,256324.8982,271021.8084896
1662681600,2022-09-09 00:00:00,TITAN/USDT,0.973,1.131,0.968,1.048,276741.962,280781.6317764
1662595200,2022-09-08 00:00:00,TITAN/USDT,0.961,0.997,0.961,0.973,251796.5589,245951.0179239
1662508800,2022-09-07 00:00:00,TITAN/USDT,1.005,1.009,0.937,0.962,238478.2911,229783.3079536
1662422400,2022-09-06 00:00:00,TITAN/USDT,0.978,1.099,0.973,1.009,270207.3246,276702.9838797
1662336000,2022-09-05 00:00:00,TITAN/USDT,1.021,1.035,0.954,0.981,267649.0043,270464.2062827
1662249600,2022-09-04 00:00:00,TITAN/USDT,1.033,1.058,0.978,1.023,267350.8595,272942.5614137
1662163200,2022-09-03 00:00:00,TITAN/USDT,1.085,1.087,1.021,1.033,275515.7266,288300.9581376
1662076800,2022-09-02 00:00:00,TITAN/USDT,1.064,1.118,1.032,1.079,150615.0253,159394.497431
1661990400,2022-09-01 00:00:00,TITAN/USDT,1.06,1.111,1.022,1.064,261228.45419652,274088.15750700982
1661904000,2022-08-31 00:00:00,TITAN/USDT,1.043,1.068,1.042,1.06,180309.04670235,189420.18558170047
1661817600,2022-08-30 00:00:00,TITAN/USDT,1.036,1.051,1.033,1.047,252611.93369687,263058.21730533969
1661731200,2022-08-29 00:00:00,TITAN/USDT,1.067,1.069,1.028,1.034,265120.93369981,275754.91805989993
1661644800,2022-08-28 00:00:00,TITAN/USDT,1.071,1.08,1.038,1.065,278696.50113699,296396.06114408514
1661558400,2022-08-27 00:00:00,TITAN/USDT,1.083,1.093,1.066,1.072,271665.45786942,293451.37406393762
1661472000,2022-08-26 00:00:00,TITAN/USDT,1.116,1.12,1.071,1.086,254330.16071186,277329.17751359037
1661385600,2022-08-25 00:00:00,TITAN/USDT,1.107,1.149,1.07,1.112,252571.61348122,280964.31094635931
1661299200,2022-08-24 00:00:00,TITAN/USDT,1.077,1.154,1.065,1.107,217750.93846844,236581.87628268976
1661212800,2022-08-23 00:00:00,TITAN/USDT,1.07,1.104,1.068,1.081,193426.70504949,210778.34487670499
1661126400,2022-08-22 00:00:00,TITAN/USDT,1.121,1.127,1.061,1.07,299828.52933394,324908.14615817401
1661040000,2022-08-21 00:00:00,TITAN/USDT,1.084,1.135,1.078,1.122,418891.03244223,456499.0763603469
1660953600,2022-08-20 00:00:00,TITAN/USDT,1.084,1.107,1.068,1.08,376908.56981412,410345.89191518848
1660867200,2022-08-19 00:00:00,TITAN/USDT,1.199,1.471,1.042,1.084,307368.2227159,350712.70074853528
1660780800,2022-08-18 00:00:00,TITAN/USDT,1.115,1.208,1.107,1.2,300317.9222237,342016.93797270933
1660694400,2022-08-17 00:00:00,TITAN/USDT,1.193,1.21,1.102,1.11,269534.28359778,316736.45430459477
1660608000,2022-08-16 00:00:00,TITAN/USDT,1.181,1.218,1.14,1.196,274242.1034311,324823.64570788443
1660521600,2022-08-15 00:00:00,TITAN/USDT,1.336,1.362,1.152,1.179,356647.95323593,460452.16045041607
1660435200,2022-08-14 00:00:00,TITAN/USDT,1.327,1.37,1.318,1.339,225558.2567979,302801.56083285894
1660348800,2022-08-13 00:00:00,TITAN/USDT,1.34,1.398,1.312,1.333,318032.37524839,428646.18842963797
1660262400,2022-08-12 00:00:00,TITAN/USDT,1.539,1.542,1.327,1.341,277104.44816783,389608.22774911803
1660176000,2022-08-11 00:00:00,TITAN/USDT,1.292,1.649,1.256,1.542,306953.376179,409196.71013474621
1660089600,2022-08-10 00:00:00,TITAN/USDT,1.237,1.4,1.233,1.293,264581.29026182,339951.64496073146
1660003200,2022-08-09 00:00:00,TITAN/USDT,1.219,1.375,1.174,1.237,312909.06036518,390018.9711957045
1659916800,2022-08-08 00:00:00,TITAN/USDT,1.083,1.467,1.077,1.222,367653.32267577,450752.96865330852
1659830400,2022-08-07 00:00:00,TITAN/USDT,1.067,1.289,1.048,1.084,345657.85859669,377836.34329731196
1659744000,2022-08-06 00:00:00,TITAN/USDT,1.06,1.089,1.043,1.068,427280.2264219,455216.08928162418
1659657600,2022-08-05 00:00:00,TITAN/USDT,1.044,1.076,1.03,1.06,324193.35550989,340054.29383429849
1659571200,2022-08-04 00:00:00,TITAN/USDT,1.059,1.115,1.03,1.042,302545.34947103,320720.27149737971
1659484800,2022-08-03 00:00:00,TITAN/USDT,1.066,1.102,1.02,1.058,398291.64412116,426082.41383676502
1659398400,2022-08-02 00:00:00,TITAN/USDT,1.074,1.105,1.038,1.068,425634.22545633,454960.82491418316
1659312000,2022-08-01 00:00:00,TITAN/USDT,1.121,1.169,1.065,1.072,318218.05821383,346151.31344765739
1659225600,2022-07-31 00:00:00,TITAN/USDT,1.084,1.185,1.066,1.12,290414.59503589,316967.69058670414
1659139200,2022-07-30 00:00:00,TITAN/USDT,1.08,1.123,1.069,1.084,348772.33030376,383321.01647657006
1659052800,2022-07-29 00:00:00,TITAN/USDT,1.099,1.139,1.062,1.076,305861.58354607,337677.12320110013
1658966400,2022-07-28 00:00:00,TITAN/USDT,1.138,1.152,1.049,1.097,298644.39096297,329797.31598318497
