https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RUB,Volume BTC
1663545600000,2022-09-19 00:00:00,BTC/RUB,1268734.36,1277140.72,1266871.0,1276897.25,513129.77896893746,0.40185675
1663459200000,2022-09-18 00:00:00,BTC/RUB,1273697.18,1273697.18,1227341.86,1268799.71,5262786.58858048,4.14784662
1663372800000,2022-09-17 00:00:00,BTC/RUB,1252727.72,1277677.67,1251480.42,1273836.91,3978764.0622143494,3.12344856
1663286400000,2022-09-16 00:00:00,BTC/RUB,1219099.24,1255311.81,1214371.32,1251532.55,4138571.227993211,3.30680271
1663200000000,2022-09-15 00:00:00,BTC/RUB,1249294.68,1260333.01,1214769.0,1218604.03,4994928.527594094,4.09889382
1663113600000,2022-09-14 00:00:00,BTC/RUB,1268293.57,1308593.0,1222500.0,1248833.53,19495573.668103598,15.61102677
1663027200000,2022-09-13 00:00:00,BTC/RUB,1393505.63,1425114.86,1233108.0,1267881.25,15149515.258507812,11.94868625
1662940800000,2022-09-12 00:00:00,BTC/RUB,1373264.57,1409908.0,1354658.58,1393830.57,6077288.922671334,4.36013462
1662854400000,2022-09-11 00:00:00,BTC/RUB,1374883.46,1376643.99,1353114.3,1373245.24,4013277.5331323133,2.92247693
1662768000000,2022-09-10 00:00:00,BTC/RUB,1357132.55,1380566.78,1342278.0,1374557.19,4082074.582860501,2.9697379
1662681600000,2022-09-09 00:00:00,BTC/RUB,1233252.12,1359338.7,1232059.41,1357045.58,6315499.790106949,4.65385974
1662595200000,2022-09-08 00:00:00,BTC/RUB,1259884.14,1265204.18,1200000.01,1233087.49,9209400.062557051,7.46856986
1662508800000,2022-09-07 00:00:00,BTC/RUB,1192230.79,1259682.14,1181473.58,1258504.34,9287613.789973792,7.37988221
1662422400000,2022-09-06 00:00:00,BTC/RUB,1252934.0,1260000.0,1193249.07,1193249.07,5247312.308025372,4.3974996
1662336000000,2022-09-05 00:00:00,BTC/RUB,1254468.47,1270000,1236631.01,1254233.26,6956990.45331745,5.5468075
1662249600000,2022-09-04 00:00:00,BTC/RUB,1245205.86,1254561.49,1230000.0,1254066.29,3304131.4311147584,2.63473427
1662163200000,2022-09-03 00:00:00,BTC/RUB,1260092.17,1265000.0,1233286.01,1246089.15,6268792.685666944,5.03077383
1662076800000,2022-09-02 00:00:00,BTC/RUB,1256486.77,1284356.62,1241632.0,1261392.5,11539031.2984416,9.14785152
1661990400000,2022-09-01 00:00:00,BTC/RUB,1263289.73,1273989.03,1239896,1259688.2,5425758.176821829,4.30722315
1661904000000,2022-08-31 00:00:00,BTC/RUB,1229749.61,1274765.89,1227926.23,1263128.19,3520017.923589734,2.78674639
1661817600000,2022-08-30 00:00:00,BTC/RUB,1286508.48,1291063.05,1221898.77,1226729.49,4878331.028804619,3.97669663
1661731200000,2022-08-29 00:00:00,BTC/RUB,1210945.14,1291887.32,1208070.0,1285721.26,4638534.942767185,3.60772983
1661644800000,2022-08-28 00:00:00,BTC/RUB,1230910.46,1242512.0,1210000.0,1210506.99,4556472.544692384,3.76410263
1661558400000,2022-08-27 00:00:00,BTC/RUB,1250756.72,1260606.26,1207332.25,1233895.67,2638421.6515372694,2.13828585
1661472000000,2022-08-26 00:00:00,BTC/RUB,1331807.28,1339238.64,1246040.64,1251669.41,4613072.1574693015,3.68553559
1661385600000,2022-08-25 00:00:00,BTC/RUB,1327133.58,1350673.57,1306302.42,1331804.13,5172157.282024524,3.88357204
1661299200000,2022-08-24 00:00:00,BTC/RUB,1338888.2,1357307.96,1301229.14,1327699.01,3312082.4645226337,2.4946034
1661212800000,2022-08-23 00:00:00,BTC/RUB,1326323.87,1372227.93,1300001.01,1338411.13,8103149.41056043,6.05430516
1661126400000,2022-08-22 00:00:00,BTC/RUB,1336249.96,1337002.97,1323829.01,1326370.09,141301.3093937106,0.10653234
1661040000000,2022-08-21 00:00:00,BTC/RUB,1328245.27,1347851.99,1303035.76,1335978.15,2806350.745411063,2.10059629
1660953600000,2022-08-20 00:00:00,BTC/RUB,1333639.99,1350832.02,1309963.94,1325950.09,4701359.961959342,3.54565379
1660867200000,2022-08-19 00:00:00,BTC/RUB,1453727.76,1457445.99,1320000.0,1325727.74,5509871.417845424,4.15611083
1660780800000,2022-08-18 00:00:00,BTC/RUB,1463256.84,1485176.0,1448184.32,1453776.22,4124030.9628114924,2.83677151
1660694400000,2022-08-17 00:00:00,BTC/RUB,1502242.6,1524613.11,1452000.0,1462000.3,4803698.6693708785,3.28570293
