Created on 11-22-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XVG,Volume BTC
1605830400.0,2020-11-20,XVGBTC,2.4e-07,2.5e-07,2.4e-07,2.4e-07,1046559.87,0.2585
1605744000.0,2020-11-19,XVGBTC,2.4e-07,2.5e-07,2.3e-07,2.4e-07,17674176.01,4.338
1605657600.0,2020-11-18,XVGBTC,2.5e-07,2.6e-07,2.4e-07,2.4e-07,37258719.38,9.186
1605571200.0,2020-11-17,XVGBTC,2.6e-07,2.8e-07,2.5e-07,2.5e-07,19420826.03,5.078
1605484800.0,2020-11-16,XVGBTC,2.7e-07,2.8e-07,2.6e-07,2.6e-07,4263866.63,1.154
1605398400.0,2020-11-15,XVGBTC,2.7e-07,2.8e-07,2.7e-07,2.7e-07,3979245.45,1.086
1605312000.0,2020-11-14,XVGBTC,2.8e-07,2.9e-07,2.7e-07,2.7e-07,3635682.84,1.013
1605225600.0,2020-11-13,XVGBTC,2.6e-07,2.9e-07,2.6e-07,2.8e-07,3291830.8,0.9048
1605139200.0,2020-11-12,XVGBTC,2.8e-07,2.9e-07,2.6e-07,2.6e-07,8232384.42,2.291
1605052800.0,2020-11-11,XVGBTC,3.0e-07,3.1e-07,2.8e-07,2.8e-07,9188990.84,2.735
1604966400.0,2020-11-10,XVGBTC,2.9e-07,3.1e-07,2.8e-07,3.0e-07,9771878.34,2.886
1604880000.0,2020-11-09,XVGBTC,2.8e-07,3.0e-07,2.7e-07,2.9e-07,6208521.36,1.737
1604793600.0,2020-11-08,XVGBTC,2.8e-07,2.8e-07,2.7e-07,2.8e-07,3029834.67,0.8293
1604707200.0,2020-11-07,XVGBTC,2.7e-07,2.9e-07,2.7e-07,2.8e-07,12667641.57,3.538
1604620800.0,2020-11-06,XVGBTC,2.6e-07,3.0e-07,2.5e-07,2.7e-07,56576874.92,15.41
1604534400.0,2020-11-05,XVGBTC,2.8e-07,2.8e-07,2.5e-07,2.6e-07,11100536.09,2.925
1604448000.0,2020-11-04,XVGBTC,2.9e-07,2.9e-07,2.6e-07,2.8e-07,5209178.36,1.445
1604361600.0,2020-11-03,XVGBTC,2.9e-07,3.1e-07,2.8e-07,2.9e-07,11433608.23,3.332
1604275200.0,2020-11-02,XVGBTC,3.2e-07,3.2e-07,2.9e-07,2.9e-07,22613997.0,6.974
1604188800.0,2020-11-01,XVGBTC,2.9e-07,3.4e-07,2.8e-07,3.2e-07,36408273.58,11.57
1604102400.0,2020-10-31,XVGBTC,2.8e-07,3.0e-07,2.7e-07,2.9e-07,12287825.06,3.401
1604016000.0,2020-10-30,XVGBTC,2.8e-07,2.9e-07,2.6e-07,2.8e-07,25370342.31,7.07
1603929600.0,2020-10-29,XVGBTC,2.9e-07,3.1e-07,2.8e-07,2.8e-07,24283417.05,7.221
1603843200.0,2020-10-28,XVGBTC,3.0e-07,3.1e-07,2.8e-07,2.9e-07,42127905.38,12.47
1603756800.0,2020-10-27,XVGBTC,3.5e-07,3.5e-07,2.9e-07,3.0e-07,61727425.01,19.73
1603670400.0,2020-10-26,XVGBTC,3.5e-07,3.6e-07,3.4e-07,3.5e-07,9135472.61,3.18
1603584000.0,2020-10-25,XVGBTC,3.6e-07,3.7e-07,3.4e-07,3.5e-07,14476855.21,5.162
1603497600.0,2020-10-24,XVGBTC,3.6e-07,3.7e-07,3.5e-07,3.6e-07,4192621.92,1.496
1603411200.0,2020-10-23,XVGBTC,3.7e-07,3.7e-07,3.5e-07,3.6e-07,6316411.72,2.27
1603324800.0,2020-10-22,XVGBTC,3.7e-07,3.7e-07,3.6e-07,3.7e-07,9113975.63,3.305
1603238400.0,2020-10-21,XVGBTC,3.7e-07,3.7e-07,3.5e-07,3.7e-07,13458256.69,4.857
1603152000.0,2020-10-20,XVGBTC,3.8e-07,4.0e-07,3.5e-07,3.7e-07,27772927.93,10.18
1603065600.0,2020-10-19,XVGBTC,3.8e-07,3.9e-07,3.7e-07,3.8e-07,10414816.35,3.938
1602979200.0,2020-10-18,XVGBTC,3.8e-07,4.0e-07,3.8e-07,3.8e-07,16959376.46,6.584
1602892800.0,2020-10-17,XVGBTC,3.8e-07,3.9e-07,3.7e-07,3.8e-07,827918.99,0.3147
1602806400.0,2020-10-16,XVGBTC,3.9e-07,3.9e-07,3.7e-07,3.8e-07,8750171.75,3.329
