https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XCH,Volume USDT
1663459200,2022-09-18 00:00:00,XCH/USDT,35.334,35.335,35.263,35.263,15.9829,564.5406129
1663372800,2022-09-17 00:00:00,XCH/USDT,34.642,35.451,34.2,35.335,1946.819,67712.8828694
1663286400,2022-09-16 00:00:00,XCH/USDT,35.623,35.641,34.11,34.652,2374.0104,82573.0711654
1663200000,2022-09-15 00:00:00,XCH/USDT,35.227,36.216,34.57,35.549,2784.3894,98752.4372239
1663113600,2022-09-14 00:00:00,XCH/USDT,35.589,36.334,34.891,35.301,3616.0184,128108.0914434
1663027200,2022-09-13 00:00:00,XCH/USDT,37.763,37.816,35.588,35.589,3667.9859,133669.5918355
1662940800,2022-09-12 00:00:00,XCH/USDT,37.756,41.217,36.694,37.733,3249.0057,123109.0021328
1662854400,2022-09-11 00:00:00,XCH/USDT,38.059,38.1,37.349,37.714,1109.1082,41817.0332589
1662768000,2022-09-10 00:00:00,XCH/USDT,37.57,38.51,36.71,38.059,3179.908,119718.9497167
1662681600,2022-09-09 00:00:00,XCH/USDT,35.82,37.707,35.64,37.656,6803.7446,248392.3429736
1662595200,2022-09-08 00:00:00,XCH/USDT,35.116,35.833,34.332,35.833,1546.96610167,54097.59413227071
1662508800,2022-09-07 00:00:00,XCH/USDT,34.75,35.858,33.989,35.224,2153.0789,74866.0230549
1662422400,2022-09-06 00:00:00,XCH/USDT,35.69,36.072,34.5,34.724,2476.6089,87600.2588487
1662336000,2022-09-05 00:00:00,XCH/USDT,36.316,36.591,35.01,35.691,2335.8883,83577.3774689
1662249600,2022-09-04 00:00:00,XCH/USDT,36.933,36.933,36.214,36.311,1014.751,37047.5381191
1662163200,2022-09-03 00:00:00,XCH/USDT,36.212,37.146,36.082,36.947,853.3106,31232.1331353
1662076800,2022-09-02 00:00:00,XCH/USDT,36.363,37.037,35.564,36.2,1575.4439,57013.7047227
1661990400,2022-09-01 00:00:00,XCH/USDT,36.415,36.893,36.06,36.363,1662.9065,60549.529012
1661904000,2022-08-31 00:00:00,XCH/USDT,36.605,37.053,36.038,36.379,1577.9187,57522.7730529
1661817600,2022-08-30 00:00:00,XCH/USDT,37.835,37.911,36.098,36.6,1800.4542,66317.5310661
1661731200,2022-08-29 00:00:00,XCH/USDT,36.811,37.89,36.163,37.778,1669.6815,62025.0086561
1661644800,2022-08-28 00:00:00,XCH/USDT,37.568,37.903,36.8,36.811,1481.4173,55418.6674182
1661558400,2022-08-27 00:00:00,XCH/USDT,37.478,38.44,36.784,37.551,2026.5391,76133.106905
1661472000,2022-08-26 00:00:00,XCH/USDT,39.427,39.427,37.119,37.479,3173.5718,120844.9767413
1661385600,2022-08-25 00:00:00,XCH/USDT,39.06,39.665,38.833,39.304,1462.1125,57322.6345737
1661299200,2022-08-24 00:00:00,XCH/USDT,39.467,39.66,38.74,39.001,1136.6824,44589.3402516
1661212800,2022-08-23 00:00:00,XCH/USDT,39.714,39.9,38.664,39.341,2022.017,79515.0163391
1661126400,2022-08-22 00:00:00,XCH/USDT,40.305,40.305,38.177,39.669,1771.7703,69582.1818271
1661040000,2022-08-21 00:00:00,XCH/USDT,39.163,41.087,38.616,40.325,2251.8912,89311.7498595
1660953600,2022-08-20 00:00:00,XCH/USDT,38.367,39.61,38.082,39.151,2033.971,79107.1953647
1660867200,2022-08-19 00:00:00,XCH/USDT,41.499,41.521,38.193,38.284,3433.9597,137353.2754573
1660780800,2022-08-18 00:00:00,XCH/USDT,42.557,42.557,41.5,41.524,2530.2114,106344.4652424
1660694400,2022-08-17 00:00:00,XCH/USDT,42.22,43.196,41.598,42.476,2198.55080021,93319.80746290631
1660608000,2022-08-16 00:00:00,XCH/USDT,42.252,42.426,41.064,42.13,2676.5463,111997.6058437
1660521600,2022-08-15 00:00:00,XCH/USDT,42.71,43.097,41.83,42.351,2680.5844,113475.7577087
1660435200,2022-08-14 00:00:00,XCH/USDT,43.322,43.384,42.275,42.724,1825.5389,78493.7117555
1660348800,2022-08-13 00:00:00,XCH/USDT,43.202,44,43,43.314,2332.2516,101213.4152423
1660262400,2022-08-12 00:00:00,XCH/USDT,43.3,43.393,42.275,43.177,1791.071,76729.0649833
1660176000,2022-08-11 00:00:00,XCH/USDT,43.243,43.97,42.964,43.3,3088.0377,134159.4105411
1660089600,2022-08-10 00:00:00,XCH/USDT,43.263,45,42.102,43.354,2322.5283,100667.5252932
1660003200,2022-08-09 00:00:00,XCH/USDT,44.16,45,42.514,43.261,2709.9977,118085.3840162
1659916800,2022-08-08 00:00:00,XCH/USDT,43.25,45.409,43,44.16,5063.961,223837.8022062
1659830400,2022-08-07 00:00:00,XCH/USDT,43.062,43.9,42.7,43.25,1364.6602,59011.0108908
1659744000,2022-08-06 00:00:00,XCH/USDT,43.863,43.865,42.83,43.124,1578.188,68264.4032969
1659657600,2022-08-05 00:00:00,XCH/USDT,43.51,44,43.129,43.736,1855.6488,80940.5208444
1659571200,2022-08-04 00:00:00,XCH/USDT,42.716,43.724,42.209,43.472,2280.0032,98056.4568171
1659484800,2022-08-03 00:00:00,XCH/USDT,42.6,43.761,42.1,42.529,2180.6338,93477.2895924
1659398400,2022-08-02 00:00:00,XCH/USDT,43.285,43.42,41.499,42.754,2135.529,90579.6340781
1659312000,2022-08-01 00:00:00,XCH/USDT,43.458,44.68,42.14,43.281,2190.3383,94709.0640323
1659225600,2022-07-31 00:00:00,XCH/USDT,43.917,45.889,40.51,43.507,4271.58106764,189151.43400495404
1659139200,2022-07-30 00:00:00,XCH/USDT,43.01,46.855,42.488,43.75,5453.0777,241356.4263546
1659052800,2022-07-29 00:00:00,XCH/USDT,42.479,43.794,41.476,43.191,2640.0963,112574.163536
1658966400,2022-07-28 00:00:00,XCH/USDT,41.422,44.206,41.27,42.501,3905.0714,165851.6740854
1658880000,2022-07-27 00:00:00,XCH/USDT,40.938,43.26,40.211,41.574,3082.743,128006.6204104
1658793600,2022-07-26 00:00:00,XCH/USDT,40.057,40.938,39.26,40.938,2904.28,116537.4927919
1658707200,2022-07-25 00:00:00,XCH/USDT,41.902,42.739,39.849,39.941,4035.8841,167781.7394063
1658620800,2022-07-24 00:00:00,XCH/USDT,41.848,44,41.476,41.9,3215.5562,136684.6645265
1658534400,2022-07-23 00:00:00,XCH/USDT,42.535,43.812,41.347,41.673,1768.0909,74443.6034568
1658448000,2022-07-22 00:00:00,XCH/USDT,43.307,43.387,41.937,42.535,1426.297,61048.8604796
1658361600,2022-07-21 00:00:00,XCH/USDT,43.273,44.125,41.927,43.28,1517.2064,65138.1128883
1658275200,2022-07-20 00:00:00,XCH/USDT,44.21,46.038,42.531,43.3,2703.90475481,120307.38759271459
1658188800,2022-07-19 00:00:00,XCH/USDT,45.092,45.52,42.868,44.097,3430.46930271,152119.97335220279
1658102400,2022-07-18 00:00:00,XCH/USDT,43.324,46.024,43.117,44.958,4063.18251575,182061.79400962174
1658016000,2022-07-17 00:00:00,XCH/USDT,41.612,44.845,40.85,43.363,5518.43640848,238592.48890625115
1657929600,2022-07-16 00:00:00,XCH/USDT,40.628,41.819,40.34,41.707,1731.7060875,70877.66342401532
1657843200,2022-07-15 00:00:00,XCH/USDT,40.079,42.9,39.907,40.45,1993.61992317,81927.39505133147
1657756800,2022-07-14 00:00:00,XCH/USDT,41.144,41.36,39.192,39.996,2345.57212233,94103.95641390932
1657670400,2022-07-13 00:00:00,XCH/USDT,38.711,41.905,38.601,41.133,2727.43325488,109339.33315035686
1657584000,2022-07-12 00:00:00,XCH/USDT,36.201,40.9,35.836,38.62,4564.20321159,174387.69373805628
1657497600,2022-07-11 00:00:00,XCH/USDT,41.84,41.902,35.925,36.2,4412.96931688,171261.59349696858
1657411200,2022-07-10 00:00:00,XCH/USDT,43.791,43.893,40.079,41.861,1764.40991827,73801.5254239602
1657324800,2022-07-09 00:00:00,XCH/USDT,44.262,44.6,43.469,43.8,1271.65023569,55956.21321200285
1657238400,2022-07-08 00:00:00,XCH/USDT,44.031,45.22,44,44.272,2416.48395479,107566.59016395938
1657152000,2022-07-07 00:00:00,XCH/USDT,43.488,44.34,43.23,44.022,3054.63864663,133797.66826675297
1657065600,2022-07-06 00:00:00,XCH/USDT,43.351,44.044,43,43.5,1185.7875842,51511.22969988669
1656979200,2022-07-05 00:00:00,XCH/USDT,45.02,45.286,42.628,43.349,2745.37718633,119504.75510118246
1656892800,2022-07-04 00:00:00,XCH/USDT,43.6,45.39,42.42,45.04,3258.22303775,141029.51056459132
1656806400,2022-07-03 00:00:00,XCH/USDT,45.2,45.279,42.751,43.56,1657.90590267,72220.19300360773
1656720000,2022-07-02 00:00:00,XCH/USDT,45.61,48.4,43.9,45,3041.99012618,137877.53626350911
1656633600,2022-07-01 00:00:00,XCH/USDT,43.758,48,42.6,45.868,4005.61248241,178224.09736922653
1656547200,2022-06-30 00:00:00,XCH/USDT,42.71,48.175,41.288,43.83,10898.4439037,485638.72190932425
1656460800,2022-06-29 00:00:00,XCH/USDT,42.21,47.28,41.4,42.46,3211.29503898,137967.41507491124
1656374400,2022-06-28 00:00:00,XCH/USDT,42.394,42.67,41.04,42.21,2634.82880089,110324.9503498816
1656288000,2022-06-27 00:00:00,XCH/USDT,41.21,44.81,38.55,42.517,4811.16531661,202806.20916588684
1656201600,2022-06-26 00:00:00,XCH/USDT,41.14,42.63,40.14,41.24,2374.59989628,97883.224291612
1656115200,2022-06-25 00:00:00,XCH/USDT,41.89,42.63,40.22,40.93,2020.58028189,83135.68967436
1656028800,2022-06-24 00:00:00,XCH/USDT,42.91,46.59,40.91,41.98,3950.83295583,169061.9948642932
1655942400,2022-06-23 00:00:00,XCH/USDT,41.12,45.75,40.11,42.92,5410.42009299,229275.9500113266
1655856000,2022-06-22 00:00:00,XCH/USDT,44.72,46.28,40.67,41.32,8836.5902927,382012.1637814554
1655769600,2022-06-21 00:00:00,XCH/USDT,52.83,55,43,44.85,19309.02484272,957430.82732754
1655683200,2022-06-20 00:00:00,XCH/USDT,44.25,55,42.17,52.81,25653.59155237,1238204.9931160734
1655596800,2022-06-19 00:00:00,XCH/USDT,38.87,50.22,36.12,44.25,16301.61605095,683788.8875974174
1655510400,2022-06-18 00:00:00,XCH/USDT,31.02,42.75,29.46,38.64,19579.64469177,684343.9237558937
