https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MNW,Volume USDT
1663372800,2022-09-17 00:00:00,MNW/USDT,0.501,0.5048,0.501,0.5011,765.5679,383.56332352
1663286400,2022-09-16 00:00:00,MNW/USDT,0.5019,0.5056,0.475,0.5042,63274.2033,31061.90234596
1663200000,2022-09-15 00:00:00,MNW/USDT,0.4882,0.5299,0.4841,0.499,103266.3244,51923.64204417
1663113600,2022-09-14 00:00:00,MNW/USDT,0.5311,0.5422,0.451,0.492,289345.7539,145920.42924327
1663027200,2022-09-13 00:00:00,MNW/USDT,0.5464,0.5708,0.5298,0.5349,63495.9824,35047.60146757
1662940800,2022-09-12 00:00:00,MNW/USDT,0.5951,0.6079,0.5464,0.5487,83116.7582,47728.61590782
1662854400,2022-09-11 00:00:00,MNW/USDT,0.5956,0.609,0.571,0.5991,61736.6911,36452.27684431
1662768000,2022-09-10 00:00:00,MNW/USDT,0.5966,0.6155,0.56,0.5922,55179.3979,32165.37528481
1662681600,2022-09-09 00:00:00,MNW/USDT,0.549,0.6189,0.549,0.5963,80199.3085,47378.85808933
1662595200,2022-09-08 00:00:00,MNW/USDT,0.5663,0.5726,0.5289,0.5454,107095.4326,58890.00483245
1662508800,2022-09-07 00:00:00,MNW/USDT,0.5346,0.5899,0.5005,0.5643,124791.1311,66991.41608821
1662422400,2022-09-06 00:00:00,MNW/USDT,0.5454,0.5899,0.5001,0.5354,163648.5848,89487.17792718
1662336000,2022-09-05 00:00:00,MNW/USDT,0.5652,0.58,0.5359,0.5424,39842.9826,22138.82948499
1662249600,2022-09-04 00:00:00,MNW/USDT,0.5515,0.5681,0.5366,0.5681,37108.0847,20524.17987001
1662163200,2022-09-03 00:00:00,MNW/USDT,0.5457,0.5651,0.5426,0.5515,28616.4982,15707.76169998
1662076800,2022-09-02 00:00:00,MNW/USDT,0.554,0.5741,0.5297,0.5429,63810.7416,35225.3223789
1661990400,2022-09-01 00:00:00,MNW/USDT,0.5353,0.5599,0.5155,0.554,139582.1398,75009.96911626
1661904000,2022-08-31 00:00:00,MNW/USDT,0.4907,0.565,0.4907,0.5354,186328.4472,100111.51453382
1661817600,2022-08-30 00:00:00,MNW/USDT,0.4791,0.5005,0.4747,0.4907,36579.0151,17722.55796033
1661731200,2022-08-29 00:00:00,MNW/USDT,0.4537,0.4936,0.4392,0.4821,45037.0028,21184.64440491
1661644800,2022-08-28 00:00:00,MNW/USDT,0.4523,0.4754,0.4458,0.4555,67655.1925,31046.05908273
1661558400,2022-08-27 00:00:00,MNW/USDT,0.4555,0.4638,0.4302,0.4553,80913.3257,35907.81891041
1661472000,2022-08-26 00:00:00,MNW/USDT,0.4971,0.5057,0.4452,0.4588,196394.3184,91053.07303838
1661385600,2022-08-25 00:00:00,MNW/USDT,0.4799,0.53,0.4754,0.4971,95055.5906,47652.67161918
1661299200,2022-08-24 00:00:00,MNW/USDT,0.4822,0.4944,0.472,0.4799,54030.5025,26087.74671243
1661212800,2022-08-23 00:00:00,MNW/USDT,0.4801,0.4887,0.4709,0.4792,77539.5476,36974.65987178
1661126400,2022-08-22 00:00:00,MNW/USDT,0.4946,0.4983,0.4683,0.4801,102747.2934,49270.8935067
1661040000,2022-08-21 00:00:00,MNW/USDT,0.473,0.5001,0.4704,0.4914,98427.3439,48025.42352704
1660953600,2022-08-20 00:00:00,MNW/USDT,0.4865,0.4939,0.4675,0.4758,49692.4325,23921.63867417
1660867200,2022-08-19 00:00:00,MNW/USDT,0.5389,0.5389,0.4711,0.4878,198202.1215,98316.16559671
1660780800,2022-08-18 00:00:00,MNW/USDT,0.5216,0.554,0.5188,0.5388,136460.6445,72856.58795499
1660694400,2022-08-17 00:00:00,MNW/USDT,0.5429,0.5594,0.515,0.5223,75485.2014,39888.50796081
1660608000,2022-08-16 00:00:00,MNW/USDT,0.5277,0.5541,0.5154,0.5441,117270.5702,62509.94396032
1660521600,2022-08-15 00:00:00,MNW/USDT,0.5313,0.5408,0.5101,0.5313,129935.7707,68439.41753932
1660435200,2022-08-14 00:00:00,MNW/USDT,0.5549,0.575,0.5201,0.5313,121918.96155961,66072.692422298035
1660348800,2022-08-13 00:00:00,MNW/USDT,0.5427,0.575,0.5306,0.5517,146824.894,81194.25600873
1660262400,2022-08-12 00:00:00,MNW/USDT,0.5186,0.5428,0.5073,0.5423,112329.9751,58782.1638336
1660176000,2022-08-11 00:00:00,MNW/USDT,0.5262,0.5563,0.5159,0.5226,123665.4508,65714.92708259
1660089600,2022-08-10 00:00:00,MNW/USDT,0.5219,0.5459,0.5001,0.526,229410.8076,119511.06759562
1660003200,2022-08-09 00:00:00,MNW/USDT,0.5403,0.5472,0.5102,0.5221,80748.9677,42876.31559422
1659916800,2022-08-08 00:00:00,MNW/USDT,0.5317,0.5557,0.5301,0.5403,92845.9012,50212.92329859
1659830400,2022-08-07 00:00:00,MNW/USDT,0.5367,0.541,0.5208,0.5317,91036.0991,47855.77342474
1659744000,2022-08-06 00:00:00,MNW/USDT,0.5595,0.5595,0.5331,0.5367,72821.6663,39726.61348212
1659657600,2022-08-05 00:00:00,MNW/USDT,0.5555,0.5697,0.5549,0.5594,109178.0823,61368.84051455
1659571200,2022-08-04 00:00:00,MNW/USDT,0.5548,0.5643,0.55,0.5591,116170.8946,64705.95397457
1659484800,2022-08-03 00:00:00,MNW/USDT,0.539,0.5679,0.52,0.5547,188364.3544,102992.89388986
1659398400,2022-08-02 00:00:00,MNW/USDT,0.5561,0.5561,0.5383,0.5394,90493.222,49618.97166379
1659312000,2022-08-01 00:00:00,MNW/USDT,0.5599,0.5779,0.5489,0.5596,191545.7048,106691.47037593
1659225600,2022-07-31 00:00:00,MNW/USDT,0.5704,0.5955,0.55,0.5607,74978.4884,43027.83618463
1659139200,2022-07-30 00:00:00,MNW/USDT,0.5958,0.604,0.5704,0.5704,118107.6385,68875.67341868
1659052800,2022-07-29 00:00:00,MNW/USDT,0.6187,0.6316,0.5882,0.5958,117958.8026,71786.58246364
1658966400,2022-07-28 00:00:00,MNW/USDT,0.6099,0.6599,0.5973,0.6161,182001.7057,114206.95818104
1658880000,2022-07-27 00:00:00,MNW/USDT,0.5568,0.647,0.5568,0.61,95499.2577,56849.43026955
1658793600,2022-07-26 00:00:00,MNW/USDT,0.5718,0.5719,0.5368,0.5515,79653.1152,43999.34012572
1658707200,2022-07-25 00:00:00,MNW/USDT,0.6234,0.6234,0.57,0.57,105476.9056,62504.93988358
1658620800,2022-07-24 00:00:00,MNW/USDT,0.622,0.6511,0.6107,0.6234,51697.047,32543.96597047
1658534400,2022-07-23 00:00:00,MNW/USDT,0.6331,0.65,0.605,0.619,94129.2549,58927.33675884
1658448000,2022-07-22 00:00:00,MNW/USDT,0.6421,0.692,0.6243,0.6327,184796.66279803,122759.388183321658
1658361600,2022-07-21 00:00:00,MNW/USDT,0.59,0.6567,0.5648,0.6458,153674.9054,92339.26263709
1658275200,2022-07-20 00:00:00,MNW/USDT,0.5999,0.69,0.5753,0.5906,223540.74044927,140581.775378916867
1658188800,2022-07-19 00:00:00,MNW/USDT,0.5762,0.609,0.5526,0.6,160033.40737878,93517.440204328758
1658102400,2022-07-18 00:00:00,MNW/USDT,0.5102,0.58,0.5096,0.58,105759.53212797,57706.325199310541
1658016000,2022-07-17 00:00:00,MNW/USDT,0.5068,0.5519,0.5064,0.5102,43847.23556007,22858.025135932647
1657929600,2022-07-16 00:00:00,MNW/USDT,0.5203,0.5437,0.4929,0.5072,89146.16809428,46048.753143436049
1657843200,2022-07-15 00:00:00,MNW/USDT,0.5,0.5269,0.4959,0.5237,117894.34841738,60424.613486500362
1657756800,2022-07-14 00:00:00,MNW/USDT,0.4582,0.55,0.4582,0.5,270736.5800388,134729.268752786695
1657670400,2022-07-13 00:00:00,MNW/USDT,0.445,0.4689,0.4279,0.4598,165867.287989,74207.930728977156
