https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FEAR,Volume USDT
1663459200,2022-09-18 00:00:00,FEAR/USDT,0.14913,0.1502,0.14911,0.14917,6340.6401,947.280424453
1663372800,2022-09-17 00:00:00,FEAR/USDT,0.15317,0.15341,0.14759,0.14913,929843.0801,140407.474576725
1663286400,2022-09-16 00:00:00,FEAR/USDT,0.1484,0.17,0.1457,0.15324,1173500.3477,178886.630199974
1663200000,2022-09-15 00:00:00,FEAR/USDT,0.15535,0.15584,0.14589,0.14915,1068949.6664,160754.766601356
1663113600,2022-09-14 00:00:00,FEAR/USDT,0.14713,0.17342,0.14526,0.15535,1190070.8118,184980.769291684
1663027200,2022-09-13 00:00:00,FEAR/USDT,0.15965,0.15976,0.145,0.14713,734030.4634,111024.437572551
1662940800,2022-09-12 00:00:00,FEAR/USDT,0.15684,0.1605,0.1561,0.15965,767573.9361,121554.081590285
1662854400,2022-09-11 00:00:00,FEAR/USDT,0.15833,0.16346,0.15627,0.15684,871858.3799,137389.243271501
1662768000,2022-09-10 00:00:00,FEAR/USDT,0.1649,0.1658,0.15505,0.15897,570752.8003,91281.8654497
1662681600,2022-09-09 00:00:00,FEAR/USDT,0.1671,0.16902,0.16,0.1649,813366.8072,133792.478976144
1662595200,2022-09-08 00:00:00,FEAR/USDT,0.18935,0.19839,0.16439,0.1666,921867.93674995,163789.323183179387
1662508800,2022-09-07 00:00:00,FEAR/USDT,0.182,0.32,0.1795,0.1902,5963870.4745,1365333.977105261
1662422400,2022-09-06 00:00:00,FEAR/USDT,0.1952,0.19649,0.17792,0.182,759033.6735,142077.395068922
1662336000,2022-09-05 00:00:00,FEAR/USDT,0.179,0.2222,0.1775,0.19491,1347183.1871,270766.837804995
1662249600,2022-09-04 00:00:00,FEAR/USDT,0.1651,0.1849,0.1628,0.1801,1022208.7755,176552.68889415
1662163200,2022-09-03 00:00:00,FEAR/USDT,0.1483,0.1974,0.1477,0.1651,1565869.6952,261415.23222148
1662076800,2022-09-02 00:00:00,FEAR/USDT,0.1424,0.156,0.1413,0.1483,1131300.2113,165370.28683152
1661990400,2022-09-01 00:00:00,FEAR/USDT,0.1394,0.1498,0.1385,0.1424,1125761.9311,160076.82208295
1661904000,2022-08-31 00:00:00,FEAR/USDT,0.1392,0.1407,0.137,0.1388,2086659.9367,290642.40756976
1661817600,2022-08-30 00:00:00,FEAR/USDT,0.1397,0.1436,0.1361,0.1392,925938.6146,128773.74605326
1661731200,2022-08-29 00:00:00,FEAR/USDT,0.1387,0.1422,0.1352,0.1397,1035159.4384,143243.23632817
1661644800,2022-08-28 00:00:00,FEAR/USDT,0.1543,0.1572,0.1371,0.1386,854310.7544,130215.98597704
1661558400,2022-08-27 00:00:00,FEAR/USDT,0.1546,0.1564,0.153,0.1543,986762.9871,152698.45300876
1661472000,2022-08-26 00:00:00,FEAR/USDT,0.1651,0.1694,0.1549,0.1558,697409.0997,113835.86370908
