https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LYXE,Volume USDT
1663376400,2022-09-17 01:00:00,LYXE/USDT,4.70245,4.7074,4.66561,4.7074,411.8796,1926.1695663
1663372800,2022-09-17 00:00:00,LYXE/USDT,4.68761,4.73283,4.68761,4.6896,135.1218,633.442577776
1663369200,2022-09-16 23:00:00,LYXE/USDT,4.6874,4.68761,4.68,4.68761,768.3964,3599.311131708
1663365600,2022-09-16 22:00:00,LYXE/USDT,4.77227,4.77439,4.6824,4.6874,1816.2795,8547.772601955
1663362000,2022-09-16 21:00:00,LYXE/USDT,4.77346,4.78949,4.7344,4.77679,1049.3825,4987.945373514
1663358400,2022-09-16 20:00:00,LYXE/USDT,4.72357,4.78,4.6876,4.78,513.0964,2425.137713641
1663354800,2022-09-16 19:00:00,LYXE/USDT,4.72623,4.78,4.72376,4.72376,55.36,264.451009114
1663351200,2022-09-16 18:00:00,LYXE/USDT,4.7073,4.78599,4.62323,4.74906,2681.4955,12676.047620404
1663347600,2022-09-16 17:00:00,LYXE/USDT,4.69049,4.71656,4.6101,4.64783,1577.2711,7383.527255233
1663344000,2022-09-16 16:00:00,LYXE/USDT,4.75289,4.78852,4.61,4.69473,2302.2084,10760.75667474
1663340400,2022-09-16 15:00:00,LYXE/USDT,4.73025,4.75679,4.69818,4.75679,144.5991,682.54861339
1663336800,2022-09-16 14:00:00,LYXE/USDT,4.70747,4.77169,4.6201,4.7642,2138.8254,10106.796060772
1663333200,2022-09-16 13:00:00,LYXE/USDT,4.69194,4.7735,4.67182,4.70987,3542.4521,16796.909599256
1663329600,2022-09-16 12:00:00,LYXE/USDT,4.72965,4.78147,4.69,4.69,196.3042,924.898875381
1663326000,2022-09-16 11:00:00,LYXE/USDT,4.73073,4.7634,4.73073,4.7634,49.2652,234.61969591
1663322400,2022-09-16 10:00:00,LYXE/USDT,4.73847,4.7585,4.73238,4.75774,83.2719,394.695265927
1663318800,2022-09-16 09:00:00,LYXE/USDT,4.75805,4.76863,4.70226,4.72716,758.4096,3587.984135912
1663315200,2022-09-16 08:00:00,LYXE/USDT,4.72424,4.8153,4.72355,4.72642,1343.6362,6395.390628786
1663311600,2022-09-16 07:00:00,LYXE/USDT,4.73071,4.74608,4.72376,4.72376,157.3961,746.168621768
1663308000,2022-09-16 06:00:00,LYXE/USDT,4.73001,4.74608,4.73,4.73,69.9367,331.206661818
1663304400,2022-09-16 05:00:00,LYXE/USDT,4.72355,4.74589,4.72355,4.74589,6.4008,30.28570584
1663300800,2022-09-16 04:00:00,LYXE/USDT,4.69969,4.7613,4.69957,4.72355,935.9844,4415.956616978
1663297200,2022-09-16 03:00:00,LYXE/USDT,4.75758,4.80439,4.62,4.7024,3709.0146,17344.830232596
1663293600,2022-09-16 02:00:00,LYXE/USDT,4.74917,4.79128,4.70848,4.70943,235.5219,1124.567216011
1663290000,2022-09-16 01:00:00,LYXE/USDT,4.75851,4.80494,4.75851,4.8021,45.67,218.59981748
1663286400,2022-09-16 00:00:00,LYXE/USDT,4.74186,4.75821,4.67188,4.75821,283.1739,1339.538493861
1663282800,2022-09-15 23:00:00,LYXE/USDT,4.80321,4.80332,4.69153,4.71847,1299.6095,6115.875973882
1663279200,2022-09-15 22:00:00,LYXE/USDT,4.84449,4.85289,4.75893,4.76123,832.5382,4007.100978029
1663275600,2022-09-15 21:00:00,LYXE/USDT,4.82098,4.85298,4.816,4.816,873.6053,4211.443223717
1663272000,2022-09-15 20:00:00,LYXE/USDT,4.8289,4.8289,4.77817,4.77819,48.4327,231.440623349
1663268400,2022-09-15 19:00:00,LYXE/USDT,4.80142,4.86076,4.77471,4.77817,376.3022,1811.560706849
1663264800,2022-09-15 18:00:00,LYXE/USDT,4.86999,4.89179,4.79534,4.79534,375.0518,1808.326453215
1663261200,2022-09-15 17:00:00,LYXE/USDT,4.85298,4.8865,4.80061,4.84328,549.0488,2666.235548147
1663257600,2022-09-15 16:00:00,LYXE/USDT,4.82661,4.84539,4.74201,4.84419,531.4644,2551.244712489
