https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume DOGE
1663545600000,2022-09-19 00:00:00,DOGE/EUR,0.05732704,0.05809676,0.05732704,0.05792445,619.4144437639425,10693.48856595
1663459200000,2022-09-18 00:00:00,DOGE/EUR,0.0621302,0.06213526,0.05691037,0.05733572,18352.65158491433,320091.06338796
1663372800000,2022-09-17 00:00:00,DOGE/EUR,0.06037546,0.06219365,0.06012399,0.06210318,13083.91353222305,210680.25070895
1663286400000,2022-09-16 00:00:00,DOGE/EUR,0.05865531,0.06036449,0.05818728,0.06036449,12621.979084499797,209096.09415237
1663200000000,2022-09-15 00:00:00,DOGE/EUR,0.06112596,0.06125517,0.05854172,0.05865279,11895.222072294275,202807.43801436
1663113600000,2022-09-14 00:00:00,DOGE/EUR,0.05974297,0.06154739,0.05974297,0.06119722,12865.619481005151,210232.09029765
1663027200000,2022-09-13 00:00:00,DOGE/EUR,0.06315105,0.06315105,0.05945461,0.05972553,18905.386943768674,316537.7844913
1662940800000,2022-09-12 00:00:00,DOGE/EUR,0.06316836,0.06418542,0.06208661,0.06311014,16650.867885598273,263838.23400801
1662854400000,2022-09-11 00:00:00,DOGE/EUR,0.06440511,0.06482418,0.06216029,0.06315437,13745.980651459022,217656.84071362
1662768000000,2022-09-10 00:00:00,DOGE/EUR,0.0635407,0.0650493,0.06288813,0.06439003,14741.274341111935,228937.2180928
1662681600000,2022-09-09 00:00:00,DOGE/EUR,0.0609792,0.06401155,0.06084935,0.06356846,14411.830674396533,226713.54118688
1662595200000,2022-09-08 00:00:00,DOGE/EUR,0.06102317,0.06136637,0.06002062,0.06091859,12422.256369019811,203915.69090847
1662508800000,2022-09-07 00:00:00,DOGE/EUR,0.05938574,0.06134279,0.058159,0.06101728,12379.505578236252,202885.24133223
1662422400000,2022-09-06 00:00:00,DOGE/EUR,0.06300475,0.06533819,0.058904,0.05949992,16149.419154614165,271419.17425459
