https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DGB,Volume USDT
1663462800,2022-09-18 01:00:00,DGB/USDT,0.009949,0.009949,0.009947,0.009947,14999,149.215053
1663459200,2022-09-18 00:00:00,DGB/USDT,0.010057,0.010057,0.009935,0.009945,197453.37951925,1973.34837874633752
1663455600,2022-09-17 23:00:00,DGB/USDT,0.010035,0.010077,0.010013,0.010067,182852.61871018,1839.84065639289736
1663452000,2022-09-17 22:00:00,DGB/USDT,0.010029,0.010035,0.010001,0.010005,41842.89896228,419.02742971474663
1663448400,2022-09-17 21:00:00,DGB/USDT,0.010036,0.010036,0.010006,0.010029,72468.54302448,725.73486163494359
1663444800,2022-09-17 20:00:00,DGB/USDT,0.009973,0.010021,0.009961,0.010008,198503.97022034,1986.35919412643163
1663441200,2022-09-17 19:00:00,DGB/USDT,0.010006,0.010006,0.009961,0.009983,250689.97271395,2499.21526037481964
1663437600,2022-09-17 18:00:00,DGB/USDT,0.009996,0.010025,0.009991,0.010009,145591.97825026,1457.71202093621856
1663434000,2022-09-17 17:00:00,DGB/USDT,0.010036,0.0101,0.009991,0.009996,65209.46601176,653.21500491799739
1663430400,2022-09-17 16:00:00,DGB/USDT,0.009968,0.010036,0.00996,0.010034,128496.85642904,1285.10435738747701
1663426800,2022-09-17 15:00:00,DGB/USDT,0.009991,0.009997,0.009964,0.009966,99451.91859885,992.32089659991035
1663423200,2022-09-17 14:00:00,DGB/USDT,0.009938,0.009991,0.009936,0.009991,446405.15257602,4456.00330544959028
1663419600,2022-09-17 13:00:00,DGB/USDT,0.009886,0.009971,0.009883,0.009919,467479.27520242,4639.05707728198559
1663416000,2022-09-17 12:00:00,DGB/USDT,0.009844,0.009889,0.009826,0.009889,44368.09297038,437.41721862426218
1663412400,2022-09-17 11:00:00,DGB/USDT,0.009856,0.009876,0.009843,0.00985,14439.21673046,142.30732789269688
1663408800,2022-09-17 10:00:00,DGB/USDT,0.009905,0.00992,0.009821,0.009857,215500.5350868,2127.40306824189557
1663405200,2022-09-17 09:00:00,DGB/USDT,0.009909,0.009922,0.0099,0.009902,99107.02194342,981.49956409848005
1663401600,2022-09-17 08:00:00,DGB/USDT,0.009871,0.009908,0.009871,0.0099,8983.7045,88.8893880073
1663398000,2022-09-17 07:00:00,DGB/USDT,0.009879,0.00988,0.009867,0.009867,509.6053,5.0340714951
1663394400,2022-09-17 06:00:00,DGB/USDT,0.009857,0.009861,0.009845,0.009861,12289.3483788,121.04737228652716
1663390800,2022-09-17 05:00:00,DGB/USDT,0.009905,0.009911,0.009844,0.009856,144815.4652,1428.9459809424
1663387200,2022-09-17 04:00:00,DGB/USDT,0.009864,0.009938,0.009864,0.009905,54578.66789017,541.28916400250946
1663383600,2022-09-17 03:00:00,DGB/USDT,0.009854,0.009882,0.009854,0.009882,1210.0605,11.9340392747
1663380000,2022-09-17 02:00:00,DGB/USDT,0.009889,0.0099,0.00986,0.00987,149805.35354007,1481.21204280781181
1663376400,2022-09-17 01:00:00,DGB/USDT,0.009847,0.00989,0.009847,0.00989,145064.36329619,1434.31418352653431
1663372800,2022-09-17 00:00:00,DGB/USDT,0.00981,0.00996,0.00981,0.009855,268293.60919587,2654.74762772928592
1663369200,2022-09-16 23:00:00,DGB/USDT,0.009783,0.009807,0.009746,0.009807,69186.23516598,677.05395848359042
1663365600,2022-09-16 22:00:00,DGB/USDT,0.009751,0.009812,0.009751,0.009788,49691.36518312,485.97425832252664
1663362000,2022-09-16 21:00:00,DGB/USDT,0.009783,0.009785,0.009747,0.009757,106763.0443,1043.2058006822
1663358400,2022-09-16 20:00:00,DGB/USDT,0.009711,0.009781,0.009711,0.009778,537900.9099575,5242.10906493569824
1663354800,2022-09-16 19:00:00,DGB/USDT,0.009713,0.009749,0.009695,0.009734,290878.13056017,2826.99564881520836
1663351200,2022-09-16 18:00:00,DGB/USDT,0.009632,0.009707,0.009587,0.009681,158997.03836748,1534.26944455690002
1663347600,2022-09-16 17:00:00,DGB/USDT,0.009697,0.009697,0.009578,0.009632,1117996.07352815,10774.02542725505705
1663344000,2022-09-16 16:00:00,DGB/USDT,0.009754,0.009766,0.009591,0.009662,361314.82718638,3494.94480398051987
1663340400,2022-09-16 15:00:00,DGB/USDT,0.009787,0.009787,0.009688,0.009754,264479.13089086,2577.80796289926235
1663336800,2022-09-16 14:00:00,DGB/USDT,0.009622,0.009847,0.009622,0.009784,493853.67573255,4812.4132068974214
1663333200,2022-09-16 13:00:00,DGB/USDT,0.009721,0.009766,0.009583,0.009628,306356.97470573,2965.72394199547356
1663329600,2022-09-16 12:00:00,DGB/USDT,0.009777,0.009777,0.009696,0.009706,153848.68380286,1501.69914772573561
1663326000,2022-09-16 11:00:00,DGB/USDT,0.009724,0.009794,0.009723,0.009777,589771.58869021,5744.01974011836911
1663322400,2022-09-16 10:00:00,DGB/USDT,0.0097,0.009752,0.009678,0.009744,204402.23721281,1989.58652883586486
