https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COV,Volume USDT
1663459200,2022-09-18 00:00:00,COV/USDT,0.2755,0.2789,0.2755,0.2768,11207.2839,3105.48181627
1663372800,2022-09-17 00:00:00,COV/USDT,0.258,0.2801,0.2496,0.2747,859821.4341,225861.83142521
1663286400,2022-09-16 00:00:00,COV/USDT,0.27,0.2703,0.2443,0.257,287769.8429,73848.64838123
1663200000,2022-09-15 00:00:00,COV/USDT,0.306,0.3114,0.2629,0.2692,382839.3742,109807.47502081
1663113600,2022-09-14 00:00:00,COV/USDT,0.271,0.323,0.2685,0.3054,400192.5861,117868.39436622
1663027200,2022-09-13 00:00:00,COV/USDT,0.2989,0.3007,0.2559,0.271,171173.0294,48254.63409253
1662940800,2022-09-12 00:00:00,COV/USDT,0.3124,0.3173,0.2969,0.2988,302321.767,92758.22218559
1662854400,2022-09-11 00:00:00,COV/USDT,0.3073,0.33,0.3001,0.311,303236.7677,93435.11079909
1662768000,2022-09-10 00:00:00,COV/USDT,0.2836,0.3097,0.281,0.3064,226603.1446,66004.12474426
1662681600,2022-09-09 00:00:00,COV/USDT,0.2648,0.29,0.2648,0.2865,308062.34775225,85462.127983716963
1662595200,2022-09-08 00:00:00,COV/USDT,0.2427,0.2698,0.2389,0.2658,279321.7768,70142.24799217
1662508800,2022-09-07 00:00:00,COV/USDT,0.2174,0.2417,0.2114,0.2406,279039.176,61133.76659197
1662422400,2022-09-06 00:00:00,COV/USDT,0.2246,0.2295,0.2125,0.2174,329133.4501,73697.98115073
1662336000,2022-09-05 00:00:00,COV/USDT,0.2348,0.2497,0.2066,0.2228,384311.6252,87152.31078047
1662249600,2022-09-04 00:00:00,COV/USDT,0.2141,0.2679,0.213,0.2341,944592.1401,221533.21458476
1662163200,2022-09-03 00:00:00,COV/USDT,0.2012,0.2277,0.198,0.2157,451823.9095475,92507.29014041275
1662076800,2022-09-02 00:00:00,COV/USDT,0.1875,0.2097,0.1875,0.2011,346761.9576,69066.51206424
1661990400,2022-09-01 00:00:00,COV/USDT,0.1959,0.2017,0.1815,0.1862,304730.4768,58187.13354511
1661904000,2022-08-31 00:00:00,COV/USDT,0.1763,0.21,0.1737,0.1959,366632.4285,70389.24827196
1661817600,2022-08-30 00:00:00,COV/USDT,0.1806,0.21,0.1744,0.1745,27583.6181,5362.40099623
1661731200,2022-08-29 00:00:00,COV/USDT,0.1687,0.1806,0.1622,0.1806,21432.2766,3648.35823882
1661644800,2022-08-28 00:00:00,COV/USDT,0.1725,0.1759,0.1671,0.1707,4885.0074,840.67165207
1661558400,2022-08-27 00:00:00,COV/USDT,0.1766,0.1797,0.1669,0.1707,6074.8261,1040.37083228
1661472000,2022-08-26 00:00:00,COV/USDT,0.1871,0.1982,0.1758,0.1775,35068.8784,6496.90850846
1661385600,2022-08-25 00:00:00,COV/USDT,0.1871,0.1938,0.1769,0.1915,39763.563,7340.87911882
1661299200,2022-08-24 00:00:00,COV/USDT,0.1872,0.1929,0.1807,0.1893,28135.8888,5261.08519697
1661212800,2022-08-23 00:00:00,COV/USDT,0.1801,0.195,0.1767,0.1887,42074.268,7735.65806954
1661126400,2022-08-22 00:00:00,COV/USDT,0.1793,0.18,0.161,0.1767,57224.5586,9744.38731307
1661040000,2022-08-21 00:00:00,COV/USDT,0.1708,0.1808,0.1707,0.1763,16681.7942,2952.09926143
1660953600,2022-08-20 00:00:00,COV/USDT,0.1645,0.1789,0.161,0.1707,67575.1574,11574.27112851
1660867200,2022-08-19 00:00:00,COV/USDT,0.1808,0.1842,0.1589,0.161,69670.6217,11692.09856924
1660780800,2022-08-18 00:00:00,COV/USDT,0.1952,0.2,0.1771,0.1825,92245.1306,17085.30526041
1660694400,2022-08-17 00:00:00,COV/USDT,0.1859,0.2,0.1814,0.192,70804.2499,13638.14503975
1660608000,2022-08-16 00:00:00,COV/USDT,0.1846,0.1888,0.1815,0.1866,13569.8637,2533.6271525
1660521600,2022-08-15 00:00:00,COV/USDT,0.1844,0.1886,0.176,0.1836,29105.2508,5287.64427046
1660435200,2022-08-14 00:00:00,COV/USDT,0.1867,0.1895,0.1808,0.1829,28021.4252,5195.52613877
1660348800,2022-08-13 00:00:00,COV/USDT,0.1926,0.1982,0.176,0.1846,71676.661,13282.5055107
1660262400,2022-08-12 00:00:00,COV/USDT,0.1838,0.1995,0.1793,0.1915,47929.0065,9075.3133885
1660176000,2022-08-11 00:00:00,COV/USDT,0.1754,0.1909,0.1707,0.1846,33754.2891,6068.61318929
1660089600,2022-08-10 00:00:00,COV/USDT,0.1712,0.1801,0.1662,0.1744,36028.6634,6278.89575356
1660003200,2022-08-09 00:00:00,COV/USDT,0.1797,0.1849,0.1708,0.1733,46497.5961,8194.8192307
1659916800,2022-08-08 00:00:00,COV/USDT,0.1764,0.1845,0.1727,0.1808,41575.2101,7478.44202562
1659830400,2022-08-07 00:00:00,COV/USDT,0.1825,0.1931,0.1651,0.1756,54832.7386,9562.72481648
1659744000,2022-08-06 00:00:00,COV/USDT,0.1866,0.1933,0.1798,0.1829,41424.1047,7709.48018956
1659657600,2022-08-05 00:00:00,COV/USDT,0.1747,0.19,0.1726,0.1871,39972.8148,7229.73713039
1659571200,2022-08-04 00:00:00,COV/USDT,0.1754,0.1802,0.1716,0.1769,36209.2966,6369.15360808
1659484800,2022-08-03 00:00:00,COV/USDT,0.1736,0.1813,0.1706,0.1756,13961.6,2441.9203156
1659398400,2022-08-02 00:00:00,COV/USDT,0.1841,0.19,0.172,0.1753,52393.8447,9491.44603601
1659312000,2022-08-01 00:00:00,COV/USDT,0.1631,0.188,0.1604,0.1841,109930.8642,18770.87731061
1659225600,2022-07-31 00:00:00,COV/USDT,0.1754,0.1755,0.1639,0.1639,19347.8021,3234.81822581
1659139200,2022-07-30 00:00:00,COV/USDT,0.1736,0.1878,0.1736,0.1736,68409.4253,12297.25031415
1659052800,2022-07-29 00:00:00,COV/USDT,0.1787,0.179,0.1686,0.1716,17535.0041,3050.36877148
1658966400,2022-07-28 00:00:00,COV/USDT,0.17,0.178,0.1643,0.1776,43603.5861,7535.25885902
1658880000,2022-07-27 00:00:00,COV/USDT,0.163,0.17,0.1548,0.1696,71177.1418,11603.7238776
1658793600,2022-07-26 00:00:00,COV/USDT,0.1517,0.1633,0.1445,0.162,40443.6031,6258.18589153
1658707200,2022-07-25 00:00:00,COV/USDT,0.1626,0.1646,0.1502,0.1533,52668.336,8320.62884535
1658620800,2022-07-24 00:00:00,COV/USDT,0.1553,0.1695,0.1503,0.1645,38130.1903,6125.13266254
1658534400,2022-07-23 00:00:00,COV/USDT,0.1651,0.1697,0.1477,0.1542,89216.6439,13844.82735912
1658448000,2022-07-22 00:00:00,COV/USDT,0.1747,0.1751,0.165,0.1675,10595.9111,1814.11316848
1658361600,2022-07-21 00:00:00,COV/USDT,0.1793,0.1808,0.169,0.1727,29233.5094,5063.38789444
1658275200,2022-07-20 00:00:00,COV/USDT,0.1829,0.1862,0.1734,0.1772,38629.7811,6901.29575263
1658188800,2022-07-19 00:00:00,COV/USDT,0.1825,0.1856,0.1707,0.1851,35967.7315,6382.85061036
1658102400,2022-07-18 00:00:00,COV/USDT,0.1767,0.1875,0.1719,0.1824,29004.2284,5214.88349153
1658016000,2022-07-17 00:00:00,COV/USDT,0.165,0.1856,0.1641,0.1775,27833.1518,4788.64950595
1657929600,2022-07-16 00:00:00,COV/USDT,0.1784,0.1881,0.1652,0.168,67626.9059,11973.82932385
1657843200,2022-07-15 00:00:00,COV/USDT,0.1761,0.1876,0.1736,0.1785,18841.7205,3358.32484166
1657756800,2022-07-14 00:00:00,COV/USDT,0.1707,0.178,0.1651,0.1747,10127.4658,1760.27767566
1657670400,2022-07-13 00:00:00,COV/USDT,0.1555,0.1739,0.1555,0.1727,23851.8557,4008.30170519
1657584000,2022-07-12 00:00:00,COV/USDT,0.1694,0.1731,0.1533,0.1545,23884.8589,3905.50291336
1657497600,2022-07-11 00:00:00,COV/USDT,0.1747,0.1802,0.1683,0.1705,13836.4013,2396.5729567
1657411200,2022-07-10 00:00:00,COV/USDT,0.1787,0.1819,0.1718,0.1738,5942.9342,1048.74246725
1657324800,2022-07-09 00:00:00,COV/USDT,0.1842,0.1854,0.1758,0.1797,4171.253,753.97456116
1657238400,2022-07-08 00:00:00,COV/USDT,0.1776,0.1881,0.1731,0.1842,10707.5019,1945.40601342
1657152000,2022-07-07 00:00:00,COV/USDT,0.1749,0.1889,0.1685,0.1787,85730.2305856,15225.42193207832
1657065600,2022-07-06 00:00:00,COV/USDT,0.1694,0.1799,0.1634,0.1761,7379.96367216,1249.987916832347
1656979200,2022-07-05 00:00:00,COV/USDT,0.1668,0.1784,0.158,0.1694,31881.4874406,5359.536215336731
1656892800,2022-07-04 00:00:00,COV/USDT,0.1658,0.1687,0.1555,0.1659,15858.4786049,2584.878402483443
1656806400,2022-07-03 00:00:00,COV/USDT,0.1524,0.1699,0.1463,0.1653,172440.10941027,27057.177270549951
1656720000,2022-07-02 00:00:00,COV/USDT,0.1441,0.1527,0.1399,0.1527,15666.22376976,2259.811639146174
1656633600,2022-07-01 00:00:00,COV/USDT,0.1433,0.1523,0.1432,0.1441,11914.9849172,1745.858371668882
1656547200,2022-06-30 00:00:00,COV/USDT,0.1609,0.161,0.1359,0.1447,30724.18173324,4325.683973409408
1656460800,2022-06-29 00:00:00,COV/USDT,0.14,0.17,0.1366,0.1471,115985.99565338,17727.04942300928
1656374400,2022-06-28 00:00:00,COV/USDT,0.1475,0.1488,0.14,0.14,35786.46176781,5129.209770119442
1656288000,2022-06-27 00:00:00,COV/USDT,0.14,0.1494,0.14,0.1479,17536.54982628,2496.794119043887
1656201600,2022-06-26 00:00:00,COV/USDT,0.1434,0.1687,0.1418,0.1418,91717.52310135,13777.577980610383
