https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume PNK
1650672000000,2022-04-23 00:00:00,PNK/ETH,2.337e-05,2.464e-05,2.329e-05,2.453e-05,3.3861024389185475,138039.23517809
1650585600000,2022-04-22 00:00:00,PNK/ETH,2.355e-05,2.401e-05,2.327e-05,2.342e-05,0.483151700536082,20629.8761971
1650499200000,2022-04-21 00:00:00,PNK/ETH,2.187e-05,2.408e-05,2.187e-05,2.391e-05,0.8324531162417709,34816.10691099
1650412800000,2022-04-20 00:00:00,PNK/ETH,2.261e-05,2.313e-05,2.016e-05,2.194e-05,1.9129318428249873,87189.23622721
1650326400000,2022-04-19 00:00:00,PNK/ETH,2.288e-05,2.336e-05,2.086e-05,2.26e-05,3.364323454240064,148863.86965664
1650240000000,2022-04-18 00:00:00,PNK/ETH,2.381e-05,2.381e-05,2.279e-05,2.288e-05,1.004804568586104,43916.28359205
1650153600000,2022-04-17 00:00:00,PNK/ETH,2.406e-05,2.424e-05,2.375e-05,2.38e-05,0.025547336723006,1073.41750937
1650067200000,2022-04-16 00:00:00,PNK/ETH,2.392e-05,2.424e-05,2.373e-05,2.373e-05,0.0285617815373709,1203.61489833
1649980800000,2022-04-15 00:00:00,PNK/ETH,2.521e-05,2.553e-05,2.372e-05,2.379e-05,0.5230144815701364,21984.63562716
1649894400000,2022-04-14 00:00:00,PNK/ETH,2.478e-05,2.597e-05,2.467e-05,2.521e-05,2.7099497500786773,107495.03173655999
1649808000000,2022-04-13 00:00:00,PNK/ETH,2.535e-05,2.554e-05,2.463e-05,2.478e-05,1.1685727458407142,47157.89934789
1649721600000,2022-04-12 00:00:00,PNK/ETH,2.503e-05,2.669e-05,2.458e-05,2.536e-05,6.056571486090497,238823.79677013
1649635200000,2022-04-11 00:00:00,PNK/ETH,2.739e-05,2.743e-05,2.49e-05,2.497e-05,1.1233409701615937,44987.62395521
1649548800000,2022-04-10 00:00:00,PNK/ETH,2.627e-05,2.817e-05,2.542e-05,2.739e-05,8.725553189157328,318567.11168884
1649462400000,2022-04-09 00:00:00,PNK/ETH,2.622e-05,2.811e-05,2.556e-05,2.556e-05,8.183780789147058,320179.21710278
1649376000000,2022-04-08 00:00:00,PNK/ETH,2.452e-05,2.689e-05,2.452e-05,2.622e-05,0.8659673029455078,33026.97570349
1649289600000,2022-04-07 00:00:00,PNK/ETH,2.558e-05,2.626e-05,2.5e-05,2.504e-05,1.7795725540199288,71069.19145447
1649203200000,2022-04-06 00:00:00,PNK/ETH,2.769e-05,2.812e-05,2.522e-05,2.557e-05,16.375632925023265,640423.65760748
1649116800000,2022-04-05 00:00:00,PNK/ETH,2.783e-05,2.827e-05,2.769e-05,2.769e-05,1.3305952637216032,48053.27785199
1649030400000,2022-04-04 00:00:00,PNK/ETH,2.798e-05,2.868e-05,2.783e-05,2.783e-05,3.5843512091419196,128794.50985059
1648944000000,2022-04-03 00:00:00,PNK/ETH,2.806e-05,2.865e-05,2.797e-05,2.833e-05,0.6553726682068163,23133.52164514
1648857600000,2022-04-02 00:00:00,PNK/ETH,2.804e-05,2.857e-05,2.804e-05,2.805e-05,0.654037250819337,23316.83603634
1648771200000,2022-04-01 00:00:00,PNK/ETH,2.846e-05,2.868e-05,2.804e-05,2.804e-05,3.4381689960143627,122616.58331007
1648684800000,2022-03-31 00:00:00,PNK/ETH,2.875e-05,2.889e-05,2.846e-05,2.846e-05,4.836091382134751,169925.90942146
1648598400000,2022-03-30 00:00:00,PNK/ETH,2.918e-05,2.926e-05,2.875e-05,2.889e-05,3.1038114082481063,107435.49353576
1648512000000,2022-03-29 00:00:00,PNK/ETH,2.879e-05,3.283e-05,2.855e-05,2.918e-05,37.66081399578717,1290637.90252869
1648425600000,2022-03-28 00:00:00,PNK/ETH,2.861e-05,2.907e-05,2.803e-05,2.879e-05,2.8436784268548916,98773.13049166
1648339200000,2022-03-27 00:00:00,PNK/ETH,2.883e-05,2.906e-05,2.849e-05,2.858e-05,2.9410577036824392,102906.14778455
1648252800000,2022-03-26 00:00:00,PNK/ETH,2.897e-05,2.919e-05,2.85e-05,2.868e-05,1.9572521486335521,68244.49611693
1648166400000,2022-03-25 00:00:00,PNK/ETH,2.901e-05,3.016e-05,2.834e-05,2.888e-05,6.425787593314883,222499.57040564
1648080000000,2022-03-24 00:00:00,PNK/ETH,2.935e-05,2.991e-05,2.882e-05,2.903e-05,5.650427655597905,194640.9802135
1647993600000,2022-03-23 00:00:00,PNK/ETH,2.875e-05,2.975e-05,2.839e-05,2.922e-05,1.392754021624925,47664.40867984
1647907200000,2022-03-22 00:00:00,PNK/ETH,2.921e-05,2.937e-05,2.791e-05,2.872e-05,3.740990585988064,130257.3323812
1647820800000,2022-03-21 00:00:00,PNK/ETH,2.923e-05,3.011e-05,2.769e-05,2.922e-05,18.113326695553045,619894.82188751
1647734400000,2022-03-20 00:00:00,PNK/ETH,2.923e-05,2.93e-05,2.784e-05,2.924e-05,0.4721553728227064,16147.58456986
1647648000000,2022-03-19 00:00:00,PNK/ETH,2.888e-05,3.055e-05,2.876e-05,2.929e-05,2.917735490751864,99615.4145016
1647561600000,2022-03-18 00:00:00,PNK/ETH,2.886e-05,2.982e-05,2.854e-05,2.919e-05,1.1223403263243046,38449.48017555
1647475200000,2022-03-17 00:00:00,PNK/ETH,2.927e-05,2.968e-05,2.783e-05,2.865e-05,8.56071563455205,298803.33802973997
1647388800000,2022-03-16 00:00:00,PNK/ETH,2.858e-05,3.039e-05,2.769e-05,2.947e-05,24.042436400321233,815827.49916258
1647302400000,2022-03-15 00:00:00,PNK/ETH,2.835e-05,2.906e-05,2.811e-05,2.858e-05,7.575494275940204,265062.78082366
1647216000000,2022-03-14 00:00:00,PNK/ETH,2.846e-05,2.861e-05,2.811e-05,2.819e-05,8.725414093804398,309521.60673304
1647129600000,2022-03-13 00:00:00,PNK/ETH,2.908e-05,2.922e-05,2.846e-05,2.846e-05,3.658417671362986,128545.94769371
1647043200000,2022-03-12 00:00:00,PNK/ETH,2.905e-05,2.928e-05,2.875e-05,2.907e-05,10.434668662363462,358949.73038746
1646956800000,2022-03-11 00:00:00,PNK/ETH,2.926e-05,2.934e-05,2.89e-05,2.905e-05,3.6521706156731604,125720.1588872
1646870400000,2022-03-10 00:00:00,PNK/ETH,2.986e-05,3.057e-05,2.906e-05,2.909e-05,5.149025257743684,177003.27458727
1646784000000,2022-03-09 00:00:00,PNK/ETH,2.96e-05,2.988e-05,2.934e-05,2.964e-05,4.561038614281329,153881.19481381
1646697600000,2022-03-08 00:00:00,PNK/ETH,2.934e-05,3.012e-05,2.897e-05,2.962e-05,9.599773809974888,324097.69783844997
1646611200000,2022-03-07 00:00:00,PNK/ETH,2.981e-05,3.004e-05,2.911e-05,2.931e-05,2.843497923860956,97014.59992702
