https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IMX,Volume EUR
1663545600,2022-09-19 00:00:00,IMX/EUR,0.75,0.75,0.75,0.75,0.00,0.0
1663542000,2022-09-18 23:00:00,IMX/EUR,0.75,0.75,0.75,0.75,115.13,86.3475
1663538400,2022-09-18 22:00:00,IMX/EUR,0.78,0.78,0.73,0.75,242.80,182.10000000000002
1663534800,2022-09-18 21:00:00,IMX/EUR,0.82,0.82,0.82,0.82,0.00,0.0
1663531200,2022-09-18 20:00:00,IMX/EUR,0.82,0.82,0.82,0.82,115.38,94.6116
1663527600,2022-09-18 19:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663524000,2022-09-18 18:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663520400,2022-09-18 17:00:00,IMX/EUR,0.81,0.81,0.81,0.81,117.22,94.9482
1663516800,2022-09-18 16:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663513200,2022-09-18 15:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663509600,2022-09-18 14:00:00,IMX/EUR,0.81,0.81,0.81,0.81,437.93,354.72330000000005
1663506000,2022-09-18 13:00:00,IMX/EUR,0.81,0.81,0.81,0.81,6.69,5.418900000000001
1663502400,2022-09-18 12:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663498800,2022-09-18 11:00:00,IMX/EUR,0.81,0.81,0.81,0.81,234.91,190.27710000000002
1663495200,2022-09-18 10:00:00,IMX/EUR,0.80,0.80,0.80,0.80,30.51,24.408
1663491600,2022-09-18 09:00:00,IMX/EUR,0.81,0.81,0.80,0.80,123.63,98.904
1663488000,2022-09-18 08:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663484400,2022-09-18 07:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663480800,2022-09-18 06:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663477200,2022-09-18 05:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663473600,2022-09-18 04:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663470000,2022-09-18 03:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663466400,2022-09-18 02:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663462800,2022-09-18 01:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663459200,2022-09-18 00:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663455600,2022-09-17 23:00:00,IMX/EUR,0.81,0.81,0.81,0.81,116.76,94.57560000000001
1663452000,2022-09-17 22:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663448400,2022-09-17 21:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663444800,2022-09-17 20:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663441200,2022-09-17 19:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663437600,2022-09-17 18:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663434000,2022-09-17 17:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663430400,2022-09-17 16:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663426800,2022-09-17 15:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663423200,2022-09-17 14:00:00,IMX/EUR,0.81,0.81,0.81,0.81,0.00,0.0
1663419600,2022-09-17 13:00:00,IMX/EUR,0.81,0.81,0.81,0.81,307.68,249.22080000000003
1663416000,2022-09-17 12:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663412400,2022-09-17 11:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663408800,2022-09-17 10:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663405200,2022-09-17 09:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663401600,2022-09-17 08:00:00,IMX/EUR,0.80,0.80,0.80,0.80,233.82,187.056
1663398000,2022-09-17 07:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663394400,2022-09-17 06:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663390800,2022-09-17 05:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663387200,2022-09-17 04:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663383600,2022-09-17 03:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663380000,2022-09-17 02:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663376400,2022-09-17 01:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663372800,2022-09-17 00:00:00,IMX/EUR,0.80,0.80,0.80,0.80,234.56,187.64800000000002
1663369200,2022-09-16 23:00:00,IMX/EUR,0.79,0.79,0.79,0.79,117.50,92.825
1663365600,2022-09-16 22:00:00,IMX/EUR,0.79,0.79,0.79,0.79,0.00,0.0
1663362000,2022-09-16 21:00:00,IMX/EUR,0.79,0.79,0.79,0.79,0.00,0.0
1663358400,2022-09-16 20:00:00,IMX/EUR,0.79,0.79,0.79,0.79,0.00,0.0
1663354800,2022-09-16 19:00:00,IMX/EUR,0.79,0.79,0.79,0.79,117.91,93.1489
1663351200,2022-09-16 18:00:00,IMX/EUR,0.79,0.79,0.79,0.79,0.00,0.0
1663347600,2022-09-16 17:00:00,IMX/EUR,0.79,0.79,0.79,0.79,0.00,0.0
1663344000,2022-09-16 16:00:00,IMX/EUR,0.79,0.79,0.79,0.79,0.00,0.0
1663340400,2022-09-16 15:00:00,IMX/EUR,0.79,0.79,0.79,0.79,117.91,93.1489
1663336800,2022-09-16 14:00:00,IMX/EUR,0.80,0.80,0.80,0.80,236.98,189.584
1663333200,2022-09-16 13:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663329600,2022-09-16 12:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663326000,2022-09-16 11:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663322400,2022-09-16 10:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663318800,2022-09-16 09:00:00,IMX/EUR,0.80,0.80,0.80,0.80,0.00,0.0
1663315200,2022-09-16 08:00:00,IMX/EUR,0.80,0.80,0.80,0.80,116.86,93.488
