https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUSDTBEAR,Volume USD
1655769600000.0,2022-06-21 00:00:00,CUSDTBEAR/USD,11305.0,11410.0,11135.0,11310.0,0.0,0.0
1655766000000.0,2022-06-20 23:00:00,CUSDTBEAR/USD,11290.0,11405.0,11290.0,11305.0,0.0,0.0
1655762400000.0,2022-06-20 22:00:00,CUSDTBEAR/USD,11310.0,11420.0,10410.0,11290.0,1.0399987201062888,11741.58555
1655758800000.0,2022-06-20 21:00:00,CUSDTBEAR/USD,11295.0,11415.0,11285.0,11310.0,0.0,0.0
1655755200000.0,2022-06-20 20:00:00,CUSDTBEAR/USD,11295.0,11415.0,11285.0,11295.0,0.0,0.0
1655751600000.0,2022-06-20 19:00:00,CUSDTBEAR/USD,11290.0,11405.0,11285.0,11295.0,0.0,0.0
1655748000000.0,2022-06-20 18:00:00,CUSDTBEAR/USD,11300.0,11405.0,11285.0,11290.0,0.0,0.0
1655744400000.0,2022-06-20 17:00:00,CUSDTBEAR/USD,11275.0,11400.0,11275.0,11300.0,0.0,0.0
1655740800000.0,2022-06-20 16:00:00,CUSDTBEAR/USD,11275.0,11395.0,11265.0,11275.0,0.0,0.0
1655737200000.0,2022-06-20 15:00:00,CUSDTBEAR/USD,11275.0,11390.0,11265.0,11275.0,0.0,0.0
1655733600000.0,2022-06-20 14:00:00,CUSDTBEAR/USD,11320.0,11385.0,11200.0,11275.0,0.0,0.0
1655730000000.0,2022-06-20 13:00:00,CUSDTBEAR/USD,11375.0,11385.0,11200.0,11320.0,0.0,0.0
1655726400000.0,2022-06-20 12:00:00,CUSDTBEAR/USD,11375.0,11380.0,11370.0,11375.0,0.0,0.0
1655722800000.0,2022-06-20 11:00:00,CUSDTBEAR/USD,11370.0,11375.0,11365.0,11375.0,0.0,0.0
1655719200000.0,2022-06-20 10:00:00,CUSDTBEAR/USD,11370.0,11370.0,11370.0,11370.0,0.0,0.0
1655715600000.0,2022-06-20 09:00:00,CUSDTBEAR/USD,11305.0,11370.0,11220.0,11370.0,0.0,0.0
1655712000000.0,2022-06-20 08:00:00,CUSDTBEAR/USD,11360.0,11365.0,11200.0,11305.0,0.0,0.0
1655708400000.0,2022-06-20 07:00:00,CUSDTBEAR/USD,11345.0,11360.0,11200.0,11360.0,0.0,0.0
1655704800000.0,2022-06-20 06:00:00,CUSDTBEAR/USD,11350.0,11350.0,11200.0,11345.0,0.0,0.0
1655701200000.0,2022-06-20 05:00:00,CUSDTBEAR/USD,11355.0,11355.0,11200.0,11350.0,0.0,0.0
1655697600000.0,2022-06-20 04:00:00,CUSDTBEAR/USD,11355.0,11355.0,11205.0,11355.0,0.0,0.0
1655694000000.0,2022-06-20 03:00:00,CUSDTBEAR/USD,11360.0,11360.0,11200.0,11355.0,0.0,0.0
1655690400000.0,2022-06-20 02:00:00,CUSDTBEAR/USD,11360.0,11375.0,11200.0,11360.0,0.0,0.0
1655686800000.0,2022-06-20 01:00:00,CUSDTBEAR/USD,11355.0,11360.0,11200.0,11360.0,0.0,0.0
1655683200000.0,2022-06-20 00:00:00,CUSDTBEAR/USD,11330.0,11360.0,11200.0,11355.0,0.0,0.0
1655679600000.0,2022-06-19 23:00:00,CUSDTBEAR/USD,11325.0,11330.0,11200.0,11330.0,0.0,0.0
1655676000000.0,2022-06-19 22:00:00,CUSDTBEAR/USD,11320.0,11325.0,11200.0,11325.0,0.0,0.0
