https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MOB,Volume USDT
1663545600000.0,2022-09-19 00:00:00,MOB/USDT,0.9155,0.9155,0.911,0.912,723.1647478070175,659.52625
1663459200000.0,2022-09-18 00:00:00,MOB/USDT,0.9605,0.9605,0.906,0.9155,17082.567176406334,15639.09025
1663372800000.0,2022-09-17 00:00:00,MOB/USDT,0.9455,0.9675,0.9455,0.9605,2759.415668922436,2650.41875
1663286400000.0,2022-09-16 00:00:00,MOB/USDT,0.9475,0.9515,0.938,0.9455,7446.758593336858,7040.91025
1663200000000.0,2022-09-15 00:00:00,MOB/USDT,0.9485,0.977,0.9415,0.9475,12278.144063324538,11633.5415
1663113600000.0,2022-09-14 00:00:00,MOB/USDT,0.9365,0.9495,0.9285,0.9485,7642.033210332103,7248.4685
1663027200000.0,2022-09-13 00:00:00,MOB/USDT,1.0085,1.0155,0.8445,0.9365,162719.98611852643,152387.267
1662940800000.0,2022-09-12 00:00:00,MOB/USDT,1.025,1.034,1.0055,1.0085,8851.446207238472,8926.6835
1662854400000.0,2022-09-11 00:00:00,MOB/USDT,1.0485,1.053,1.019,1.025,10459.859268292685,10721.35575
1662768000000.0,2022-09-10 00:00:00,MOB/USDT,1.011,1.0895,1.005,1.0485,41028.7594182165,43018.65425
1662681600000.0,2022-09-09 00:00:00,MOB/USDT,0.97,1.013,0.9675,1.011,31750.94238377844,32100.20275
1662595200000.0,2022-09-08 00:00:00,MOB/USDT,0.973,0.9745,0.9505,0.97,13580.241752577322,13172.8345
1662508800000.0,2022-09-07 00:00:00,MOB/USDT,0.954,0.9755,0.937,0.973,22151.863823227133,21553.7635
1662422400000.0,2022-09-06 00:00:00,MOB/USDT,1.008,1.0205,0.952,0.954,23131.99790356394,22067.926
1662336000000.0,2022-09-05 00:00:00,MOB/USDT,1.0125,1.014,0.9915,1.008,6235.737103174602,6285.623
1662249600000.0,2022-09-04 00:00:00,MOB/USDT,1.0135,1.017,1.0015,1.0125,8344.156049382716,8448.458
1662163200000.0,2022-09-03 00:00:00,MOB/USDT,1.0205,1.0245,1.0055,1.0135,6448.976566354218,6536.03775
1662076800000.0,2022-09-02 00:00:00,MOB/USDT,1.019,1.0345,1.0125,1.0205,20908.088437040667,21336.70425
1661990400000.0,2022-09-01 00:00:00,MOB/USDT,1.0205,1.023,0.997,1.019,24301.861138370954,24763.5965
1661904000000.0,2022-08-31 00:00:00,MOB/USDT,1.025,1.0495,0.9965,1.0205,28620.246937775602,29206.962
1661817600000.0,2022-08-30 00:00:00,MOB/USDT,1.034,1.0495,1.0005,1.025,19469.19268292683,19955.9225
1661731200000.0,2022-08-29 00:00:00,MOB/USDT,1.0165,1.0345,1.002,1.034,10316.270551257254,10667.02375
1661644800000.0,2022-08-28 00:00:00,MOB/USDT,1.0295,1.047,1.0155,1.0165,4526.5373831775705,4601.22525
1661558400000.0,2022-08-27 00:00:00,MOB/USDT,1.038,1.0445,1.0205,1.0295,24043.21855269548,24752.4935
1661472000000.0,2022-08-26 00:00:00,MOB/USDT,1.076,1.1785,1.0375,1.038,127044.15631021195,131871.83425
1661385600000.0,2022-08-25 00:00:00,MOB/USDT,1.063,1.0945,1.061,1.076,26178.498605947952,28168.0645
1661299200000.0,2022-08-24 00:00:00,MOB/USDT,1.0505,1.0795,1.03,1.063,21051.646754468486,22377.9005
1661212800000.0,2022-08-23 00:00:00,MOB/USDT,1.044,1.074,1.021,1.0505,45617.34626368396,47921.02225
1661126400000.0,2022-08-22 00:00:00,MOB/USDT,1.1205,1.1275,1.042,1.044,34962.99185823755,36501.3635
1661040000000.0,2022-08-21 00:00:00,MOB/USDT,1.1075,1.144,1.1075,1.1205,13013.213743864346,14581.306
1660953600000.0,2022-08-20 00:00:00,MOB/USDT,1.1115,1.158,1.102,1.1075,31048.16884875847,34385.847
1660867200000.0,2022-08-19 00:00:00,MOB/USDT,1.2065,1.2065,1.1005,1.1115,57322.28947368421,63713.72475
1660780800000.0,2022-08-18 00:00:00,MOB/USDT,1.2695,1.278,1.204,1.2065,39881.78595109822,48117.37475
1660694400000.0,2022-08-17 00:00:00,MOB/USDT,1.1945,1.314,1.1915,1.2695,87104.35663647104,110578.98075
1660608000000.0,2022-08-16 00:00:00,MOB/USDT,1.211,1.2275,1.1865,1.1945,19757.11887819171,23599.8785
1660521600000.0,2022-08-15 00:00:00,MOB/USDT,1.244,1.265,1.1985,1.211,22455.688687035505,27193.839
1660435200000.0,2022-08-14 00:00:00,MOB/USDT,1.285,1.302,1.2255,1.244,31924.38846463023,39713.93925
1660348800000.0,2022-08-13 00:00:00,MOB/USDT,1.2775,1.315,1.2645,1.285,33652.84299610896,43243.90325
1660262400000.0,2022-08-12 00:00:00,MOB/USDT,1.3045,1.3065,1.208,1.2775,56013.55459882583,71557.316
1660176000000.0,2022-08-11 00:00:00,MOB/USDT,1.267,1.329,1.2635,1.3045,58521.89306247605,76341.8095
1660089600000.0,2022-08-10 00:00:00,MOB/USDT,1.234,1.271,1.194,1.267,27915.972178374115,35369.53675
1660003200000.0,2022-08-09 00:00:00,MOB/USDT,1.299,1.31,1.2195,1.234,33177.75891410049,40941.3545
1659916800000.0,2022-08-08 00:00:00,MOB/USDT,1.307,1.3395,1.2935,1.299,113265.00134719016,147131.23675
1659830400000.0,2022-08-07 00:00:00,MOB/USDT,1.3425,1.3495,1.3055,1.307,19508.897092578423,25498.1285
1659744000000.0,2022-08-06 00:00:00,MOB/USDT,1.3725,1.3845,1.3405,1.3425,18228.533519553075,24471.80625
1659657600000.0,2022-08-05 00:00:00,MOB/USDT,1.3915,1.502,1.36,1.3725,46920.37158469945,64398.21
1659571200000.0,2022-08-04 00:00:00,MOB/USDT,1.3595,1.4425,1.341,1.3915,71214.3609414301,99094.78325
1659484800000.0,2022-08-03 00:00:00,MOB/USDT,1.317,1.4655,1.315,1.3595,86675.25340198603,117835.007
1659398400000.0,2022-08-02 00:00:00,MOB/USDT,1.285,1.53,1.194,1.317,179549.68204252087,236466.93125
1659312000000.0,2022-08-01 00:00:00,MOB/USDT,1.203,1.494,1.1995,1.285,119471.34202334631,153520.6745
1659225600000.0,2022-07-31 00:00:00,MOB/USDT,1.1895,1.2285,1.177,1.203,31775.446176226098,38225.86175
1659139200000.0,2022-07-30 00:00:00,MOB/USDT,1.244,1.277,1.176,1.1895,54612.8463640185,64961.98075
1659052800000.0,2022-07-29 00:00:00,MOB/USDT,1.2205,1.266,1.2,1.244,59315.4328778135,73788.3985
1658966400000.0,2022-07-28 00:00:00,MOB/USDT,1.147,1.2425,1.124,1.2205,80965.30376894717,98818.15325
