https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HXRO,Volume USDT
1663545600000.0,2022-09-19 00:00:00,HXRO/USDT,0.2035,0.2035,0.2035,0.2035,118.00000000000001,24.013
1663459200000.0,2022-09-18 00:00:00,HXRO/USDT,0.2023,0.20355,0.20185,0.2035,8799.622604422604,1790.7232
1663372800000.0,2022-09-17 00:00:00,HXRO/USDT,0.1982,0.2023,0.19745,0.2023,21557.55363321799,4361.0931
1663286400000.0,2022-09-16 00:00:00,HXRO/USDT,0.19165,0.1982,0.19165,0.1982,36030.93340060545,7141.331
1663200000000.0,2022-09-15 00:00:00,HXRO/USDT,0.19035,0.19255,0.18985,0.19165,12252.416644925646,2348.17565
1663113600000.0,2022-09-14 00:00:00,HXRO/USDT,0.18735,0.19105,0.18675,0.19035,7459.895455739427,1419.9911
1663027200000.0,2022-09-13 00:00:00,HXRO/USDT,0.18825,0.18855,0.1864,0.18735,29668.601814785165,5558.41255
1662940800000.0,2022-09-12 00:00:00,HXRO/USDT,0.1913,0.1914,0.1868,0.18825,63573.832403718465,11967.77395
1662854400000.0,2022-09-11 00:00:00,HXRO/USDT,0.1892,0.1927,0.1891,0.1913,38297.15185572399,7326.24515
1662768000000.0,2022-09-10 00:00:00,HXRO/USDT,0.1886,0.1929,0.188,0.1892,33756.267441860466,6386.6858
1662681600000.0,2022-09-09 00:00:00,HXRO/USDT,0.187,0.189,0.187,0.1886,4891.97136797455,922.6258
1662595200000.0,2022-09-08 00:00:00,HXRO/USDT,0.1876,0.1877,0.18675,0.187,11133.054278074867,2081.88115
1662508800000.0,2022-09-07 00:00:00,HXRO/USDT,0.1892,0.1892,0.1874,0.1876,18839.12260127932,3534.2194
1662422400000.0,2022-09-06 00:00:00,HXRO/USDT,0.1882,0.19975,0.1877,0.1892,97245.21062367863,18398.79385
1662336000000.0,2022-09-05 00:00:00,HXRO/USDT,0.18885,0.19045,0.18805,0.1882,9855.197662061637,1854.7482
1662249600000.0,2022-09-04 00:00:00,HXRO/USDT,0.1884,0.1889,0.1884,0.18885,7271.467566851999,1373.21665
1662163200000.0,2022-09-03 00:00:00,HXRO/USDT,0.1906,0.1906,0.18835,0.1884,21262.350053078557,4005.82675
1662076800000.0,2022-09-02 00:00:00,HXRO/USDT,0.1916,0.1926,0.1905,0.1906,12887.075550891921,2456.2766
1661990400000.0,2022-09-01 00:00:00,HXRO/USDT,0.19285,0.19285,0.19115,0.1916,49645.69806889354,9512.11575
1661904000000.0,2022-08-31 00:00:00,HXRO/USDT,0.1973,0.1973,0.1928,0.19285,159582.12030075188,30775.4119
1661817600000.0,2022-08-30 00:00:00,HXRO/USDT,0.2011,0.20235,0.1961,0.1973,76450.76735935124,15083.7364
1661731200000.0,2022-08-29 00:00:00,HXRO/USDT,0.19715,0.203,0.192,0.2011,73436.43858776729,14768.0678
1661644800000.0,2022-08-28 00:00:00,HXRO/USDT,0.1957,0.19775,0.1957,0.19715,13402.829571392342,2642.36785
1661558400000.0,2022-08-27 00:00:00,HXRO/USDT,0.19365,0.19635,0.19275,0.1957,49555.21435871231,9697.95545
1661472000000.0,2022-08-26 00:00:00,HXRO/USDT,0.18855,0.19595,0.18775,0.19365,102374.92589723729,19824.9044
1661385600000.0,2022-08-25 00:00:00,HXRO/USDT,0.1805,0.21795,0.18035,0.18855,200873.5441527446,37874.70675
1661299200000.0,2022-08-24 00:00:00,HXRO/USDT,0.18095,0.18155,0.17915,0.1805,7754.390858725761,1399.66755
1661212800000.0,2022-08-23 00:00:00,HXRO/USDT,0.18025,0.1819,0.17915,0.18095,28489.620060790276,5155.19675
1661126400000.0,2022-08-22 00:00:00,HXRO/USDT,0.17825,0.18095,0.1773,0.18025,67862.74979195562,12232.26065
1661040000000.0,2022-08-21 00:00:00,HXRO/USDT,0.17855,0.17995,0.17775,0.17825,30292.52342215989,5399.6423
1660953600000.0,2022-08-20 00:00:00,HXRO/USDT,0.18035,0.18825,0.17855,0.17855,60820.651358162984,10859.5273
1660867200000.0,2022-08-19 00:00:00,HXRO/USDT,0.18155,0.1819,0.18005,0.18035,27703.59800388134,4996.3439
1660780800000.0,2022-08-18 00:00:00,HXRO/USDT,0.18215,0.1844,0.1803,0.18155,40714.60203800606,7391.736
1660694400000.0,2022-08-17 00:00:00,HXRO/USDT,0.18275,0.1893,0.182,0.18215,48512.321438374966,8836.51935
1660608000000.0,2022-08-16 00:00:00,HXRO/USDT,0.18385,0.18505,0.1827,0.18275,38562.59644322846,7047.3145
1660521600000.0,2022-08-15 00:00:00,HXRO/USDT,0.18705,0.18745,0.18125,0.18385,50041.93717704651,9200.21015
1660435200000.0,2022-08-14 00:00:00,HXRO/USDT,0.191,0.19235,0.18615,0.18705,46160.208500400964,8634.267
1660348800000.0,2022-08-13 00:00:00,HXRO/USDT,0.19365,0.19545,0.1906,0.191,29809.267277486913,5693.57005
1660262400000.0,2022-08-12 00:00:00,HXRO/USDT,0.1932,0.1952,0.1919,0.19365,11451.975729408727,2217.6751
