https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BRL,tradecount
1663545600000,2022-09-19 00:00:00,ETH/BRL,7053.49000000,7080.86000000,7035.84000000,7047.17000000,35.67500000,251681.56084600,252
1663459200000,2022-09-18 00:00:00,ETH/BRL,7736.20000000,7736.20000000,7002.01000000,7046.60000000,1936.38280000,14212558.55533900,12522
1663372800000,2022-09-17 00:00:00,ETH/BRL,7549.46000000,7778.88000000,7439.84000000,7736.20000000,1836.03200000,14031573.93658900,11252
1663286400000,2022-09-16 00:00:00,ETH/BRL,7756.89000000,7813.55000000,7466.00000000,7549.47000000,3371.31230000,25771877.59080300,21201
1663200000000,2022-09-15 00:00:00,ETH/BRL,8505.86000000,8586.27000000,7662.69000000,7756.36000000,5379.10770000,43665504.08236100,31060
1663113600000,2022-09-14 00:00:00,ETH/BRL,8195.84000000,8555.85000000,8093.61000000,8507.96000000,2719.67620000,22638501.78477400,18731
1663027200000,2022-09-13 00:00:00,ETH/BRL,8760.84000000,8974.41000000,8100.00000000,8198.74000000,4111.30990000,34756124.93688100,28605
1662940800000,2022-09-12 00:00:00,ETH/BRL,9129.51000000,9200.84000000,8687.56000000,8761.99000000,2887.99520000,25712251.99139600,18636
1662854400000,2022-09-11 00:00:00,ETH/BRL,9181.58000000,9238.72000000,8910.10000000,9129.52000000,1427.67040000,13007564.66635200,10198
1662768000000,2022-09-10 00:00:00,ETH/BRL,8884.00000000,9250.55000000,8823.42000000,9176.00000000,1661.55780000,14941362.22678200,11562
1662681600000,2022-09-09 00:00:00,ETH/BRL,8545.32000000,9022.43000000,8516.19000000,8887.34000000,3290.09190000,29000422.47702600,21898
1662595200000,2022-09-08 00:00:00,ETH/BRL,8554.53000000,8680.99000000,8359.55000000,8540.87000000,2853.43030000,24335670.74635800,18702
1662508800000,2022-09-07 00:00:00,ETH/BRL,8195.17000000,8699.03000000,7860.15000000,8547.07000000,3471.52130000,28522363.57707900,20296
1662422400000,2022-09-06 00:00:00,ETH/BRL,8374.03000000,8755.16000000,8176.59000000,8189.42000000,4054.52260000,34521656.04120100,23358
1662336000000,2022-09-05 00:00:00,ETH/BRL,8208.08000000,8431.90000000,8100.00000000,8373.62000000,1857.69500000,15289217.55573300,12544
1662249600000,2022-09-04 00:00:00,ETH/BRL,8097.82000000,8222.26000000,8019.29000000,8208.22000000,986.08260000,8011398.41044900,6739
1662163200000,2022-09-03 00:00:00,ETH/BRL,8185.55000000,8212.07000000,7980.00000000,8096.32000000,1206.31850000,9755307.36528200,8910
1662076800000,2022-09-02 00:00:00,ETH/BRL,8296.40000000,8559.82000000,8051.98000000,8190.57000000,3118.04400000,26038981.65873600,19128
1661990400000,2022-09-01 00:00:00,ETH/BRL,8032.43000000,8349.95000000,7871.67000000,8296.40000000,3519.68200000,28484525.80418300,19189
1661904000000,2022-08-31 00:00:00,ETH/BRL,7841.64000000,8297.40000000,7841.64000000,8031.60000000,2858.40920000,23185307.27585200,15613
1661817600000,2022-08-30 00:00:00,ETH/BRL,7844.00000000,8119.79000000,7553.92000000,7843.19000000,3083.99910000,24219106.08291600,14149
1661731200000,2022-08-29 00:00:00,ETH/BRL,7300.25000000,7886.84000000,7281.89000000,7857.29000000,2615.91250000,19889751.56635200,11684
1661644800000,2022-08-28 00:00:00,ETH/BRL,7617.83000000,7701.00000000,7287.64000000,7300.25000000,1506.46970000,11386235.17557600,7907
1661558400000,2022-08-27 00:00:00,ETH/BRL,7688.39000000,7753.99000000,7400.00000000,7616.79000000,2682.69490000,20401192.67793100,12269
1661472000000,2022-08-26 00:00:00,ETH/BRL,8715.60000000,8715.60000000,7580.00000000,7696.26000000,5035.36700000,41573943.75897300,20532
1661385600000,2022-08-25 00:00:00,ETH/BRL,8512.01000000,8816.05000000,8503.75000000,8718.74000000,2425.07320000,21153069.33468100,11077
1661299200000,2022-08-24 00:00:00,ETH/BRL,8548.20000000,8660.76000000,8254.78000000,8512.53000000,2901.91130000,24642703.38687000,10461
1661212800000,2022-08-23 00:00:00,ETH/BRL,8423.28000000,8585.00000000,8121.22000000,8540.31000000,2685.11920000,22547906.57069200,10476
1661126400000,2022-08-22 00:00:00,ETH/BRL,8436.86000000,8450.92000000,7999.00000000,8423.27000000,3054.05140000,25052050.13604800,10966
1661040000000,2022-08-21 00:00:00,ETH/BRL,8229.04000000,8589.84000000,8165.18000000,8440.00000000,2176.86520000,18306348.97212200,8680
1660953600000,2022-08-20 00:00:00,ETH/BRL,8382.00000000,8629.30000000,7966.95000000,8225.95000000,2632.31520000,22106852.85173400,11326
1660867200000,2022-08-19 00:00:00,ETH/BRL,9607.64000000,9611.00000000,8355.86000000,8382.83000000,4629.52420000,41542453.90242800,18147
1660780800000,2022-08-18 00:00:00,ETH/BRL,9519.57000000,9795.93000000,9450.59000000,9603.56000000,2298.03650000,22224090.23599400,9367
1660694400000,2022-08-17 00:00:00,ETH/BRL,9690.60000000,10071.70000000,9465.77000000,9519.50000000,3572.83960000,34495659.76079400,12844
1660608000000,2022-08-16 00:00:00,ETH/BRL,9714.87000000,9831.22000000,9509.00000000,9684.64000000,2541.51260000,24605574.45823600,11537
1660521600000,2022-08-15 00:00:00,ETH/BRL,9890.96000000,10243.30000000,9590.17000000,9718.61000000,3569.51930000,34983388.47911800,15845
1660435200000,2022-08-14 00:00:00,ETH/BRL,10126.09000000,10319.15000000,9734.18000000,9878.64000000,2661.83720000,26735502.27338300,10687
1660348800000,2022-08-13 00:00:00,ETH/BRL,9975.37000000,10260.06000000,9911.43000000,10123.01000000,2856.82000000,28878497.88614600,12976
1660262400000,2022-08-12 00:00:00,ETH/BRL,9711.06000000,9999.00000000,9610.74000000,9975.37000000,2775.65480000,27097023.68928700,13074
1660176000000,2022-08-11 00:00:00,ETH/BRL,9473.39000000,9848.00000000,9447.62000000,9711.06000000,4495.99950000,43598113.81637700,20218
1660089600000,2022-08-10 00:00:00,ETH/BRL,8761.82000000,9609.51000000,8550.00000000,9473.36000000,5539.09640000,50822932.80880700,21634
1660003200000,2022-08-09 00:00:00,ETH/BRL,9130.07000000,9189.00000000,8620.25000000,8773.61000000,3515.41460000,31025513.75709200,16259
1659916800000,2022-08-08 00:00:00,ETH/BRL,8827.09000000,9350.00000000,8803.80000000,9134.10000000,4155.97510000,37923062.21920500,16938
1659830400000,2022-08-07 00:00:00,ETH/BRL,8780.05000000,8966.00000000,8674.17000000,8832.86000000,1593.70990000,14036158.00676500,7134
1659744000000,2022-08-06 00:00:00,ETH/BRL,9009.94000000,9070.00000000,8757.44000000,8780.46000000,1763.04180000,15736500.56349400,7778
1659657600000,2022-08-05 00:00:00,ETH/BRL,8432.26000000,9030.60000000,8421.66000000,9008.10000000,3898.03510000,34303693.33973000,13744
1659571200000,2022-08-04 00:00:00,ETH/BRL,8592.61000000,8809.96000000,8293.07000000,8437.12000000,3373.04960000,28773962.63370200,12647
1659484800000,2022-08-03 00:00:00,ETH/BRL,8632.97000000,8870.00000000,8426.99000000,8593.19000000,2741.22860000,23851406.67904500,11581
1659398400000,2022-08-02 00:00:00,ETH/BRL,8479.15000000,8810.72000000,8128.17000000,8633.05000000,3965.87070000,33598186.91010400,14742
1659312000000,2022-08-01 00:00:00,ETH/BRL,8765.95000000,8898.06000000,8364.98000000,8482.70000000,3368.03690000,28984661.46867400,13647
1659225600000,2022-07-31 00:00:00,ETH/BRL,8845.00000000,9121.64000000,8692.34000000,8766.83000000,2111.96470000,18766457.00137000,8200
