https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume XLM
1663545600000,2022-09-19 00:00:00,XLM/BTC,5.52e-06,5.56e-06,5.51e-06,5.55e-06,0.0320968388655555,5783.21421001
1663542000000,2022-09-18 23:00:00,XLM/BTC,5.55e-06,5.57e-06,5.52e-06,5.52e-06,0.0141180308108064,2557.61427732
1663538400000,2022-09-18 22:00:00,XLM/BTC,5.63e-06,5.63e-06,5.51e-06,5.53e-06,0.49027998828181246,88658.22572908
1663534800000,2022-09-18 21:00:00,XLM/BTC,5.78e-06,5.78e-06,5.63e-06,5.63e-06,0.3043098653340362,54051.48584974
1663531200000,2022-09-18 20:00:00,XLM/BTC,5.8e-06,5.82e-06,5.78e-06,5.78e-06,0.0272650474555822,4717.13623799
1663527600000,2022-09-18 19:00:00,XLM/BTC,5.82e-06,5.85e-06,5.79e-06,5.79e-06,0.0276445461427224,4774.53301256
1663524000000,2022-09-18 18:00:00,XLM/BTC,5.74e-06,5.82e-06,5.74e-06,5.82e-06,0.1408956864222774,24208.88082857
1663520400000,2022-09-18 17:00:00,XLM/BTC,5.68e-06,5.73e-06,5.66e-06,5.73e-06,0.1834331564702217,32012.76727229
1663516800000,2022-09-18 16:00:00,XLM/BTC,5.68e-06,5.7e-06,5.64e-06,5.7e-06,0.054391369463829,9542.34551997
1663513200000,2022-09-18 15:00:00,XLM/BTC,5.65e-06,5.69e-06,5.65e-06,5.67e-06,0.015330867997315499,2703.85678965
1663509600000,2022-09-18 14:00:00,XLM/BTC,5.63e-06,5.64e-06,5.61e-06,5.64e-06,0.0010553353773624001,187.11620166
1663506000000,2022-09-18 13:00:00,XLM/BTC,5.62e-06,5.63e-06,5.62e-06,5.63e-06,0.0785423896934722,13950.69088694
1663502400000,2022-09-18 12:00:00,XLM/BTC,5.61e-06,5.62e-06,5.6e-06,5.61e-06,0.030940795980114896,5515.29340109
1663498800000,2022-09-18 11:00:00,XLM/BTC,5.63e-06,5.65e-06,5.63e-06,5.63e-06,0.022280726538679,3957.5002733
1663495200000,2022-09-18 10:00:00,XLM/BTC,5.69e-06,5.72e-06,5.62e-06,5.62e-06,0.009491139296043201,1688.81482136
1663491600000,2022-09-18 09:00:00,XLM/BTC,5.72e-06,5.76e-06,5.7e-06,5.7e-06,0.044197291287141,7753.91075213
1663488000000,2022-09-18 08:00:00,XLM/BTC,5.69e-06,5.72e-06,5.68e-06,5.68e-06,0.0181858872141696,3201.74070672
1663484400000,2022-09-18 07:00:00,XLM/BTC,5.53e-06,5.7e-06,5.53e-06,5.7e-06,0.080118834487158,14055.93587494
1663480800000,2022-09-18 06:00:00,XLM/BTC,5.53e-06,5.54e-06,5.51e-06,5.54e-06,0.013502452585793401,2437.26580971
1663477200000,2022-09-18 05:00:00,XLM/BTC,5.53e-06,5.54e-06,5.52e-06,5.54e-06,0.0438872002261002,7921.8772971299995
1663473600000,2022-09-18 04:00:00,XLM/BTC,5.53e-06,5.55e-06,5.52e-06,5.52e-06,0.0664537193829504,12038.71727952
1663470000000,2022-09-18 03:00:00,XLM/BTC,5.56e-06,5.56e-06,5.54e-06,5.54e-06,0.018049546653366402,3258.04091216
1663466400000,2022-09-18 02:00:00,XLM/BTC,5.59e-06,5.59e-06,5.56e-06,5.57e-06,0.0184112901003085,3305.43807905
1663462800000,2022-09-18 01:00:00,XLM/BTC,5.59e-06,5.61e-06,5.57e-06,5.57e-06,0.0138920045110331,2494.07621383
1663459200000,2022-09-18 00:00:00,XLM/BTC,5.62e-06,5.63e-06,5.58e-06,5.58e-06,0.0051044759724834,914.78064023
1663455600000,2022-09-17 23:00:00,XLM/BTC,5.65e-06,5.65e-06,5.64e-06,5.64e-06,0.013549304043438,2402.3588729499997
1663452000000,2022-09-17 22:00:00,XLM/BTC,5.65e-06,5.65e-06,5.64e-06,5.64e-06,0.0434857999028208,7710.24820972
1663448400000,2022-09-17 21:00:00,XLM/BTC,5.58e-06,5.7e-06,5.58e-06,5.65e-06,0.0555997002172615,9840.65490571
1663444800000,2022-09-17 20:00:00,XLM/BTC,5.61e-06,5.62e-06,5.58e-06,5.59e-06,0.0317609838243828,5681.75023692
1663441200000,2022-09-17 19:00:00,XLM/BTC,5.61e-06,5.63e-06,5.58e-06,5.6e-06,0.040334726565112,7202.6297437700005
1663437600000,2022-09-17 18:00:00,XLM/BTC,5.59e-06,5.61e-06,5.58e-06,5.61e-06,0.0486837654718734,8678.03306094
1663434000000,2022-09-17 17:00:00,XLM/BTC,5.54e-06,5.6e-06,5.53e-06,5.59e-06,0.0212714548399067,3805.26920213
1663430400000,2022-09-17 16:00:00,XLM/BTC,5.56e-06,5.56e-06,5.53e-06,5.53e-06,0.0353525236054291,6392.861411469999
1663426800000,2022-09-17 15:00:00,XLM/BTC,5.56e-06,5.58e-06,5.53e-06,5.55e-06,0.0180979798415625,3260.89726875
1663423200000,2022-09-17 14:00:00,XLM/BTC,5.51e-06,5.61e-06,5.5e-06,5.6e-06,0.071519657761328,12771.36745738
1663419600000,2022-09-17 13:00:00,XLM/BTC,5.43e-06,5.51e-06,5.42e-06,5.51e-06,0.0731312313918249,13272.45578799
1663416000000,2022-09-17 12:00:00,XLM/BTC,5.41e-06,5.42e-06,5.4e-06,5.4e-06,0.097053590583378,17972.88714507
1663412400000,2022-09-17 11:00:00,XLM/BTC,5.38e-06,5.41e-06,5.38e-06,5.41e-06,0.1198853890762184,22159.96101224
1663408800000,2022-09-17 10:00:00,XLM/BTC,5.39e-06,5.39e-06,5.37e-06,5.39e-06,0.0357058420627139,6624.46049401
1663405200000,2022-09-17 09:00:00,XLM/BTC,5.34e-06,5.38e-06,5.34e-06,5.38e-06,0.12421515159406081,23088.31814016
1663401600000,2022-09-17 08:00:00,XLM/BTC,5.34e-06,5.35e-06,5.34e-06,5.35e-06,0.0841504258127765,15729.051553790001
1663398000000,2022-09-17 07:00:00,XLM/BTC,5.35e-06,5.35e-06,5.34e-06,5.34e-06,0.0311441578198674,5832.23929211
1663394400000,2022-09-17 06:00:00,XLM/BTC,5.34e-06,5.36e-06,5.34e-06,5.34e-06,0.0312977703946926,5861.00569189
1663390800000,2022-09-17 05:00:00,XLM/BTC,5.35e-06,5.35e-06,5.33e-06,5.34e-06,0.0007761288337482,145.34247823
1663387200000,2022-09-17 04:00:00,XLM/BTC,5.33e-06,5.34e-06,5.33e-06,5.34e-06,0.0136120031729106,2549.06426459
1663383600000,2022-09-17 03:00:00,XLM/BTC,5.34e-06,5.34e-06,5.33e-06,5.33e-06,0.0136463782746148,2560.29611156
1663380000000,2022-09-17 02:00:00,XLM/BTC,5.34e-06,5.35e-06,5.34e-06,5.35e-06,0.0006996458439349999,130.7749241
1663376400000,2022-09-17 01:00:00,XLM/BTC,5.34e-06,5.35e-06,5.33e-06,5.33e-06,0.0439837046507404,8252.10218588
1663372800000,2022-09-17 00:00:00,XLM/BTC,5.42e-06,5.42e-06,5.35e-06,5.35e-06,0.001101931113019,205.96843234
1663369200000,2022-09-16 23:00:00,XLM/BTC,5.41e-06,5.44e-06,5.41e-06,5.41e-06,0.0093286704868086,1724.33835246
1663365600000,2022-09-16 22:00:00,XLM/BTC,5.37e-06,5.43e-06,5.36e-06,5.42e-06,0.11842870030798319,21850.31370996
1663362000000,2022-09-16 21:00:00,XLM/BTC,5.36e-06,5.36e-06,5.34e-06,5.36e-06,0.036179615580692805,6749.92827998
1663358400000,2022-09-16 20:00:00,XLM/BTC,5.32e-06,5.35e-06,5.32e-06,5.35e-06,0.004958391164808,926.80208688
1663354800000,2022-09-16 19:00:00,XLM/BTC,5.31e-06,5.32e-06,5.29e-06,5.32e-06,0.0138257598551408,2598.82704044
1663351200000,2022-09-16 18:00:00,XLM/BTC,5.32e-06,5.32e-06,5.3e-06,5.3e-06,0.178834145083878,33742.29152526
1663347600000,2022-09-16 17:00:00,XLM/BTC,5.33e-06,5.33e-06,5.31e-06,5.33e-06,0.21869316943297978,41030.61340206
1663344000000,2022-09-16 16:00:00,XLM/BTC,5.27e-06,5.32e-06,5.26e-06,5.32e-06,0.1674323516022164,31472.24654177
1663340400000,2022-09-16 15:00:00,XLM/BTC,5.25e-06,5.28e-06,5.24e-06,5.28e-06,0.005484346737038399,1038.7020335299999
1663336800000,2022-09-16 14:00:00,XLM/BTC,5.24e-06,5.26e-06,5.22e-06,5.26e-06,0.0011486125453556,218.36740406
1663333200000,2022-09-16 13:00:00,XLM/BTC,5.23e-06,5.23e-06,5.22e-06,5.23e-06,0.0416689991980508,7967.30386196
1663329600000,2022-09-16 12:00:00,XLM/BTC,5.22e-06,5.25e-06,5.22e-06,5.24e-06,0.0050101408253196,956.13374529
1663326000000,2022-09-16 11:00:00,XLM/BTC,5.2e-06,5.21e-06,5.19e-06,5.21e-06,0.1240208697319627,23804.38958387
1663322400000,2022-09-16 10:00:00,XLM/BTC,5.21e-06,5.21e-06,5.19e-06,5.2e-06,0.03996504986734,7685.58651295
1663318800000,2022-09-16 09:00:00,XLM/BTC,5.16e-06,5.2e-06,5.16e-06,5.2e-06,0.031560586889728,6069.34363264
1663315200000,2022-09-16 08:00:00,XLM/BTC,5.19e-06,5.19e-06,5.17e-06,5.17e-06,0.0171789041422746,3322.8054433800003
1663311600000,2022-09-16 07:00:00,XLM/BTC,5.19e-06,5.19e-06,5.18e-06,5.18e-06,0.03588645260426521,6927.88660314
1663308000000,2022-09-16 06:00:00,XLM/BTC,5.19e-06,5.19e-06,5.17e-06,5.18e-06,0.014293325472524002,2759.3292418
1663304400000,2022-09-16 05:00:00,XLM/BTC,5.18e-06,5.2e-06,5.17e-06,5.2e-06,0.07963691834191601,15314.79198883
1663300800000,2022-09-16 04:00:00,XLM/BTC,5.19e-06,5.2e-06,5.19e-06,5.19e-06,0.0536187435610497,10331.16446263
1663297200000,2022-09-16 03:00:00,XLM/BTC,5.16e-06,5.19e-06,5.16e-06,5.19e-06,0.1190249145274953,22933.50954287
1663293600000,2022-09-16 02:00:00,XLM/BTC,5.17e-06,5.17e-06,5.15e-06,5.15e-06,0.123281099099456,23938.07749504
1663290000000,2022-09-16 01:00:00,XLM/BTC,5.18e-06,5.18e-06,5.17e-06,5.17e-06,0.08030696177099969,15533.26146441
1663286400000,2022-09-16 00:00:00,XLM/BTC,5.19e-06,5.19e-06,5.18e-06,5.19e-06,0.0512892660818394,9882.32487126
1663282800000,2022-09-15 23:00:00,XLM/BTC,5.18e-06,5.19e-06,5.18e-06,5.18e-06,0.1339088756805268,25851.13430126
1663279200000,2022-09-15 22:00:00,XLM/BTC,5.18e-06,5.19e-06,5.18e-06,5.18e-06,0.08412035008396881,16239.449823160001
1663275600000,2022-09-15 21:00:00,XLM/BTC,5.18e-06,5.18e-06,5.17e-06,5.18e-06,0.1487810359864402,28722.20771939
1663272000000,2022-09-15 20:00:00,XLM/BTC,5.18e-06,5.2e-06,5.17e-06,5.2e-06,0.066463447699272,12781.43224986
1663268400000,2022-09-15 19:00:00,XLM/BTC,5.18e-06,5.19e-06,5.17e-06,5.18e-06,0.017644215339398202,3406.21917749
1663264800000,2022-09-15 18:00:00,XLM/BTC,5.18e-06,5.18e-06,5.16e-06,5.17e-06,0.0313520562903944,6064.22752232
1663261200000,2022-09-15 17:00:00,XLM/BTC,5.15e-06,5.18e-06,5.15e-06,5.17e-06,0.0397734876106513,7693.13106589
1663257600000,2022-09-15 16:00:00,XLM/BTC,5.18e-06,5.19e-06,5.16e-06,5.16e-06,0.2038002124627536,39496.16520596
1663254000000,2022-09-15 15:00:00,XLM/BTC,5.15e-06,5.19e-06,5.15e-06,5.18e-06,0.3412564517777576,65879.62389532
1663250400000,2022-09-15 14:00:00,XLM/BTC,5.15e-06,5.17e-06,5.13e-06,5.17e-06,0.3201733682416159,61929.08476627
1663246800000,2022-09-15 13:00:00,XLM/BTC,5.16e-06,5.16e-06,5.14e-06,5.14e-06,0.082505384321483,16051.63119095
1663243200000,2022-09-15 12:00:00,XLM/BTC,5.16e-06,5.16e-06,5.14e-06,5.15e-06,0.061107499354795,11865.5338553
1663239600000,2022-09-15 11:00:00,XLM/BTC,5.13e-06,5.15e-06,5.11e-06,5.15e-06,0.035072472261083995,6810.18878856
1663236000000,2022-09-15 10:00:00,XLM/BTC,5.19e-06,5.19e-06,5.13e-06,5.13e-06,0.1132083723487383,22067.90883991
1663232400000,2022-09-15 09:00:00,XLM/BTC,5.18e-06,5.2e-06,5.18e-06,5.18e-06,0.06481599079223241,12512.73953518
1663228800000,2022-09-15 08:00:00,XLM/BTC,5.21e-06,5.23e-06,5.18e-06,5.18e-06,0.082167908532605,15862.53060475
1663225200000,2022-09-15 07:00:00,XLM/BTC,5.23e-06,5.23e-06,5.2e-06,5.21e-06,0.013634661780662501,2617.01761625
1663221600000,2022-09-15 06:00:00,XLM/BTC,5.15e-06,5.23e-06,5.12e-06,5.23e-06,0.11913134889799049,22778.46059235
1663218000000,2022-09-15 05:00:00,XLM/BTC,5.17e-06,5.17e-06,5.15e-06,5.17e-06,0.15198934942101128,29398.32677389
1663214400000,2022-09-15 04:00:00,XLM/BTC,5.13e-06,5.16e-06,5.13e-06,5.16e-06,0.2010897367327332,38970.87921177
1663210800000,2022-09-15 03:00:00,XLM/BTC,5.13e-06,5.16e-06,5.13e-06,5.14e-06,0.2376902020133666,46243.22996369
1663207200000,2022-09-15 02:00:00,XLM/BTC,5.16e-06,5.16e-06,5.13e-06,5.14e-06,0.0583452677483306,11351.21940629
