https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XCAD,Volume USDT
1663459200,2022-09-18 00:00:00,XCAD/USDT,1.962,1.964,1.9591,1.9598,593.8215,1164.52476392
1663372800,2022-09-17 00:00:00,XCAD/USDT,1.8826,2.0062,1.8775,1.9627,147584.0595,285193.31608864
1663286400,2022-09-16 00:00:00,XCAD/USDT,1.8431,1.9778,1.8244,1.8827,150064.1003,283377.56625586
1663200000,2022-09-15 00:00:00,XCAD/USDT,1.9836,2.049,1.8236,1.8429,194739.2865,378128.9456067
1663113600,2022-09-14 00:00:00,XCAD/USDT,1.8399,2.0044,1.8241,1.9832,158067.8804,302633.57432113
1663027200,2022-09-13 00:00:00,XCAD/USDT,2.0867,2.1097,1.8175,1.8399,299041.7126,578139.72847354
1662940800,2022-09-12 00:00:00,XCAD/USDT,2.1691,2.32,2.0091,2.0869,196357.8301,421987.94725413
1662854400,2022-09-11 00:00:00,XCAD/USDT,2.0816,2.439,2.0772,2.1692,311615.783,705902.04967006
1662768000,2022-09-10 00:00:00,XCAD/USDT,2.3332,2.3613,2.0478,2.0837,244739.8784,528269.99143451
1662681600,2022-09-09 00:00:00,XCAD/USDT,1.8291,2.388,1.8209,2.3294,555344.7923,1202374.81333241
1662595200,2022-09-08 00:00:00,XCAD/USDT,1.8057,1.8583,1.75,1.8297,174930.9418,314277.14316295
1662508800,2022-09-07 00:00:00,XCAD/USDT,1.6328,1.859,1.5323,1.8028,307042.63586802,514442.651607950376
1662422400,2022-09-06 00:00:00,XCAD/USDT,1.6615,1.759,1.6094,1.6328,362128.4469,604092.05991956
1662336000,2022-09-05 00:00:00,XCAD/USDT,1.5046,1.6728,1.4506,1.6612,290334.8096,461647.38437337
1662249600,2022-09-04 00:00:00,XCAD/USDT,1.4904,1.509,1.4869,1.505,41919.8443,62739.54288342
1662163200,2022-09-03 00:00:00,XCAD/USDT,1.4795,1.5114,1.4745,1.4912,80608.7619,120492.36705734
1662076800,2022-09-02 00:00:00,XCAD/USDT,1.4657,1.5389,1.4607,1.4792,87973.7983,131895.87678699
1661990400,2022-09-01 00:00:00,XCAD/USDT,1.4938,1.5689,1.4421,1.4656,135040.7148,200127.08989051
1661904000,2022-08-31 00:00:00,XCAD/USDT,1.479,1.5353,1.4775,1.4941,50352.87559354,75735.251058679157
1661817600,2022-08-30 00:00:00,XCAD/USDT,1.5244,1.5339,1.4638,1.4792,77098.53542599,115528.667524248398
1661731200,2022-08-29 00:00:00,XCAD/USDT,1.4836,1.5589,1.456,1.5201,101397.91526821,152786.092198824736
1661644800,2022-08-28 00:00:00,XCAD/USDT,1.5696,1.639,1.4687,1.4833,149943.82082384,230942.412174714826
1661558400,2022-08-27 00:00:00,XCAD/USDT,1.557,1.5896,1.538,1.5694,44751.81796216,70012.431742055079
1661472000,2022-08-26 00:00:00,XCAD/USDT,1.6904,1.6993,1.5434,1.5543,113040.89934061,181611.295512350907
1661385600,2022-08-25 00:00:00,XCAD/USDT,1.7288,1.775,1.6691,1.6905,106281.24194176,183261.463659515868
1661299200,2022-08-24 00:00:00,XCAD/USDT,1.7577,1.7889,1.7011,1.7291,150838.90453572,264368.630663120494
1661212800,2022-08-23 00:00:00,XCAD/USDT,1.7835,1.839,1.6953,1.7583,197057.99824595,347378.197362927061
1661126400,2022-08-22 00:00:00,XCAD/USDT,1.8319,1.899,1.719,1.7808,175833.10366958,314224.973561547276
1661040000,2022-08-21 00:00:00,XCAD/USDT,1.612,1.8965,1.6078,1.8319,186099.49625733,328139.907145151351
1660953600,2022-08-20 00:00:00,XCAD/USDT,1.6263,1.6639,1.5811,1.6122,67879.56102675,109805.332006082513
1660867200,2022-08-19 00:00:00,XCAD/USDT,1.8278,1.8317,1.623,1.6265,145374.75822681,247620.730325971337
1660780800,2022-08-18 00:00:00,XCAD/USDT,1.8287,1.9108,1.8033,1.8281,96558.67405513,179085.256699767902
1660694400,2022-08-17 00:00:00,XCAD/USDT,2.0046,2.06,1.8205,1.8305,105668.53064984,203930.747482784856
1660608000,2022-08-16 00:00:00,XCAD/USDT,2.0618,2.159,1.9853,2.0083,165933.62626736,342429.642077472933
1660521600,2022-08-15 00:00:00,XCAD/USDT,1.8926,2.0682,1.8511,2.0615,221208.23073204,432243.578349840006
1660435200,2022-08-14 00:00:00,XCAD/USDT,1.7651,1.92,1.699,1.8926,219391.52041079,395075.428605011422
1660348800,2022-08-13 00:00:00,XCAD/USDT,1.7737,1.8185,1.76,1.7653,61921.3799902,110338.853038891922
1660262400,2022-08-12 00:00:00,XCAD/USDT,1.7396,1.815,1.7256,1.7664,68121.90121658,120123.060974082349
1660176000,2022-08-11 00:00:00,XCAD/USDT,1.7642,1.835,1.7207,1.7397,166166.98248928,294210.769854247894
1660089600,2022-08-10 00:00:00,XCAD/USDT,1.5824,1.8,1.5615,1.764,200092.84373701,339565.13937106363
1660003200,2022-08-09 00:00:00,XCAD/USDT,1.6227,1.6375,1.5559,1.5821,108185.81168474,171851.023454952623
1659916800,2022-08-08 00:00:00,XCAD/USDT,1.6214,1.669,1.6136,1.6229,99559.60083727,163496.116513555806
1659830400,2022-08-07 00:00:00,XCAD/USDT,1.6197,1.6399,1.5745,1.6217,80342.5891993,128640.157398917037
1659744000,2022-08-06 00:00:00,XCAD/USDT,1.6561,1.7088,1.614,1.6194,89076.36463578,147977.374435208341
1659657600,2022-08-05 00:00:00,XCAD/USDT,1.5789,1.695,1.557,1.6561,102046.1725356,165986.204851753793
1659571200,2022-08-04 00:00:00,XCAD/USDT,1.5154,1.61,1.5116,1.5802,139809.70655774,220463.438502180852
1659484800,2022-08-03 00:00:00,XCAD/USDT,1.4717,1.563,1.45,1.5142,116969.04481999,177642.566904380963
1659398400,2022-08-02 00:00:00,XCAD/USDT,1.5252,1.5348,1.4529,1.472,68256.44091788,101303.663089922919
