https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DODO,Volume USDT
1663459200,2022-09-18 00:00:00,DODO/USDT,0.1277,0.1277,0.126,0.1261,6069.75261424,766.319890731403
1663372800,2022-09-17 00:00:00,DODO/USDT,0.1222,0.1371,0.1222,0.1277,1640070.16077796,208751.813755886709
1663286400,2022-09-16 00:00:00,DODO/USDT,0.1203,0.1229,0.118,0.1221,482241.81435161,57935.837829655829
1663200000,2022-09-15 00:00:00,DODO/USDT,0.1247,0.1256,0.1197,0.1203,960950.3628947,118139.064885168728
1663113600,2022-09-14 00:00:00,DODO/USDT,0.125,0.1275,0.1213,0.125,1474271.13037231,184091.016457388848
1663027200,2022-09-13 00:00:00,DODO/USDT,0.1321,0.134,0.1235,0.1254,1050241.00905936,134551.985726636293
1662940800,2022-09-12 00:00:00,DODO/USDT,0.1331,0.136,0.1289,0.1321,1167185.52707242,154802.516343118501
1662854400,2022-09-11 00:00:00,DODO/USDT,0.1336,0.1359,0.1311,0.1334,668222.40723803,88945.814868588226
1662768000,2022-09-10 00:00:00,DODO/USDT,0.1357,0.1384,0.1314,0.1337,1469422.95469313,197285.634175230455
1662681600,2022-09-09 00:00:00,DODO/USDT,0.1252,0.1394,0.1252,0.1356,1226712.22450303,164358.340849118114
1662595200,2022-09-08 00:00:00,DODO/USDT,0.1289,0.1299,0.1237,0.1252,609239.7614863,77168.947939418134
1662508800,2022-09-07 00:00:00,DODO/USDT,0.1192,0.1304,0.1166,0.1285,745343.20369535,91072.078054333667
1662422400,2022-09-06 00:00:00,DODO/USDT,0.1281,0.1332,0.1193,0.1193,721347.58559696,91652.884568918352
1662336000,2022-09-05 00:00:00,DODO/USDT,0.1296,0.1301,0.125,0.128,487113.80178983,61699.000194019673
1662249600,2022-09-04 00:00:00,DODO/USDT,0.1256,0.1298,0.1246,0.1297,394183.3080462,49861.098897745027
1662163200,2022-09-03 00:00:00,DODO/USDT,0.1233,0.1264,0.1224,0.1254,254303.04290779,31647.260820222282
1662076800,2022-09-02 00:00:00,DODO/USDT,0.1271,0.1279,0.1217,0.1228,598433.964895,75088.18330903202
1661990400,2022-09-01 00:00:00,DODO/USDT,0.1278,0.1286,0.1225,0.1274,741499.16477319,93007.110451906654
1661904000,2022-08-31 00:00:00,DODO/USDT,0.1281,0.1327,0.1267,0.1276,525367.1553302,68610.679225494202
1661817600,2022-08-30 00:00:00,DODO/USDT,0.1313,0.1341,0.124,0.1274,1052098.51882836,136278.737902324516
1661731200,2022-08-29 00:00:00,DODO/USDT,0.1183,0.1335,0.1155,0.1309,1290080.44346214,161133.404782171762
1661644800,2022-08-28 00:00:00,DODO/USDT,0.1248,0.1272,0.1172,0.118,1538844.21671274,191367.544779669387
1661558400,2022-08-27 00:00:00,DODO/USDT,0.1271,0.1301,0.121,0.1246,1297068.43651139,162848.359120744619
1661472000,2022-08-26 00:00:00,DODO/USDT,0.1404,0.1409,0.1263,0.1274,1237968.96387593,164170.443599410511
1661385600,2022-08-25 00:00:00,DODO/USDT,0.1402,0.1468,0.1387,0.141,565402.49091039,80100.826621596382
1661299200,2022-08-24 00:00:00,DODO/USDT,0.14,0.1426,0.1358,0.1405,340837.31279232,47589.666406507747
1661212800,2022-08-23 00:00:00,DODO/USDT,0.1369,0.1421,0.1347,0.1398,925459.29588378,127457.045656925296
1661126400,2022-08-22 00:00:00,DODO/USDT,0.1391,0.1396,0.1274,0.1368,592578.32991548,79129.588461821839
1661040000,2022-08-21 00:00:00,DODO/USDT,0.131,0.14,0.1291,0.1392,656089.94342349,89273.308153277076
1660953600,2022-08-20 00:00:00,DODO/USDT,0.13,0.1447,0.1267,0.1312,1543129.00830943,206945.313763038448
1660867200,2022-08-19 00:00:00,DODO/USDT,0.146,0.1461,0.1292,0.1296,872637.21613784,119362.71773086083
1660780800,2022-08-18 00:00:00,DODO/USDT,0.1592,0.162,0.1426,0.1457,798569.14129362,120992.309663598531
1660694400,2022-08-17 00:00:00,DODO/USDT,0.1673,0.1736,0.156,0.1592,759276.38749887,124442.502664481364
1660608000,2022-08-16 00:00:00,DODO/USDT,0.1677,0.1694,0.1646,0.1674,205122.79256187,34209.87533376048
1660521600,2022-08-15 00:00:00,DODO/USDT,0.1707,0.1769,0.1659,0.1682,713133.42036476,121029.306289772002
1660435200,2022-08-14 00:00:00,DODO/USDT,0.176,0.1842,0.166,0.1707,1229469.11133518,215772.787168133627
1660348800,2022-08-13 00:00:00,DODO/USDT,0.1805,0.1843,0.1752,0.176,631683.420225,112317.330378810233
1660262400,2022-08-12 00:00:00,DODO/USDT,0.1775,0.1853,0.1751,0.181,964976.78829067,173666.045591312017
1660176000,2022-08-11 00:00:00,DODO/USDT,0.1821,0.1856,0.176,0.1776,515281.7573442,94151.908812141555
1660089600,2022-08-10 00:00:00,DODO/USDT,0.171,0.1823,0.1669,0.1817,688894.92669107,121698.938944562135
1660003200,2022-08-09 00:00:00,DODO/USDT,0.1801,0.1831,0.1675,0.1711,868140.40636481,149996.349259419665
1659916800,2022-08-08 00:00:00,DODO/USDT,0.182,0.1879,0.1793,0.1806,528395.81331214,97408.123720557034
1659830400,2022-08-07 00:00:00,DODO/USDT,0.1807,0.186,0.1784,0.1819,386370.74693273,70730.038961303115
1659744000,2022-08-06 00:00:00,DODO/USDT,0.1844,0.1864,0.1803,0.1806,303697.68734208,55635.412613003931
1659657600,2022-08-05 00:00:00,DODO/USDT,0.1727,0.1877,0.1716,0.1842,1026035.75463632,187139.463973456714
1659571200,2022-08-04 00:00:00,DODO/USDT,0.1704,0.1775,0.1685,0.1729,629377.7156821,108568.024055047328
1659484800,2022-08-03 00:00:00,DODO/USDT,0.172,0.179,0.1663,0.1704,750100.8820213,130932.191236974055
1659398400,2022-08-02 00:00:00,DODO/USDT,0.1774,0.1799,0.1635,0.1719,1183409.60174002,201256.093640235461
1659312000,2022-08-01 00:00:00,DODO/USDT,0.1731,0.2137,0.1713,0.1775,5506089.14784637,1054889.062972292797
1659225600,2022-07-31 00:00:00,DODO/USDT,0.1713,0.1897,0.17,0.1735,1770132.88411988,315141.028205506348
1659139200,2022-07-30 00:00:00,DODO/USDT,0.1725,0.1837,0.1661,0.1711,1988711.85316251,350834.482354515156
1659052800,2022-07-29 00:00:00,DODO/USDT,0.1639,0.182,0.1621,0.1734,2230526.22765739,380934.446467125532
