https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume EUR
1655769600,2022-06-21 00:00:00,UST/EUR,0.009,0.009,0.009,0.009,0.00,0.0
1655683200,2022-06-20 00:00:00,UST/EUR,0.009,0.009,0.007,0.009,448247.39,4034.22651
1655596800,2022-06-19 00:00:00,UST/EUR,0.007,0.009,0.007,0.009,261466.34,2353.19706
1655510400,2022-06-18 00:00:00,UST/EUR,0.007,0.007,0.006,0.006,347886.68,2087.32008
1655424000,2022-06-17 00:00:00,UST/EUR,0.006,0.008,0.006,0.008,184128.80,1473.0303999999999
1655337600,2022-06-16 00:00:00,UST/EUR,0.007,0.007,0.007,0.007,11380.66,79.66462
1655251200,2022-06-15 00:00:00,UST/EUR,0.008,0.008,0.006,0.007,441837.44,3092.86208
1655164800,2022-06-14 00:00:00,UST/EUR,0.007,0.008,0.007,0.008,501367.36,4010.93888
1655078400,2022-06-13 00:00:00,UST/EUR,0.008,0.008,0.007,0.007,772724.40,5409.0708
1654992000,2022-06-12 00:00:00,UST/EUR,0.008,0.009,0.007,0.009,1814649.81,16331.84829
1654905600,2022-06-11 00:00:00,UST/EUR,0.009,0.009,0.008,0.008,734520.70,5876.165599999999
1654819200,2022-06-10 00:00:00,UST/EUR,0.011,0.012,0.008,0.010,510779.78,5107.7978
1654732800,2022-06-09 00:00:00,UST/EUR,0.009,0.011,0.009,0.011,170323.26,1873.55586
1654646400,2022-06-08 00:00:00,UST/EUR,0.013,0.013,0.010,0.010,725315.92,7253.159200000001
1654560000,2022-06-07 00:00:00,UST/EUR,0.015,0.015,0.013,0.013,246276.16,3201.59008
1654473600,2022-06-06 00:00:00,UST/EUR,0.016,0.018,0.015,0.016,252984.08,4047.74528
1654387200,2022-06-05 00:00:00,UST/EUR,0.017,0.019,0.015,0.016,420662.96,6730.607360000001
1654300800,2022-06-04 00:00:00,UST/EUR,0.018,0.020,0.017,0.020,34995.08,699.9016
1654214400,2022-06-03 00:00:00,UST/EUR,0.018,0.021,0.017,0.018,139300.49,2507.4088199999997
1654128000,2022-06-02 00:00:00,UST/EUR,0.013,0.019,0.013,0.019,257176.06,4886.345139999999
1654041600,2022-06-01 00:00:00,UST/EUR,0.024,0.024,0.013,0.013,1041097.17,13534.26321
1653955200,2022-05-31 00:00:00,UST/EUR,0.024,0.026,0.020,0.022,1653109.70,36368.4134
1653868800,2022-05-30 00:00:00,UST/EUR,0.034,0.034,0.023,0.027,990737.82,26749.92114
1653782400,2022-05-29 00:00:00,UST/EUR,0.025,0.037,0.025,0.034,244936.86,8327.85324
1653696000,2022-05-28 00:00:00,UST/EUR,0.040,0.040,0.024,0.025,292708.42,7317.7105
1653609600,2022-05-27 00:00:00,UST/EUR,0.048,0.048,0.021,0.042,1461565.49,61385.75058
1653523200,2022-05-26 00:00:00,UST/EUR,0.093,0.099,0.040,0.048,447720.06,21490.56288
1653436800,2022-05-25 00:00:00,UST/EUR,0.062,0.097,0.062,0.092,314629.71,28945.93332
1653350400,2022-05-24 00:00:00,UST/EUR,0.064,0.064,0.056,0.062,51776.24,3210.12688
1653264000,2022-05-23 00:00:00,UST/EUR,0.062,0.064,0.057,0.064,239519.33,15329.23712
1653177600,2022-05-22 00:00:00,UST/EUR,0.060,0.063,0.054,0.061,48318.95,2947.4559499999996
1653091200,2022-05-21 00:00:00,UST/EUR,0.060,0.061,0.050,0.060,290953.23,17457.193799999997
1653004800,2022-05-20 00:00:00,UST/EUR,0.076,0.090,0.060,0.065,136499.82,8872.4883
1652918400,2022-05-19 00:00:00,UST/EUR,0.099,0.099,0.070,0.079,98782.49,7803.81671
1652832000,2022-05-18 00:00:00,UST/EUR,0.088,0.108,0.084,0.099,60320.36,5971.71564
1652745600,2022-05-17 00:00:00,UST/EUR,0.099,0.110,0.084,0.096,132009.08,12672.871679999998
1652659200,2022-05-16 00:00:00,UST/EUR,0.131,0.160,0.059,0.094,473210.69,44481.804860000004
1652572800,2022-05-15 00:00:00,UST/EUR,0.205,0.249,0.127,0.129,75363.55,9721.89795
1652486400,2022-05-14 00:00:00,UST/EUR,0.170,0.305,0.170,0.205,122378.62,25087.617099999996
1652400000,2022-05-13 00:00:00,UST/EUR,0.368,0.368,0.100,0.191,176647.30,33739.6343
1652313600,2022-05-12 00:00:00,UST/EUR,0.700,0.729,0.250,0.361,485905.92,175412.03712
1652227200,2022-05-11 00:00:00,UST/EUR,0.773,0.799,0.258,0.681,588065.92,400472.89152000006
1652140800,2022-05-10 00:00:00,UST/EUR,0.717,0.888,0.620,0.760,1104741.92,839603.8592
1652054400,2022-05-09 00:00:00,UST/EUR,0.939,0.950,0.717,0.717,31931.35,22894.77795
1651968000,2022-05-08 00:00:00,UST/EUR,0.954,0.954,0.944,0.944,3218.27,3038.04688
1651881600,2022-05-07 00:00:00,UST/EUR,0.948,0.948,0.944,0.946,30019.49,28398.43754
1651795200,2022-05-06 00:00:00,UST/EUR,0.948,0.948,0.948,0.948,157.44,149.25312
1651708800,2022-05-05 00:00:00,UST/EUR,0.951,0.951,0.935,0.944,296.99,280.35856
1651622400,2022-05-04 00:00:00,UST/EUR,0.950,0.950,0.950,0.950,0.00,0.0
1651536000,2022-05-03 00:00:00,UST/EUR,0.950,0.950,0.949,0.950,12903.79,12258.6005
1651449600,2022-05-02 00:00:00,UST/EUR,0.946,0.954,0.946,0.952,44466.55,42332.1556
1651363200,2022-05-01 00:00:00,UST/EUR,0.950,0.950,0.950,0.950,0.00,0.0
1651276800,2022-04-30 00:00:00,UST/EUR,0.951,0.951,0.950,0.950,15440.00,14668.0
1651190400,2022-04-29 00:00:00,UST/EUR,0.946,0.953,0.946,0.953,3189.85,3039.92705
1651104000,2022-04-28 00:00:00,UST/EUR,0.953,0.954,0.935,0.952,42690.86,40641.69872
1651017600,2022-04-27 00:00:00,UST/EUR,0.935,0.935,0.935,0.935,0.00,0.0
1650931200,2022-04-26 00:00:00,UST/EUR,0.938,0.938,0.935,0.935,70.54,65.95490000000001
1650844800,2022-04-25 00:00:00,UST/EUR,0.930,0.930,0.930,0.930,3895.60,3622.908
1650758400,2022-04-24 00:00:00,UST/EUR,0.927,0.927,0.927,0.927,6301.58,5841.56466
1650672000,2022-04-23 00:00:00,UST/EUR,0.927,0.930,0.927,0.930,5691.50,5293.095
1650585600,2022-04-22 00:00:00,UST/EUR,0.929,0.931,0.922,0.927,24133.21,22371.485670000002
1650499200,2022-04-21 00:00:00,UST/EUR,0.927,0.927,0.920,0.921,42942.25,39549.81225
1650412800,2022-04-20 00:00:00,UST/EUR,0.932,0.932,0.925,0.925,454.64,420.54200000000003
1650326400,2022-04-19 00:00:00,UST/EUR,0.930,0.932,0.930,0.932,16085.64,14991.81648
1650240000,2022-04-18 00:00:00,UST/EUR,0.929,0.929,0.929,0.929,0.00,0.0
1650153600,2022-04-17 00:00:00,UST/EUR,0.929,0.929,0.929,0.929,0.00,0.0
1650067200,2022-04-16 00:00:00,UST/EUR,0.929,0.929,0.929,0.929,0.00,0.0
1649980800,2022-04-15 00:00:00,UST/EUR,0.929,0.930,0.929,0.929,12071.61,11214.52569
1649894400,2022-04-14 00:00:00,UST/EUR,0.921,0.921,0.916,0.916,16637.29,15239.757640000002
1649808000,2022-04-13 00:00:00,UST/EUR,0.920,0.920,0.918,0.918,5260.47,4829.11146
1649721600,2022-04-12 00:00:00,UST/EUR,0.920,0.925,0.919,0.920,14664.88,13491.6896
1649635200,2022-04-11 00:00:00,UST/EUR,0.916,0.919,0.915,0.915,11469.39,10494.49185
1649548800,2022-04-10 00:00:00,UST/EUR,1.036,1.036,0.920,0.920,18007.17,16566.5964
1649462400,2022-04-09 00:00:00,UST/EUR,0.928,0.928,0.920,0.920,1647.84,1516.0128
1649376000,2022-04-08 00:00:00,UST/EUR,0.922,0.928,0.920,0.928,46786.09,43417.491519999996
1649289600,2022-04-07 00:00:00,UST/EUR,0.916,0.921,0.914,0.921,43530.12,40091.24052000001
1649203200,2022-04-06 00:00:00,UST/EUR,0.921,0.921,0.915,0.915,13830.08,12654.5232
1649116800,2022-04-05 00:00:00,UST/EUR,0.911,0.915,0.911,0.915,7235.44,6620.4276
1649030400,2022-04-04 00:00:00,UST/EUR,0.906,0.913,0.906,0.913,3099.42,2829.77046
1648944000,2022-04-03 00:00:00,UST/EUR,0.906,0.907,0.904,0.906,3821.16,3461.97096
1648857600,2022-04-02 00:00:00,UST/EUR,0.904,0.908,0.904,0.906,6595.91,5975.89446
