https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume H2O,Volume USDT
1663459200,2022-09-18 00:00:00,H2O/USDT,0.297,0.297,0.2909,0.2909,6.7342,1.97951809
1663372800,2022-09-17 00:00:00,H2O/USDT,0.289,0.2911,0.2834,0.2909,220326.8244,63102.28676327
1663286400,2022-09-16 00:00:00,H2O/USDT,0.2899,0.2899,0.2825,0.284,153496.895,43838.81618074
1663200000,2022-09-15 00:00:00,H2O/USDT,0.2878,0.2911,0.2826,0.2826,564005.1347,163036.56362534
1663113600,2022-09-14 00:00:00,H2O/USDT,0.297,0.297,0.2878,0.2878,440946.847,129961.46198521
1663027200,2022-09-13 00:00:00,H2O/USDT,0.2974,0.3004,0.2893,0.2969,419078.4477,123334.76136711
1662940800,2022-09-12 00:00:00,H2O/USDT,0.2903,0.3117,0.2832,0.301,14501.447,4298.19926175
1662854400,2022-09-11 00:00:00,H2O/USDT,0.2853,0.3058,0.2851,0.2927,15789.7703,4710.9704293
1662768000,2022-09-10 00:00:00,H2O/USDT,0.2891,0.2911,0.2784,0.2801,4520.5095,1288.92635038
1662681600,2022-09-09 00:00:00,H2O/USDT,0.293,0.2988,0.2771,0.2811,9243.6606,2619.59019348
1662595200,2022-09-08 00:00:00,H2O/USDT,0.2947,0.3007,0.2834,0.2945,9514.8867,2776.25279682
1662508800,2022-09-07 00:00:00,H2O/USDT,0.2907,0.3008,0.2799,0.2946,465174.133,139332.93350695
1662422400,2022-09-06 00:00:00,H2O/USDT,0.2982,0.3067,0.2541,0.2909,405755.9226,118570.87469877
1662336000,2022-09-05 00:00:00,H2O/USDT,0.3548,0.4163,0.293,0.2948,67101.19,22237.20291383
1662249600,2022-09-04 00:00:00,H2O/USDT,0.4091,0.4246,0.3421,0.3548,117031.9087,43098.80080241
1662163200,2022-09-03 00:00:00,H2O/USDT,0.3457,0.4286,0.3251,0.4083,506417.3686,186286.94162036
1662076800,2022-09-02 00:00:00,H2O/USDT,0.3873,0.4031,0.3455,0.3459,17488.804,6756.06432687
1661990400,2022-09-01 00:00:00,H2O/USDT,0.468,0.468,0.3685,0.3917,23341.3868,9281.92659016
1661904000,2022-08-31 00:00:00,H2O/USDT,0.5146,0.5146,0.4634,0.4733,6611.7984,3227.20628009
1661817600,2022-08-30 00:00:00,H2O/USDT,0.566,0.566,0.5146,0.5146,570681.2024,302377.98016103
1661731200,2022-08-29 00:00:00,H2O/USDT,0.5759,0.5759,0.5661,0.5727,154066.4591,88234.98995775
1661644800,2022-08-28 00:00:00,H2O/USDT,0.5831,0.5904,0.5759,0.5794,264175.2272,153068.43899263
1661558400,2022-08-27 00:00:00,H2O/USDT,0.5622,0.5832,0.5622,0.5758,132221.8385,76351.91883194
1661472000,2022-08-26 00:00:00,H2O/USDT,0.5661,0.5758,0.5627,0.5627,482185.4807,277356.02764737
1661385600,2022-08-25 00:00:00,H2O/USDT,0.5803,0.5881,0.5668,0.5668,305568.5791,177843.61771754
1661299200,2022-08-24 00:00:00,H2O/USDT,0.5831,0.5831,0.5753,0.5753,293731.1174,170319.24493543
1661212800,2022-08-23 00:00:00,H2O/USDT,0.5908,0.5915,0.5754,0.5832,369818.6474,217648.91952863
1661126400,2022-08-22 00:00:00,H2O/USDT,0.5897,0.5941,0.5807,0.5915,310631.0475,181635.72361762
1661040000,2022-08-21 00:00:00,H2O/USDT,0.58,0.5952,0.5761,0.5817,686987.3987,400526.09499947
1660953600,2022-08-20 00:00:00,H2O/USDT,0.5845,0.5952,0.5801,0.5801,406076.5599,238590.07740108
1660867200,2022-08-19 00:00:00,H2O/USDT,0.5807,0.5952,0.5791,0.5791,679416.9668,395262.64786126
1660780800,2022-08-18 00:00:00,H2O/USDT,0.5816,0.5902,0.5807,0.5822,387040.2608,227326.43091182
1660694400,2022-08-17 00:00:00,H2O/USDT,0.5813,0.5902,0.5759,0.5759,369090.0104,215835.65316982
1660608000,2022-08-16 00:00:00,H2O/USDT,0.5953,0.5998,0.5767,0.5767,405246.6959,237955.04221385
1660521600,2022-08-15 00:00:00,H2O/USDT,0.5901,0.5999,0.5865,0.5925,666511.3926,394121.18875765
1660435200,2022-08-14 00:00:00,H2O/USDT,0.5981,0.6025,0.5798,0.5897,493216.1586,293690.00209082
1660348800,2022-08-13 00:00:00,H2O/USDT,0.5966,0.6059,0.586,0.598,289636.3348,172486.31337908
1660262400,2022-08-12 00:00:00,H2O/USDT,0.5905,0.6006,0.5807,0.5953,311113.785,185176.23150116
1660176000,2022-08-11 00:00:00,H2O/USDT,0.5966,0.6006,0.5906,0.5906,396153.9509,236986.03710117
1660089600,2022-08-10 00:00:00,H2O/USDT,0.5953,0.6057,0.5953,0.5967,316141.3554,188263.11342776
1660003200,2022-08-09 00:00:00,H2O/USDT,0.6104,0.6104,0.5952,0.5999,325753.1481,197884.19899322
1659916800,2022-08-08 00:00:00,H2O/USDT,0.6104,0.6171,0.5993,0.6152,485540.7362,294664.26422327
1659830400,2022-08-07 00:00:00,H2O/USDT,0.5954,0.6104,0.5864,0.6104,431686.3834,260435.61359967
1659744000,2022-08-06 00:00:00,H2O/USDT,0.5998,0.6098,0.5849,0.6007,596776.8714,357207.20953029
1659657600,2022-08-05 00:00:00,H2O/USDT,0.6062,0.6104,0.5843,0.6031,750826.8996,451959.86226899
1659571200,2022-08-04 00:00:00,H2O/USDT,0.615,0.6172,0.6068,0.6101,318999.4723,196058.2306479
1659484800,2022-08-03 00:00:00,H2O/USDT,0.6073,0.6325,0.5958,0.6079,530748.1355,325656.15944659
1659398400,2022-08-02 00:00:00,H2O/USDT,0.6008,0.615,0.5931,0.6024,496104.6274,297236.33599198
1659312000,2022-08-01 00:00:00,H2O/USDT,0.5976,0.6149,0.5952,0.6008,648289.4826,391961.26986089
1659225600,2022-07-31 00:00:00,H2O/USDT,0.5966,0.603,0.5833,0.5954,394635.344,235386.67999415
1659139200,2022-07-30 00:00:00,H2O/USDT,0.5864,0.6997,0.5864,0.5999,313256.3264,190616.91863305
1659052800,2022-07-29 00:00:00,H2O/USDT,0.5907,0.5954,0.5744,0.5843,710471.4086,418015.66494797
1658966400,2022-07-28 00:00:00,H2O/USDT,0.6,0.6008,0.5784,0.5907,587521.1495,344678.92997526
1658880000,2022-07-27 00:00:00,H2O/USDT,0.5912,0.6,0.5787,0.6,341207.3543,201702.9560132
1658793600,2022-07-26 00:00:00,H2O/USDT,0.5966,0.63,0.5905,0.596,698688.3715,414467.90056274
1658707200,2022-07-25 00:00:00,H2O/USDT,0.605,0.6093,0.5848,0.5966,393744.978,233621.37775352
1658620800,2022-07-24 00:00:00,H2O/USDT,0.59,0.6093,0.59,0.5999,627279.20514964,378002.665005250842
