https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AUDIO,Volume BTC
1663459200,2022-09-18 00:00:00,AUDIO/BTC,0.00001245,0.00001248,0.0000124,0.00001246,24.7839,0.000308376805
1663372800,2022-09-17 00:00:00,AUDIO/BTC,0.00001239,0.00001261,0.00001233,0.00001247,3365.9058,0.042030476101
1663286400,2022-09-16 00:00:00,AUDIO/BTC,0.00001229,0.00001244,0.0000121,0.00001235,16372.7457,0.2003014144
1663200000,2022-09-15 00:00:00,AUDIO/BTC,0.00001251,0.00001257,0.00001216,0.00001225,40696.7364,0.507220741016
1663113600,2022-09-14 00:00:00,AUDIO/BTC,0.0000128,0.00001287,0.00001228,0.00001253,49856.121,0.621587795863
1663027200,2022-09-13 00:00:00,AUDIO/BTC,0.00001301,0.00001301,0.00001171,0.00001277,173513.3315,2.223273227441
1662940800,2022-09-12 00:00:00,AUDIO/BTC,0.00001297,0.00001414,0.00001257,0.00001308,79437.8567,1.041350851121
1662854400,2022-09-11 00:00:00,AUDIO/BTC,0.00001328,0.00001357,0.00001298,0.000013,72799.1451,0.972077862113
1662768000,2022-09-10 00:00:00,AUDIO/BTC,0.00001357,0.00001375,0.00001311,0.00001326,18698.0249,0.252743814309
1662681600,2022-09-09 00:00:00,AUDIO/BTC,0.00001455,0.00001466,0.00001345,0.00001359,57832.5088,0.796291649811
1662595200,2022-09-08 00:00:00,AUDIO/BTC,0.00001467,0.00001492,0.00001425,0.00001454,5463.1737,0.079664911346
1662508800,2022-09-07 00:00:00,AUDIO/BTC,0.00001366,0.00001485,0.00001364,0.00001466,15922.3007,0.224944807757
1662422400,2022-09-06 00:00:00,AUDIO/BTC,0.00001426,0.00001462,0.00001344,0.00001376,109406.3038,1.530147436688
1662336000,2022-09-05 00:00:00,AUDIO/BTC,0.00001475,0.00001489,0.00001414,0.00001427,5728.253,0.083159089165
1662249600,2022-09-04 00:00:00,AUDIO/BTC,0.00001439,0.00001486,0.00001439,0.00001473,8422.3858,0.12346795885
1662163200,2022-09-03 00:00:00,AUDIO/BTC,0.00001403,0.00001442,0.00001396,0.00001441,5331.2576,0.076276520328
1662076800,2022-09-02 00:00:00,AUDIO/BTC,0.00001406,0.00001417,0.00001393,0.00001405,2723.5711,0.038066076032
1661990400,2022-09-01 00:00:00,AUDIO/BTC,0.00001396,0.00001417,0.00001364,0.00001405,6222.4257,0.086193945967
1661904000,2022-08-31 00:00:00,AUDIO/BTC,0.00001438,0.00001449,0.00001393,0.00001393,5980.1719,0.084300426291
1661817600,2022-08-30 00:00:00,AUDIO/BTC,0.00001469,0.00001488,0.00001418,0.00001439,4999.1087,0.072112798066
1661731200,2022-08-29 00:00:00,AUDIO/BTC,0.00001426,0.0000147,0.00001409,0.00001464,3477.6566,0.05001027081
1661644800,2022-08-28 00:00:00,AUDIO/BTC,0.00001416,0.00001459,0.00001406,0.00001423,3620.1845,0.051987152607
1661558400,2022-08-27 00:00:00,AUDIO/BTC,0.00001399,0.00001436,0.00001387,0.00001416,4421.2256,0.062479895529
1661472000,2022-08-26 00:00:00,AUDIO/BTC,0.00001467,0.00001482,0.00001382,0.000014,10890.3148,0.154824471474
1661385600,2022-08-25 00:00:00,AUDIO/BTC,0.00001499,0.00001518,0.00001439,0.00001467,10655.9887,0.158035372562
1661299200,2022-08-24 00:00:00,AUDIO/BTC,0.00001453,0.00001837,0.0000144,0.000015,52441.6182,0.842058840479
1661212800,2022-08-23 00:00:00,AUDIO/BTC,0.00001426,0.00001451,0.00001409,0.00001444,10754.2424,0.154279360399
1661126400,2022-08-22 00:00:00,AUDIO/BTC,0.00001439,0.00001442,0.00001386,0.00001417,21727.7293,0.304539477101
1661040000,2022-08-21 00:00:00,AUDIO/BTC,0.00001421,0.00001453,0.00001414,0.00001432,3378.2349,0.048494828741
1660953600,2022-08-20 00:00:00,AUDIO/BTC,0.00001448,0.00001481,0.00001377,0.00001425,11209.0259,0.159027481312
1660867200,2022-08-19 00:00:00,AUDIO/BTC,0.00001414,0.00001463,0.00001377,0.00001448,99756.9079,1.416783057317
1660780800,2022-08-18 00:00:00,AUDIO/BTC,0.00001477,0.00001499,0.00001383,0.00001415,11078.1663,0.15992347179
1660694400,2022-08-17 00:00:00,AUDIO/BTC,0.00001539,0.00001567,0.00001466,0.00001471,12992.1882,0.196308166753
1660608000,2022-08-16 00:00:00,AUDIO/BTC,0.00001533,0.00001564,0.00001522,0.00001538,6850.9016,0.105861259507
