https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EPS,Volume USDT
1649721600,2022-04-12 00:00:00,EPS/USDT,0.2008,0.2089,0.2004,0.2035,76250.59706555,15517.10602212331
1649635200,2022-04-11 00:00:00,EPS/USDT,0.2181,0.2296,0.1953,0.2004,1189929.31554618,253061.666992007305
1649548800,2022-04-10 00:00:00,EPS/USDT,0.2271,0.2303,0.214,0.2183,1595572.78044648,354063.500667850552
1649462400,2022-04-09 00:00:00,EPS/USDT,0.2573,0.2624,0.2201,0.2276,3851710.24517268,909683.679904304628
1649376000,2022-04-08 00:00:00,EPS/USDT,0.2046,0.2629,0.2035,0.2572,8300357.09913309,1983204.766388178894
1649289600,2022-04-07 00:00:00,EPS/USDT,0.1932,0.2154,0.1926,0.2047,1957389.4519767,402566.650734385521
1649203200,2022-04-06 00:00:00,EPS/USDT,0.2246,0.2256,0.1904,0.1925,1745927.02525548,359312.34862304913
1649116800,2022-04-05 00:00:00,EPS/USDT,0.2398,0.277,0.2189,0.225,2404513.67277183,595524.029877955359
1649030400,2022-04-04 00:00:00,EPS/USDT,0.2232,0.2485,0.2137,0.2398,2868152.61417896,666505.452702162376
1648944000,2022-04-03 00:00:00,EPS/USDT,0.2064,0.2324,0.2042,0.2238,1198218.79634359,264122.034172752273
1648857600,2022-04-02 00:00:00,EPS/USDT,0.2098,0.2167,0.2053,0.2065,881307.9922413,185856.529224479692
1648771200,2022-04-01 00:00:00,EPS/USDT,0.1946,0.219,0.186,0.2108,1612571.51280185,328839.46373415873
1648684800,2022-03-31 00:00:00,EPS/USDT,0.2067,0.214,0.1911,0.1941,1561871.29964535,320496.572842882277
1648598400,2022-03-30 00:00:00,EPS/USDT,0.2031,0.212,0.1976,0.2068,1208449.59922839,248615.419490817323
1648512000,2022-03-29 00:00:00,EPS/USDT,0.2091,0.2195,0.2007,0.2039,529219.52947192,111103.212153650813
1648425600,2022-03-28 00:00:00,EPS/USDT,0.2195,0.2287,0.2079,0.2084,905320.16969369,200213.707479684036
1648339200,2022-03-27 00:00:00,EPS/USDT,0.2072,0.2232,0.2055,0.2203,1079846.53898073,231760.377898168015
1648252800,2022-03-26 00:00:00,EPS/USDT,0.1987,0.2082,0.1938,0.2068,465994.64199998,94616.080805286423
1648166400,2022-03-25 00:00:00,EPS/USDT,0.1922,0.2329,0.19,0.1991,1585873.86131963,326909.810873673167
1648080000,2022-03-24 00:00:00,EPS/USDT,0.1969,0.204,0.1877,0.1925,644745.74236738,124486.634212733158
1647993600,2022-03-23 00:00:00,EPS/USDT,0.1813,0.2159,0.1775,0.1965,1527163.35092932,304368.823441381735
1647907200,2022-03-22 00:00:00,EPS/USDT,0.1809,0.1876,0.1759,0.1813,387974.23493185,70902.452861397365
1647820800,2022-03-21 00:00:00,EPS/USDT,0.1769,0.1877,0.1706,0.1811,381093.7580057,68532.998869185147
1647734400,2022-03-20 00:00:00,EPS/USDT,0.1903,0.1987,0.1738,0.1769,311789.96295361,57249.12348095298
1647648000,2022-03-19 00:00:00,EPS/USDT,0.1838,0.23,0.1836,0.1907,1504087.62603593,311568.764932697707
1647561600,2022-03-18 00:00:00,EPS/USDT,0.1649,0.201,0.1599,0.1828,3954995.75052416,721798.856511923903
1647475200,2022-03-17 00:00:00,EPS/USDT,0.1704,0.1704,0.1629,0.1649,277702.9798653,46216.146948193594
1647388800,2022-03-16 00:00:00,EPS/USDT,0.1616,0.1746,0.1579,0.1709,1798608.13885118,298220.277204187977
