https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HAKA,Volume USDT
1663459200,2022-09-18 00:00:00,HAKA/USDT,0.01261,0.01286,0.0124,0.01241,223006.6791,2810.605077576
1663372800,2022-09-17 00:00:00,HAKA/USDT,0.0119,0.01316,0.0116,0.01266,18569428.6047,226127.647002031
1663286400,2022-09-16 00:00:00,HAKA/USDT,0.01174,0.0138,0.01147,0.01195,21020003.5716,249317.605914084
1663200000,2022-09-15 00:00:00,HAKA/USDT,0.01197,0.01281,0.0114,0.01179,16563708.3393,197098.887799797
1663113600,2022-09-14 00:00:00,HAKA/USDT,0.01253,0.01432,0.0114,0.01199,22928996.8833,293437.761920474
1663027200,2022-09-13 00:00:00,HAKA/USDT,0.01606,0.01628,0.0118,0.01258,16584812.0287,215399.752347949
1662940800,2022-09-12 00:00:00,HAKA/USDT,0.01581,0.02178,0.01471,0.01606,25280405.2161,429234.523655912
1662854400,2022-09-11 00:00:00,HAKA/USDT,0.01213,0.0195,0.01144,0.01584,34907025.0708,513614.670024544
1662768000,2022-09-10 00:00:00,HAKA/USDT,0.01065,0.02984,0.0103,0.01215,39914938.00759591,558819.92027655825
1662681600,2022-09-09 00:00:00,HAKA/USDT,0.01063,0.0148,0.0103,0.01061,29207371.4726,349625.514223543
1662595200,2022-09-08 00:00:00,HAKA/USDT,0.01045,0.01068,0.00981,0.01067,19332827.146,198129.368432031
1662508800,2022-09-07 00:00:00,HAKA/USDT,0.01031,0.0109,0.0097,0.01048,17709408.0214,180952.362203281
1662422400,2022-09-06 00:00:00,HAKA/USDT,0.01084,0.01125,0.0101,0.01026,21103939.1247,225469.402085924
1662336000,2022-09-05 00:00:00,HAKA/USDT,0.01091,0.0112,0.0106,0.01089,17595268.3659,191320.349979558
1662249600,2022-09-04 00:00:00,HAKA/USDT,0.01119,0.01134,0.01066,0.01087,19296733.8612,211846.102679592
1662163200,2022-09-03 00:00:00,HAKA/USDT,0.01128,0.01182,0.01081,0.01114,18049033.214,203809.097404065
1662076800,2022-09-02 00:00:00,HAKA/USDT,0.01106,0.01184,0.01104,0.01133,18931004.436,212992.512669142
1661990400,2022-09-01 00:00:00,HAKA/USDT,0.01099,0.0115,0.01069,0.0111,18868115.0939,206531.568195476
1661904000,2022-08-31 00:00:00,HAKA/USDT,0.01165,0.01177,0.01052,0.01106,19467547.87595015,219721.1720655111305
1661817600,2022-08-30 00:00:00,HAKA/USDT,0.01195,0.01233,0.0114,0.01167,18501229.8954,220110.806871045
1661731200,2022-08-29 00:00:00,HAKA/USDT,0.01187,0.01208,0.01136,0.01189,17529548.0551,205043.885311265
1661644800,2022-08-28 00:00:00,HAKA/USDT,0.01192,0.0124,0.01133,0.01182,18554488.6742,221214.58454279
1661558400,2022-08-27 00:00:00,HAKA/USDT,0.01209,0.0125,0.0119,0.01197,18042267.0796,218942.141853927
