https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CELO,Volume USDT
1663459200,2022-09-18 00:00:00,CELO/USDT,0.8148,0.8148,0.8066,0.8095,7057.32443774,5707.0863125095
1663372800,2022-09-17 00:00:00,CELO/USDT,0.7995,0.8186,0.794,0.8149,67338.92785243,54344.299636552124
1663286400,2022-09-16 00:00:00,CELO/USDT,0.7806,0.8007,0.7688,0.7991,194249.35234137,152025.473281893412
1663200000,2022-09-15 00:00:00,CELO/USDT,0.8029,0.8089,0.768,0.7806,318779.90993281,250848.758909586006
1663113600,2022-09-14 00:00:00,CELO/USDT,0.7903,0.8098,0.7836,0.804,306016.55500113,243704.053523623854
1663027200,2022-09-13 00:00:00,CELO/USDT,0.8871,0.8875,0.7881,0.79,331024.45806653,278704.890684923228
1662940800,2022-09-12 00:00:00,CELO/USDT,0.8836,0.9139,0.8673,0.8835,441338.71575656,393392.374919607718
1662854400,2022-09-11 00:00:00,CELO/USDT,0.8888,0.8983,0.8633,0.8828,253814.18768921,224011.970237245288
1662768000,2022-09-10 00:00:00,CELO/USDT,0.8882,0.9232,0.8745,0.8878,483093.48828997,432208.090236010645
1662681600,2022-09-09 00:00:00,CELO/USDT,0.8375,0.9,0.8346,0.8891,404540.38594887,352591.108741375025
1662595200,2022-09-08 00:00:00,CELO/USDT,0.8105,0.8397,0.7911,0.8397,245960.72583175,199337.694308645731
1662508800,2022-09-07 00:00:00,CELO/USDT,0.7745,0.8273,0.7577,0.8104,246972.01800676,195265.121393913852
1662422400,2022-09-06 00:00:00,CELO/USDT,0.8403,0.8739,0.7733,0.7745,487134.96217904,408260.542527846991
1662336000,2022-09-05 00:00:00,CELO/USDT,0.8392,0.8482,0.8028,0.8394,222431.67525935,184241.07895332351
1662249600,2022-09-04 00:00:00,CELO/USDT,0.825,0.8399,0.8166,0.8389,99413.67063513,82489.121088131947
1662163200,2022-09-03 00:00:00,CELO/USDT,0.8349,0.8376,0.8172,0.8247,81596.94048489,67382.820104065814
1662076800,2022-09-02 00:00:00,CELO/USDT,0.8544,0.8678,0.8268,0.836,210053.7633312,177817.601498230608
1661990400,2022-09-01 00:00:00,CELO/USDT,0.8271,0.8548,0.8125,0.8538,314816.32187829,262212.873907784111
1661904000,2022-08-31 00:00:00,CELO/USDT,0.799,0.8396,0.7986,0.8277,162797.8823288,133924.898123160751
1661817600,2022-08-30 00:00:00,CELO/USDT,0.8274,0.838,0.7837,0.7982,267844.32575784,217293.847918271206
1661731200,2022-08-29 00:00:00,CELO/USDT,0.7843,0.8299,0.7727,0.8263,176030.30126436,141313.192115868318
1661644800,2022-08-28 00:00:00,CELO/USDT,0.8145,0.8263,0.7814,0.7853,136549.45404677,110012.161676568963
1661558400,2022-08-27 00:00:00,CELO/USDT,0.8099,0.8263,0.8001,0.8152,194167.18526636,158074.334920043151
1661472000,2022-08-26 00:00:00,CELO/USDT,0.9038,0.905,0.7999,0.8111,370922.70068613,320073.008510638138
1661385600,2022-08-25 00:00:00,CELO/USDT,0.9002,0.9221,0.891,0.9059,107885.89837939,98029.609702960358
1661299200,2022-08-24 00:00:00,CELO/USDT,0.9079,0.9243,0.882,0.8995,255919.58321106,231203.192852508187
1661212800,2022-08-23 00:00:00,CELO/USDT,0.8968,0.9131,0.8648,0.9059,267233.20243825,238566.716865467171
1661126400,2022-08-22 00:00:00,CELO/USDT,0.929,0.929,0.8611,0.8968,352918.90448834,314173.9708215686
1661040000,2022-08-21 00:00:00,CELO/USDT,0.8995,0.9433,0.8982,0.9283,337272.9290506,310666.973103371944
1660953600,2022-08-20 00:00:00,CELO/USDT,0.8676,0.9236,0.867,0.8992,327938.93207225,292590.412948932037
1660867200,2022-08-19 00:00:00,CELO/USDT,0.9498,0.951,0.8474,0.8682,402922.17626644,355502.757158448998
1660780800,2022-08-18 00:00:00,CELO/USDT,0.9974,1.017,0.9326,0.9492,209648.23851032,207244.805152245088
1660694400,2022-08-17 00:00:00,CELO/USDT,1.0518,1.0847,0.9848,0.996,268673.44107141,277162.680396032884
1660608000,2022-08-16 00:00:00,CELO/USDT,1.0689,1.0799,1.0447,1.0534,92300.87751641,97967.411720535513
1660521600,2022-08-15 00:00:00,CELO/USDT,1.0961,1.1311,1.053,1.072,242550.95402828,262747.599176939505
1660435200,2022-08-14 00:00:00,CELO/USDT,1.147,1.1653,1.0833,1.0963,311868.88509979,351569.492335855897
1660348800,2022-08-13 00:00:00,CELO/USDT,1.1465,1.1853,1.1365,1.1463,311180.54723185,360673.496300431289
1660262400,2022-08-12 00:00:00,CELO/USDT,1.128,1.1499,1.0981,1.1464,283333.11680969,319047.45443177831
1660176000,2022-08-11 00:00:00,CELO/USDT,1.1363,1.1591,1.1187,1.1282,309544.63963669,352957.538768439331
1660089600,2022-08-10 00:00:00,CELO/USDT,1.0818,1.1362,1.0485,1.1354,301389.34028479,328005.580749540106
1660003200,2022-08-09 00:00:00,CELO/USDT,1.1261,1.1788,1.0583,1.0819,414910.54749222,468539.09650981254
1659916800,2022-08-08 00:00:00,CELO/USDT,1.0827,1.174,1.0825,1.1273,345917.98519918,393824.476465961907
1659830400,2022-08-07 00:00:00,CELO/USDT,1.0717,1.1386,1.05,1.0827,477812.3064824,521679.609181209257
