https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DEXE,Volume USDT
1663459200,2022-09-18 00:00:00,DEXE/USDT,3.1352,3.143,3.1284,3.129,149.4844,468.70044726
1663372800,2022-09-17 00:00:00,DEXE/USDT,2.9801,3.2728,2.9801,3.1431,7870.1128,24483.11014946
1663286400,2022-09-16 00:00:00,DEXE/USDT,2.978,3.023,2.942,2.9801,2257.0231,6719.32485658
1663200000,2022-09-15 00:00:00,DEXE/USDT,3.1092,3.23,2.957,2.9837,2963.705,9105.43932726
1663113600,2022-09-14 00:00:00,DEXE/USDT,3.0547,3.138,3.015,3.1013,2370.9163,7286.13507966
1663027200,2022-09-13 00:00:00,DEXE/USDT,3.2369,3.469,3.05,3.05,7495.5778,24179.61503441
1662940800,2022-09-12 00:00:00,DEXE/USDT,3.2768,3.3008,3.1511,3.2219,1681.5121,5434.90900246
1662854400,2022-09-11 00:00:00,DEXE/USDT,3.2639,3.46,3.219,3.26,4366.1537,14646.16250272
1662768000,2022-09-10 00:00:00,DEXE/USDT,3.237,3.28,3.178,3.2748,1801.5615,5817.6217907
1662681600,2022-09-09 00:00:00,DEXE/USDT,3.105,3.3635,3.084,3.2369,5599.9061,18176.26916706
1662595200,2022-09-08 00:00:00,DEXE/USDT,3.138,3.3127,3.05,3.1,3435.5843,10868.12932976
1662508800,2022-09-07 00:00:00,DEXE/USDT,2.8922,3.536,2.8193,3.1352,17762.607,57289.09682045
1662422400,2022-09-06 00:00:00,DEXE/USDT,2.9855,3.111,2.815,2.8938,4899.3911,14518.24600679
1662336000,2022-09-05 00:00:00,DEXE/USDT,3.0291,3.064,2.9535,2.9827,3105.0691,9276.0876314
1662249600,2022-09-04 00:00:00,DEXE/USDT,2.9666,3.6626,2.9168,3.0468,41650.7756,135533.34342627
1662163200,2022-09-03 00:00:00,DEXE/USDT,2.9737,3.0027,2.918,2.9676,2279.8088,6712.25753436
1662076800,2022-09-02 00:00:00,DEXE/USDT,2.9589,3.142,2.943,2.9677,9334.5949,28292.42331524
1661990400,2022-09-01 00:00:00,DEXE/USDT,2.9165,3.239,2.8489,2.926,14426.4151,42477.99395891
1661904000,2022-08-31 00:00:00,DEXE/USDT,3.14,3.276,2.867,2.913,26544.2659,82000.42930451
1661817600,2022-08-30 00:00:00,DEXE/USDT,3.2662,3.4167,3.1098,3.1321,31508.0099,101095.74810277
1661731200,2022-08-29 00:00:00,DEXE/USDT,3.8643,4.24,3.1671,3.2638,62188.936,216897.39167403
1661644800,2022-08-28 00:00:00,DEXE/USDT,2.6791,4.739,2.651,3.8743,128802.254,497466.58938418
1661558400,2022-08-27 00:00:00,DEXE/USDT,2.696,2.7148,2.6106,2.6693,1952.8722,5184.73783724
1661472000,2022-08-26 00:00:00,DEXE/USDT,2.9952,3.0158,2.676,2.676,1844.158,5261.05996627
1661385600,2022-08-25 00:00:00,DEXE/USDT,3.04,3.07,2.997,3.0085,4048.8034,12213.08047406
1661299200,2022-08-24 00:00:00,DEXE/USDT,3.1322,3.1406,2.954,3.0104,1947.5612,5857.76063011
1661212800,2022-08-23 00:00:00,DEXE/USDT,3.0836,3.1406,3.0242,3.1406,2335.4102,7162.64519467
1661126400,2022-08-22 00:00:00,DEXE/USDT,3.16,3.1708,3.0161,3.0836,3054.9202,9375.46921916
1661040000,2022-08-21 00:00:00,DEXE/USDT,3.0659,3.188,3.0573,3.1869,3544.0774,11172.94835805
1660953600,2022-08-20 00:00:00,DEXE/USDT,3.0151,3.222,2.99,3.0729,7792.0448,24625.34169865
1660867200,2022-08-19 00:00:00,DEXE/USDT,3.3667,3.385,3.0066,3.0388,1747.0709,5511.9844246
1660780800,2022-08-18 00:00:00,DEXE/USDT,3.4045,3.6239,3.365,3.3667,7213.0866,25182.31836644
1660694400,2022-08-17 00:00:00,DEXE/USDT,3.6162,3.704,3.3985,3.426,2531.774,8860.45757376
1660608000,2022-08-16 00:00:00,DEXE/USDT,3.6698,3.689,3.596,3.6021,2052.6577,7446.41439843
1660521600,2022-08-15 00:00:00,DEXE/USDT,3.86,3.8727,3.604,3.6922,5307.9744,19841.98212992
1660435200,2022-08-14 00:00:00,DEXE/USDT,4.058,4.127,3.7995,3.86,7626.7562,30104.0355099
1660348800,2022-08-13 00:00:00,DEXE/USDT,4.1501,4.2085,4.034,4.0589,5133.6666,20985.61386353
1660262400,2022-08-12 00:00:00,DEXE/USDT,4.0879,4.176,4.0808,4.176,788.3918,3251.32753169
1660176000,2022-08-11 00:00:00,DEXE/USDT,4.1855,4.31,4.0896,4.109,4932.5417,20611.73320797
1660089600,2022-08-10 00:00:00,DEXE/USDT,4.4099,4.599,4.064,4.184,5927.6633,25528.00333399
