https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BSVBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,BSVBULL/USDT,1.2e-07,1.2e-07,1.2e-07,1.2e-07,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,BSVBULL/USDT,1.4e-07,1.4e-07,1.2e-07,1.2e-07,7583333.333333334,0.91
1663372800000.0,2022-09-17 00:00:00,BSVBULL/USDT,1.4e-07,1.4e-07,1.4e-07,1.4e-07,0.0,0.0
1663286400000.0,2022-09-16 00:00:00,BSVBULL/USDT,1.4e-07,1.4e-07,1.4e-07,1.4e-07,2999999.9999999995,0.42
1663200000000.0,2022-09-15 00:00:00,BSVBULL/USDT,1.4e-07,1.5e-07,1.4e-07,1.4e-07,0.0,0.0
1663113600000.0,2022-09-14 00:00:00,BSVBULL/USDT,1.5e-07,1.6e-07,1.4e-07,1.4e-07,20714285.714285713,2.9
1663027200000.0,2022-09-13 00:00:00,BSVBULL/USDT,1.6e-07,1.7e-07,1.4e-07,1.5e-07,0.0,0.0
1662940800000.0,2022-09-12 00:00:00,BSVBULL/USDT,1.6e-07,1.7e-07,1.6e-07,1.6e-07,0.0,0.0
1662854400000.0,2022-09-11 00:00:00,BSVBULL/USDT,1.7e-07,1.7e-07,1.6e-07,1.6e-07,0.0,0.0
1662768000000.0,2022-09-10 00:00:00,BSVBULL/USDT,1.8e-07,1.8e-07,1.6e-07,1.7e-07,8470588.235294119,1.44
1662681600000.0,2022-09-09 00:00:00,BSVBULL/USDT,1.6e-07,1.8e-07,1.6e-07,1.8e-07,820055555.5555557,147.61
1662595200000.0,2022-09-08 00:00:00,BSVBULL/USDT,1.4e-07,1.6e-07,1.4e-07,1.6e-07,57999999.99999999,9.28
1662508800000.0,2022-09-07 00:00:00,BSVBULL/USDT,1.3e-07,1.4e-07,1.2e-07,1.4e-07,1598857142.8571427,223.84
1662422400000.0,2022-09-06 00:00:00,BSVBULL/USDT,1.6e-07,1.7e-07,1.3e-07,1.3e-07,3518000000.0,457.34
1662336000000.0,2022-09-05 00:00:00,BSVBULL/USDT,1.5e-07,1.6e-07,1.5e-07,1.6e-07,13125000.0,2.1
