https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LYXE,Volume ETH
1663462800,2022-09-18 01:00:00,LYXE/ETH,0.0033501,0.0033624,0.0033501,0.0033624,111.4539,0.37454784696
1663459200,2022-09-18 00:00:00,LYXE/ETH,0.0033221,0.0033501,0.0033221,0.0033501,62.0731,0.20665667656
1663455600,2022-09-17 23:00:00,LYXE/ETH,0.0033018,0.0033221,0.003295,0.0033221,49.3857,0.16397146191
1663452000,2022-09-17 22:00:00,LYXE/ETH,0.0032785,0.0033208,0.0032579,0.0033208,203.3336,0.67172855004
1663448400,2022-09-17 21:00:00,LYXE/ETH,0.00325,0.0032745,0.00325,0.0032745,472.7696,1.53676370556
1663444800,2022-09-17 20:00:00,LYXE/ETH,0.00325,0.00325,0.00325,0.00325,0,0
1663441200,2022-09-17 19:00:00,LYXE/ETH,0.0032492,0.00325,0.0032492,0.00325,95.9188,0.31167641808
1663437600,2022-09-17 18:00:00,LYXE/ETH,0.0032266,0.0032266,0.0032266,0.0032266,0,0
1663434000,2022-09-17 17:00:00,LYXE/ETH,0.0032335,0.0032335,0.0032266,0.0032266,3.4802,0.01124508483
1663430400,2022-09-17 16:00:00,LYXE/ETH,0.003289,0.003289,0.0032415,0.0032415,544.6773,1.77010237878
1663426800,2022-09-17 15:00:00,LYXE/ETH,0.0032848,0.0032848,0.0032768,0.0032768,2.6891,0.00881953181
1663423200,2022-09-17 14:00:00,LYXE/ETH,0.0032748,0.0033188,0.0032748,0.0032847,81.3102,0.26713014816
1663419600,2022-09-17 13:00:00,LYXE/ETH,0.0032847,0.0032847,0.0032847,0.0032847,2.0825,0.00684038775
1663416000,2022-09-17 12:00:00,LYXE/ETH,0.0032846,0.0033221,0.0032846,0.0032906,66.3648,0.22007354315
1663412400,2022-09-17 11:00:00,LYXE/ETH,0.0032986,0.0032986,0.0032986,0.0032986,0,0
1663408800,2022-09-17 10:00:00,LYXE/ETH,0.003295,0.0032986,0.003295,0.0032986,90.3117,0.2978267026
1663405200,2022-09-17 09:00:00,LYXE/ETH,0.0032741,0.0032741,0.0032741,0.0032741,4.829,0.0158106289
1663401600,2022-09-17 08:00:00,LYXE/ETH,0.003295,0.003295,0.0032745,0.0032745,196.4025,0.64464386
