https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP,tradecount
1663545600000,2022-09-19 00:00:00,BTC/GBP,16993.50000000,17022.63000000,16972.66000000,16988.15000000,3.58750000,60977.13043750,463
1663459200000,2022-09-18 00:00:00,BTC/GBP,17621.44000000,17632.48000000,16961.00000000,16990.89000000,470.42714000,8138459.15133620,31563
1663372800000,2022-09-17 00:00:00,BTC/GBP,17344.93000000,18000.00000000,17309.56000000,17622.45000000,437.53462000,7655317.05986820,29566
1663286400000,2022-09-16 00:00:00,BTC/GBP,17215.64000000,17457.36000000,16961.03000000,17345.63000000,699.02780000,12061242.99672730,45088
1663200000000,2022-09-15 00:00:00,BTC/GBP,17528.00000000,17648.69000000,17000.08000000,17213.89000000,756.60406000,13155512.12955680,37867
1663113600000,2022-09-14 00:00:00,BTC/GBP,17542.84000000,17858.00000000,17011.11000000,17531.63000000,929.42159000,16274126.40010390,45283
1663027200000,2022-09-13 00:00:00,BTC/GBP,19159.40000000,19443.52000000,17310.00000000,17551.56000000,1095.41984000,20308230.81516230,32171
1662940800000,2022-09-12 00:00:00,BTC/GBP,18777.61000000,19260.00000000,18566.26000000,19162.53000000,825.33639000,15686573.18446210,30031
1662854400000,2022-09-11 00:00:00,BTC/GBP,18684.68000000,18863.63000000,18426.64000000,18777.61000000,439.07155000,8180764.29421920,21310
1662768000000,2022-09-10 00:00:00,BTC/GBP,18425.67000000,18817.37000000,18242.41000000,18685.44000000,666.06188000,12316637.87831970,30757
1662681600000,2022-09-09 00:00:00,BTC/GBP,16772.33000000,18599.99000000,16740.00000000,18423.84000000,999.21127000,18001878.02651500,47348
1662595200000,2022-09-08 00:00:00,BTC/GBP,16754.76000000,16915.45000000,16584.21000000,16777.35000000,591.95348000,9908916.70717930,30463
1662508800000,2022-09-07 00:00:00,BTC/GBP,16340.22000000,16884.20000000,16178.74000000,16753.14000000,699.57445000,11528228.68513120,33176
1662422400000,2022-09-06 00:00:00,BTC/GBP,17130.84000000,17411.32000000,16234.00000000,16340.84000000,1068.19698000,18082457.34954050,43058
1662336000000,2022-09-05 00:00:00,BTC/GBP,17441.18000000,17467.15000000,17080.00000000,17118.98000000,423.08483000,7279783.99395070,19102
1662249600000,2022-09-04 00:00:00,BTC/GBP,17237.75000000,17442.85000000,17034.80000000,17438.75000000,249.46105000,4296578.41423210,11109
1662163200000,2022-09-03 00:00:00,BTC/GBP,17338.49000000,17421.67000000,17074.23000000,17237.75000000,155.80067000,2682952.43956610,7087
1662076800000,2022-09-02 00:00:00,BTC/GBP,17443.67000000,17653.84000000,17183.13000000,17344.55000000,459.27593000,8009646.66049950,18471
1661990400000,2022-09-01 00:00:00,BTC/GBP,17295.76000000,17488.42000000,16970.00000000,17438.97000000,558.01820000,9624072.79513380,20414
1661904000000,2022-08-31 00:00:00,BTC/GBP,17012.84000000,17574.46000000,17003.47000000,17305.84000000,515.25685000,8946467.58188870,20116
1661817600000,2022-08-30 00:00:00,BTC/GBP,17322.84000000,17573.99000000,16792.49000000,16998.70000000,546.74161000,9414830.97405290,19095
1661731200000,2022-08-29 00:00:00,BTC/GBP,16765.77000000,17441.39000000,16745.30000000,17339.09000000,564.61179000,9631719.48943570,21155
1661644800000,2022-08-28 00:00:00,BTC/GBP,17108.49000000,17196.42000000,16734.00000000,16776.24000000,350.34934000,5965421.62820320,13433
1661558400000,2022-08-27 00:00:00,BTC/GBP,17286.42000000,17396.72000000,16917.16000000,17114.44000000,284.78649000,4888370.05545060,12572
1661472000000,2022-08-26 00:00:00,BTC/GBP,18233.56000000,18432.43000000,17169.06000000,17287.22000000,708.49091000,12731774.59976020,24183
1661385600000,2022-08-25 00:00:00,BTC/GBP,18124.76000000,18436.50000000,18078.22000000,18242.24000000,475.72184000,8694304.00328070,18961
1661299200000,2022-08-24 00:00:00,BTC/GBP,18193.05000000,18565.42000000,17919.46000000,18129.16000000,471.79461000,8595326.64427720,17458
1661212800000,2022-08-23 00:00:00,BTC/GBP,18203.85000000,18305.64000000,17800.02000000,18194.72000000,572.15134000,10391305.87958430,19073
1661126400000,2022-08-22 00:00:00,BTC/GBP,18210.18000000,18323.09000000,17737.83000000,18193.84000000,453.38414000,8168084.22985920,14782
1661040000000,2022-08-21 00:00:00,BTC/GBP,17885.93000000,18433.88000000,17833.54000000,18207.95000000,268.76084000,4871164.75412620,9889
1660953600000,2022-08-20 00:00:00,BTC/GBP,17625.48000000,18079.50000000,17585.71000000,17881.40000000,336.63595000,6029682.08755830,12132
1660867200000,2022-08-19 00:00:00,BTC/GBP,19438.46000000,19446.09000000,17585.71000000,17615.50000000,906.97040000,16624981.18735440,28601
