https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume NGN,tradecount
1648771200000,2022-04-01 00:00:00,BTC/NGN,26597972.00000000,26598251.00000000,25941597.00000000,25941597.00000000,0.23336000,6113388.41415000,37
1648684800000,2022-03-31 00:00:00,BTC/NGN,27454973.00000000,27822854.00000000,26465300.00000000,26465300.00000000,1.06793000,29173306.11356000,434
1648598400000,2022-03-30 00:00:00,BTC/NGN,27815248.00000000,27914027.00000000,27300100.00000000,27530500.00000000,1.54592000,42689998.64544000,461
1648512000000,2022-03-29 00:00:00,BTC/NGN,27500000.00000000,28164220.00000000,27499999.00000000,27651384.00000000,0.90475000,25110815.44315000,407
1648425600000,2022-03-28 00:00:00,BTC/NGN,27197182.00000000,28037328.00000000,27197182.00000000,27624788.00000000,1.10699000,30530705.44691000,381
1648339200000,2022-03-27 00:00:00,BTC/NGN,26044124.00000000,27403039.00000000,25906229.00000000,27402906.00000000,0.98408000,26012185.76109000,281
1648252800000,2022-03-26 00:00:00,BTC/NGN,25838904.00000000,26123837.00000000,25745202.00000000,26010100.00000000,0.70574000,18298740.10636000,263
1648166400000,2022-03-25 00:00:00,BTC/NGN,25717976.00000000,26333107.00000000,25434010.00000000,25838710.00000000,1.90982000,49411795.50107000,452
1648080000000,2022-03-24 00:00:00,BTC/NGN,25150000.00000000,25890798.00000000,24907694.00000000,25595903.00000000,1.21963000,30915156.89097000,414
1647993600000,2022-03-23 00:00:00,BTC/NGN,24780326.00000000,25080000.00000000,24419609.00000000,24985619.00000000,1.31506000,32484145.61988000,384
1647907200000,2022-03-22 00:00:00,BTC/NGN,23958031.00000000,25466355.00000000,23958031.00000000,24733691.00000000,0.94056000,23351445.22147000,372
1647820800000,2022-03-21 00:00:00,BTC/NGN,24080619.00000000,24926345.00000000,23500433.00000000,23962434.00000000,1.79752000,43048715.66841000,502
1647734400000,2022-03-20 00:00:00,BTC/NGN,24530237.00000000,24723881.00000000,23685460.00000000,24037018.00000000,1.11934000,27054782.67340000,326
1647648000000,2022-03-19 00:00:00,BTC/NGN,24295953.00000000,24761835.00000000,24137880.00000000,24530223.00000000,0.95721000,23405588.70890000,420
1647561600000,2022-03-18 00:00:00,BTC/NGN,23866672.00000000,24711537.00000000,23295866.00000000,24295953.00000000,1.20873000,28784639.50961000,399
1647475200000,2022-03-17 00:00:00,BTC/NGN,23826378.00000000,24100000.00000000,23513882.00000000,23866854.00000000,1.42026000,33828019.24813000,463
1647388800000,2022-03-16 00:00:00,BTC/NGN,22840808.00000000,24530358.00000000,22310193.00000000,23826378.00000000,2.68461000,62954586.68306000,687
1647302400000,2022-03-15 00:00:00,BTC/NGN,22983691.00000000,23248425.00000000,22188530.00000000,22833764.00000000,2.18969000,49829213.39081000,493
1647216000000,2022-03-14 00:00:00,BTC/NGN,21991117.00000000,23590000.00000000,21821205.00000000,23062204.00000000,1.83617000,41622754.83468000,530
1647129600000,2022-03-13 00:00:00,BTC/NGN,22533781.00000000,22892465.00000000,21821205.00000000,22167610.00000000,2.38544000,54071316.30073000,405
1647043200000,2022-03-12 00:00:00,BTC/NGN,22451400.00000000,22975168.00000000,22409024.00000000,22602043.00000000,1.44533000,32831956.26086000,319
1646956800000,2022-03-11 00:00:00,BTC/NGN,22852382.00000000,23915284.00000000,22250779.00000000,22596958.00000000,1.58387000,36010599.52022000,371
1646870400000,2022-03-10 00:00:00,BTC/NGN,24088046.00000000,24351182.00000000,22000881.00000000,22829236.00000000,1.87411000,42621104.99617000,314
