https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume BTC
1663545600000.0,2022-09-19 00:00:00,AVAX/BTC,0.0008609,0.0008631,0.0008586,0.0008631,28.071799328003706,0.02422877
1663542000000.0,2022-09-18 23:00:00,AVAX/BTC,0.0008681,0.000871,0.0008603,0.0008609,268.02334765942624,0.2307413
1663538400000.0,2022-09-18 22:00:00,AVAX/BTC,0.0008679,0.0008702,0.0008578,0.0008681,34.41585070844373,0.0298764
1663534800000.0,2022-09-18 21:00:00,AVAX/BTC,0.0008964,0.0008967,0.0008361,0.0008679,4547.236271459846,3.94654636
1663531200000.0,2022-09-18 20:00:00,AVAX/BTC,0.000908,0.000908,0.0008956,0.0008964,679.4737282463186,0.60908025
1663527600000.0,2022-09-18 19:00:00,AVAX/BTC,0.0009094,0.0009094,0.0009078,0.000908,32.20073788546256,0.02923827
1663524000000.0,2022-09-18 18:00:00,AVAX/BTC,0.0009038,0.0009097,0.0009025,0.0009094,374.08580382669896,0.34019363
1663520400000.0,2022-09-18 17:00:00,AVAX/BTC,0.0009117,0.0009117,0.0009038,0.0009038,208.87187430847536,0.1887784
1663516800000.0,2022-09-18 16:00:00,AVAX/BTC,0.0009117,0.0009135,0.0009038,0.0009117,333.48955796863,0.30404243
1663513200000.0,2022-09-18 15:00:00,AVAX/BTC,0.0009142,0.0009151,0.0009105,0.0009117,4.501864648458922,0.00410435
1663509600000.0,2022-09-18 14:00:00,AVAX/BTC,0.0009161,0.0009163,0.0009089,0.0009142,151.71228396412164,0.13869537
1663506000000.0,2022-09-18 13:00:00,AVAX/BTC,0.0009132,0.0009161,0.0009112,0.0009161,86.92188625695886,0.07962914
1663502400000.0,2022-09-18 12:00:00,AVAX/BTC,0.0009138,0.000914,0.0009127,0.0009132,33.608125273762596,0.03069094
1663498800000.0,2022-09-18 11:00:00,AVAX/BTC,0.000916,0.0009161,0.0009135,0.0009138,48.16135915955352,0.04400985
1663495200000.0,2022-09-18 10:00:00,AVAX/BTC,0.0009144,0.0009176,0.000913,0.000916,76.81838427947598,0.07036564
1663491600000.0,2022-09-18 09:00:00,AVAX/BTC,0.000923,0.0009232,0.0009117,0.0009144,101.17466097987752,0.09251411
1663488000000.0,2022-09-18 08:00:00,AVAX/BTC,0.0009196,0.0009232,0.0009195,0.000923,50.463076923076926,0.04657742
1663484400000.0,2022-09-18 07:00:00,AVAX/BTC,0.0009231,0.0009245,0.0009175,0.0009196,512.5261309264898,0.47131903
1663480800000.0,2022-09-18 06:00:00,AVAX/BTC,0.0009248,0.0009248,0.0009207,0.0009231,1.399425847687141,0.00129181
1663477200000.0,2022-09-18 05:00:00,AVAX/BTC,0.0009199,0.0009258,0.0009199,0.0009248,57.03088235294118,0.05274216
1663473600000.0,2022-09-18 04:00:00,AVAX/BTC,0.0009202,0.0009208,0.0009199,0.0009199,43.84246113708012,0.04033068
1663470000000.0,2022-09-18 03:00:00,AVAX/BTC,0.0009217,0.0009217,0.0009176,0.0009202,84.82761356226906,0.07805837
1663466400000.0,2022-09-18 02:00:00,AVAX/BTC,0.0009336,0.0009341,0.0009216,0.0009217,685.4067267006618,0.63173938
1663462800000.0,2022-09-18 01:00:00,AVAX/BTC,0.0009189,0.0009361,0.0009157,0.0009336,1885.3193444730075,1.76013414
1663459200000.0,2022-09-18 00:00:00,AVAX/BTC,0.0009185,0.00092,0.0009181,0.0009189,45.38763739253456,0.0417067
1663455600000.0,2022-09-17 23:00:00,AVAX/BTC,0.0009195,0.0009203,0.0009146,0.0009185,47.65147523135547,0.04376788
1663452000000.0,2022-09-17 22:00:00,AVAX/BTC,0.0009197,0.0009201,0.0009165,0.0009195,87.94726481783579,0.08086751
1663448400000.0,2022-09-17 21:00:00,AVAX/BTC,0.0009181,0.0009209,0.0009179,0.0009197,181.0739045340872,0.16653367
1663444800000.0,2022-09-17 20:00:00,AVAX/BTC,0.0009198,0.0009198,0.0009179,0.0009181,44.999063282866786,0.04131364
1663441200000.0,2022-09-17 19:00:00,AVAX/BTC,0.0009158,0.0009198,0.0009158,0.0009198,2.198782343987823,0.00202244
1663437600000.0,2022-09-17 18:00:00,AVAX/BTC,0.0009177,0.0009177,0.0009156,0.0009158,33.61293950644245,0.03078273
