https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume USDT
1663545600000,2022-09-19 00:00:00,USDT/GBP,0.87735918,0.87785814,0.87338151,0.87574504,702.34752208,802.0
1663459200000,2022-09-18 00:00:00,USDT/GBP,0.87825437,0.88246771,0.873776,0.87691466,13348.283401881643,15221.87278963
1663372800000,2022-09-17 00:00:00,USDT/GBP,0.87581992,0.88234411,0.86075274,0.87636409,13565.667671385327,15479.4882928
1663286400000,2022-09-16 00:00:00,USDT/GBP,0.87262341,0.882,0.86967569,0.87619661,13405.823395258463,15300.01741876
1663200000000,2022-09-15 00:00:00,USDT/GBP,0.86564583,0.8770877,0.86338342,0.8711848,13016.675792265583,14941.34860051
1663113600000,2022-09-14 00:00:00,USDT/GBP,0.86951455,0.87343513,0.859445,0.86720872,11260.820850123462,12985.13332537
1663027200000,2022-09-13 00:00:00,USDT/GBP,0.85522297,0.87628467,0.84983003,0.87225857,12995.919763850201,14899.15973408
1662940800000,2022-09-12 00:00:00,USDT/GBP,0.85983808,0.86697323,0.85008501,0.85485655,13571.93105041852,15876.26725258
1662854400000,2022-09-11 00:00:00,USDT/GBP,0.86436176,0.86944467,0.85747752,0.85927049,13228.298139140674,15394.80093066
1662768000000,2022-09-10 00:00:00,USDT/GBP,0.86599506,0.87105627,0.85747752,0.86330164,14223.76563471983,16476.00905139
1662681600000,2022-09-09 00:00:00,USDT/GBP,0.87699999,0.87699999,0.84912217,0.8704153,13285.27833414345,15263.14890621
1662595200000,2022-09-08 00:00:00,USDT/GBP,0.87122838,0.87699999,0.85511849,0.87699999,11662.12916512843,13297.75290548
1662508800000,2022-09-07 00:00:00,USDT/GBP,0.87131099,0.877,0.86427099,0.86951172,13117.29334603602,15085.81545748
1662422400000,2022-09-06 00:00:00,USDT/GBP,0.86570943,0.87441021,0.863,0.86743761,16816.776088758394,19386.72694715
1662336000000,2022-09-05 00:00:00,USDT/GBP,0.87195844,0.87348925,0.86594813,0.86813593,12339.370814207,14213.63911779
1662249600000,2022-09-04 00:00:00,USDT/GBP,0.86773548,0.87591241,0.86545783,0.87257042,13348.52782640838,15297.93758813
1662163200000,2022-09-03 00:00:00,USDT/GBP,0.86745328,0.87526398,0.86319413,0.87049967,13353.55096509528,15340.09882519
1662076800000,2022-09-02 00:00:00,USDT/GBP,0.86620106,0.8752966,0.86158616,0.86684357,12633.320778052343,14573.93376991
1661990400000,2022-09-01 00:00:00,USDT/GBP,0.86211802,0.87487489,0.85651823,0.86704715,12907.02881613193,14886.19023329
1661904000000,2022-08-31 00:00:00,USDT/GBP,0.85628487,0.86877699,0.85386685,0.86528803,12666.872976410606,14638.90928482
1661817600000,2022-08-30 00:00:00,USDT/GBP,0.85285042,0.86464516,0.84935257,0.8579319,13117.263040602267,15289.39889122
1661731200000,2022-08-29 00:00:00,USDT/GBP,0.85341641,0.86,0.84846406,0.8564326,13077.273285230021,15269.47162594
1661644800000,2022-08-28 00:00:00,USDT/GBP,0.85251003,0.85791421,0.84996212,0.85457858,12997.828768779222,15209.63557123
1661558400000,2022-08-27 00:00:00,USDT/GBP,0.85420585,0.85791421,0.84983331,0.85044073,13374.272962717043,15726.28460859
1661472000000,2022-08-26 00:00:00,USDT/GBP,0.84399417,0.857262,0.84008401,0.85144445,12648.079558571435,14854.84996534
1661385600000,2022-08-25 00:00:00,USDT/GBP,0.84714945,0.85046927,0.84300158,0.8459977,12734.929650591524,15053.14925867
1661299200000,2022-08-24 00:00:00,USDT/GBP,0.84496725,0.85245638,0.84051718,0.84913637,12643.285459465247,14889.58182237
1661212800000,2022-08-23 00:00:00,USDT/GBP,0.85154118,0.8558,0.84011385,0.84604435,13355.996681621895,15786.40254689
1661126400000,2022-08-22 00:00:00,USDT/GBP,0.84374313,0.84891887,0.84374313,0.84603685,636.2197112,752.0
1661040000000,2022-08-21 00:00:00,USDT/GBP,0.84751914,0.8518023,0.83992642,0.84796386,13264.99216871146,15643.34613118
1660953600000,2022-08-20 00:00:00,USDT/GBP,0.84843968,0.85181037,0.84348679,0.84788826,13345.023567410974,15739.13002099
