https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CREAM,Volume USDT
1663462800,2022-09-18 01:00:00,CREAM/USDT,17.48,17.685,17.468,17.685,12.5278,220.1185761
1663459200,2022-09-18 00:00:00,CREAM/USDT,18.252,18.254,17.419,17.419,64.0449,1131.5946028
1663455600,2022-09-17 23:00:00,CREAM/USDT,18.08,18.298,17.577,18.096,58.1468,1043.4939039
1663452000,2022-09-17 22:00:00,CREAM/USDT,17.386,18.198,17.239,18.188,108.1399,1906.0489018
1663448400,2022-09-17 21:00:00,CREAM/USDT,17.339,17.406,17.276,17.404,3.1446,54.7141752
1663444800,2022-09-17 20:00:00,CREAM/USDT,17.262,17.358,17.262,17.358,37.8758,654.2013171
1663441200,2022-09-17 19:00:00,CREAM/USDT,17.424,17.424,17.239,17.239,18.2552,317.4918972
1663437600,2022-09-17 18:00:00,CREAM/USDT,17.348,17.479,17.339,17.479,3.1327,54.4361714
1663434000,2022-09-17 17:00:00,CREAM/USDT,17.435,17.547,17.202,17.202,35.9853,627.55779
1663430400,2022-09-17 16:00:00,CREAM/USDT,17.278,17.5,17.278,17.43,38.8948,678.4110209
1663426800,2022-09-17 15:00:00,CREAM/USDT,17.28,17.359,17.003,17.321,52.5741,904.5534877
1663423200,2022-09-17 14:00:00,CREAM/USDT,17.28,17.359,17.189,17.189,24.5093,423.2916649
1663419600,2022-09-17 13:00:00,CREAM/USDT,17.413,17.547,17.12,17.137,60.5429,1048.8886369
1663416000,2022-09-17 12:00:00,CREAM/USDT,17.085,17.68,17.085,17.413,62.7691,1094.6541117
1663412400,2022-09-17 11:00:00,CREAM/USDT,17.092,17.12,16.841,17.085,82.1392,1400.3352586
1663408800,2022-09-17 10:00:00,CREAM/USDT,17.6,17.917,17.116,17.116,271.061,4748.2891996
1663405200,2022-09-17 09:00:00,CREAM/USDT,16.96,17.7,16.63,17.6,371.7471,6445.3007403
1663401600,2022-09-17 08:00:00,CREAM/USDT,16.501,17.138,16.501,17.082,53.0069,898.3636292
1663398000,2022-09-17 07:00:00,CREAM/USDT,16.607,16.758,16.452,16.471,79.6489,1332.8492592
1663394400,2022-09-17 06:00:00,CREAM/USDT,16.401,16.6,16.388,16.6,70.481,1159.552547
1663390800,2022-09-17 05:00:00,CREAM/USDT,16.48,16.48,16.48,16.48,0.039,0.64272
1663387200,2022-09-17 04:00:00,CREAM/USDT,16.404,16.48,16.404,16.48,1.2966,21.3524801
1663383600,2022-09-17 03:00:00,CREAM/USDT,16.388,16.388,16.388,16.388,0,0
1663380000,2022-09-17 02:00:00,CREAM/USDT,16.472,16.518,16.322,16.388,2.7184,44.6787816
1663376400,2022-09-17 01:00:00,CREAM/USDT,16.48,16.519,16.472,16.472,0.9682,15.9554844
1663372800,2022-09-17 00:00:00,CREAM/USDT,16.238,16.48,16.238,16.48,189.267,3109.0867216
1663369200,2022-09-16 23:00:00,CREAM/USDT,16.243,16.323,16.239,16.239,0.1971,3.2028138
1663365600,2022-09-16 22:00:00,CREAM/USDT,16.388,16.388,16.388,16.388,0,0
1663362000,2022-09-16 21:00:00,CREAM/USDT,16.18,16.388,16.159,16.388,19.9533,324.2698292
1663358400,2022-09-16 20:00:00,CREAM/USDT,16.16,16.2,16.159,16.2,1.0071,16.2985687
1663354800,2022-09-16 19:00:00,CREAM/USDT,16.159,16.16,16.158,16.159,0.325,5.2514863
1663351200,2022-09-16 18:00:00,CREAM/USDT,16.08,16.159,16,16.159,3.1514,50.50494
1663347600,2022-09-16 17:00:00,CREAM/USDT,16.198,16.198,16.08,16.188,5.1826,83.7357306
1663344000,2022-09-16 16:00:00,CREAM/USDT,16.2,16.2,16.114,16.198,37.3563,603.967393
1663340400,2022-09-16 15:00:00,CREAM/USDT,16.417,16.417,16.201,16.201,17.5654,284.6332449
1663336800,2022-09-16 14:00:00,CREAM/USDT,16.279,16.478,16.24,16.424,0.8255,13.5514898
1663333200,2022-09-16 13:00:00,CREAM/USDT,16.474,16.474,16.279,16.279,28.6156,467.0464298
1663329600,2022-09-16 12:00:00,CREAM/USDT,16.558,16.622,16.399,16.399,0.3771,6.2414764
1663326000,2022-09-16 11:00:00,CREAM/USDT,16.515,16.556,16.452,16.486,36.5706,604.5543455
1663322400,2022-09-16 10:00:00,CREAM/USDT,16.28,16.576,16.137,16.536,67.7003,1107.7322686
1663318800,2022-09-16 09:00:00,CREAM/USDT,16.392,16.401,16.287,16.287,28.7915,471.9233503
1663315200,2022-09-16 08:00:00,CREAM/USDT,16.576,16.576,16.392,16.392,41.1828,679.8828246
1663311600,2022-09-16 07:00:00,CREAM/USDT,16.735,16.735,16.622,16.673,6.7272,111.8670567
1663308000,2022-09-16 06:00:00,CREAM/USDT,16.681,16.835,16.624,16.734,22.0144,370.1728566
1663304400,2022-09-16 05:00:00,CREAM/USDT,16.719,16.719,16.719,16.719,0.0129,0.2156751
1663300800,2022-09-16 04:00:00,CREAM/USDT,16.65,16.72,16.65,16.72,0.0553,0.922439
1663297200,2022-09-16 03:00:00,CREAM/USDT,16.634,16.693,16.621,16.621,11.5025,191.4498226
1663293600,2022-09-16 02:00:00,CREAM/USDT,16.544,16.624,16.544,16.557,11.057,182.9567031
1663290000,2022-09-16 01:00:00,CREAM/USDT,16.558,16.622,16.479,16.622,24.691,409.316828
1663286400,2022-09-16 00:00:00,CREAM/USDT,16.484,16.519,16.336,16.519,27.1627,446.0905723
1663282800,2022-09-15 23:00:00,CREAM/USDT,16.602,16.733,16.519,16.519,24.9094,413.3336831
1663279200,2022-09-15 22:00:00,CREAM/USDT,16.497,16.668,16.48,16.668,112.3138,1861.2446485
1663275600,2022-09-15 21:00:00,CREAM/USDT,16.536,16.536,16.486,16.486,1.7336,28.5806296
1663272000,2022-09-15 20:00:00,CREAM/USDT,16.834,16.834,16.4,16.576,75.6348,1242.8296651
1663268400,2022-09-15 19:00:00,CREAM/USDT,16.727,16.879,16.727,16.879,23.3879,394.7353815
1663264800,2022-09-15 18:00:00,CREAM/USDT,16.719,16.997,16.719,16.722,98.0492,1648.0288703
1663261200,2022-09-15 17:00:00,CREAM/USDT,16.519,16.733,16.519,16.576,83.0371,1382.8254164
1663257600,2022-09-15 16:00:00,CREAM/USDT,16.4,16.541,16.348,16.519,8.6202,142.4172222
1663254000,2022-09-15 15:00:00,CREAM/USDT,16.403,16.557,16.19,16.4,321.8071,5268.464532
1663250400,2022-09-15 14:00:00,CREAM/USDT,16.852,17.128,16.336,16.453,194.9047,3262.3856035
1663246800,2022-09-15 13:00:00,CREAM/USDT,16.869,16.869,16.7,16.8,6.6626,111.7933345
1663243200,2022-09-15 12:00:00,CREAM/USDT,17.036,17.036,16.869,16.869,0.5798,9.8506829
1663239600,2022-09-15 11:00:00,CREAM/USDT,16.937,17.128,16.869,16.982,5.1581,87.9138028
1663236000,2022-09-15 10:00:00,CREAM/USDT,17.136,17.136,16.937,16.937,21.2062,360.6900954
