https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KLAY,Volume USDT
1663459200,2022-09-18 00:00:00,KLAY/USDT,0.2077,0.208,0.2073,0.2073,328.2649,68.27317316
1663372800,2022-09-17 00:00:00,KLAY/USDT,0.2034,0.209,0.2019,0.2088,193890.5213,39723.28835088
1663286400,2022-09-16 00:00:00,KLAY/USDT,0.2045,0.2084,0.1988,0.2034,108169.2591,22124.946504
1663200000,2022-09-15 00:00:00,KLAY/USDT,0.212,0.2142,0.202,0.2041,287420.3714,60008.67112924
1663113600,2022-09-14 00:00:00,KLAY/USDT,0.21,0.2149,0.2085,0.2113,75126.7229,15855.72659269
1663027200,2022-09-13 00:00:00,KLAY/USDT,0.226,0.2283,0.209,0.2112,104888.1003,22430.42895439
1662940800,2022-09-12 00:00:00,KLAY/USDT,0.2285,0.2323,0.2235,0.2274,62819.8854,14298.24755106
1662854400,2022-09-11 00:00:00,KLAY/USDT,0.229,0.2322,0.226,0.2285,58829.4318,13511.97124826
1662768000,2022-09-10 00:00:00,KLAY/USDT,0.2325,0.2338,0.2258,0.229,50055.8161,11476.6498488
1662681600,2022-09-09 00:00:00,KLAY/USDT,0.218,0.2345,0.218,0.2326,111328.2496,25214.73247138
1662595200,2022-09-08 00:00:00,KLAY/USDT,0.2187,0.2197,0.2141,0.2184,84165.9699,18273.89639985
1662508800,2022-09-07 00:00:00,KLAY/USDT,0.2147,0.2197,0.2109,0.219,112928.4671,24179.03438005
1662422400,2022-09-06 00:00:00,KLAY/USDT,0.2262,0.2301,0.2149,0.2149,36772.3416,8229.89322671
1662336000,2022-09-05 00:00:00,KLAY/USDT,0.2314,0.2329,0.2222,0.2255,33887.4047,7642.19852087
1662249600,2022-09-04 00:00:00,KLAY/USDT,0.2284,0.2318,0.2278,0.2311,25600.6701,5880.21188665
1662163200,2022-09-03 00:00:00,KLAY/USDT,0.2319,0.2335,0.2276,0.2283,52929.3719,12201.08283563
1662076800,2022-09-02 00:00:00,KLAY/USDT,0.2325,0.2376,0.2303,0.2324,149850.4122,35027.42059531
1661990400,2022-09-01 00:00:00,KLAY/USDT,0.2295,0.2351,0.2261,0.2332,49713.5179,11473.11808551
1661904000,2022-08-31 00:00:00,KLAY/USDT,0.2313,0.2364,0.2282,0.2295,57835.0754006,13347.335788712778
1661817600,2022-08-30 00:00:00,KLAY/USDT,0.2379,0.24,0.227,0.2292,52469.44682502,12362.142891121987
1661731200,2022-08-29 00:00:00,KLAY/USDT,0.2339,0.238,0.2286,0.2373,108468.29267852,25284.722939747245
1661644800,2022-08-28 00:00:00,KLAY/USDT,0.2373,0.2428,0.233,0.233,148045.20617949,35424.138170047457
1661558400,2022-08-27 00:00:00,KLAY/USDT,0.2352,0.239,0.2316,0.2374,113448.79366704,26810.37388830038
1661472000,2022-08-26 00:00:00,KLAY/USDT,0.2542,0.2561,0.235,0.236,192834.65989577,48268.504944130811
1661385600,2022-08-25 00:00:00,KLAY/USDT,0.2508,0.2585,0.2508,0.2549,81633.46199634,20905.46285228499
1661299200,2022-08-24 00:00:00,KLAY/USDT,0.2585,0.2639,0.2508,0.251,92555.00469125,23933.635364107806
1661212800,2022-08-23 00:00:00,KLAY/USDT,0.2509,0.2594,0.2463,0.2581,215159.39368168,54313.036432262778
1661126400,2022-08-22 00:00:00,KLAY/USDT,0.2492,0.2509,0.241,0.2509,191500.7640729,46947.894307502209
1661040000,2022-08-21 00:00:00,KLAY/USDT,0.241,0.2507,0.2387,0.2494,144898.91446232,35296.122326845113
1660953600,2022-08-20 00:00:00,KLAY/USDT,0.2352,0.251,0.2346,0.2414,240912.88423269,58557.157337775357
1660867200,2022-08-19 00:00:00,KLAY/USDT,0.2727,0.273,0.2329,0.2347,511865.62521075,126620.640370568094
1660780800,2022-08-18 00:00:00,KLAY/USDT,0.2733,0.2844,0.2723,0.2729,183847.16711637,51338.167355640373
1660694400,2022-08-17 00:00:00,KLAY/USDT,0.2939,0.3005,0.2718,0.2741,185642.38596614,52858.624956164789
1660608000,2022-08-16 00:00:00,KLAY/USDT,0.2969,0.2991,0.2877,0.2947,117243.87429377,34516.687551950799
1660521600,2022-08-15 00:00:00,KLAY/USDT,0.3003,0.3102,0.2916,0.2961,87688.85016877,26444.59705021264
1660435200,2022-08-14 00:00:00,KLAY/USDT,0.3031,0.3115,0.2995,0.3003,161355.26298253,49348.786029804335
1660348800,2022-08-13 00:00:00,KLAY/USDT,0.3088,0.3116,0.3028,0.3028,87405.24111538,26848.196773074813
1660262400,2022-08-12 00:00:00,KLAY/USDT,0.2969,0.3096,0.2747,0.309,268330.69599606,80515.109777811275
1660176000,2022-08-11 00:00:00,KLAY/USDT,0.2938,0.3056,0.2938,0.2969,98208.55081318,29403.868438256456
1660089600,2022-08-10 00:00:00,KLAY/USDT,0.2851,0.2952,0.2783,0.2942,216322.70877442,61941.138460976617
1660003200,2022-08-09 00:00:00,KLAY/USDT,0.2976,0.302,0.2783,0.2851,178321.50803436,51661.805378612667
1659916800,2022-08-08 00:00:00,KLAY/USDT,0.2903,0.3018,0.2893,0.2987,140815.20753105,41800.43434179698
1659830400,2022-08-07 00:00:00,KLAY/USDT,0.2905,0.2955,0.288,0.2902,86671.22541965,25233.951890248092
1659744000,2022-08-06 00:00:00,KLAY/USDT,0.2978,0.2981,0.29,0.2913,134894.49052811,39745.200498411168
1659657600,2022-08-05 00:00:00,KLAY/USDT,0.2907,0.2998,0.2883,0.2976,187228.39080154,55097.43859463259
1659571200,2022-08-04 00:00:00,KLAY/USDT,0.2869,0.3013,0.2865,0.2913,260165.25458671,76544.370684476272
1659484800,2022-08-03 00:00:00,KLAY/USDT,0.2863,0.2966,0.282,0.2867,273462.19194811,79585.350745778609
1659398400,2022-08-02 00:00:00,KLAY/USDT,0.3019,0.3046,0.2843,0.2871,449071.20244898,129791.930683137846
1659312000,2022-08-01 00:00:00,KLAY/USDT,0.2995,0.3096,0.2928,0.3016,555220.8310199,166802.480720496023
1659225600,2022-07-31 00:00:00,KLAY/USDT,0.3136,0.3178,0.2993,0.2993,454874.92921713,141715.143110208295
1659139200,2022-07-30 00:00:00,KLAY/USDT,0.3059,0.327,0.2984,0.3139,555030.62760609,173729.551547724916
1659052800,2022-07-29 00:00:00,KLAY/USDT,0.2751,0.334,0.275,0.3056,984328.03943347,302214.099661438982
1658966400,2022-07-28 00:00:00,KLAY/USDT,0.2619,0.2785,0.2557,0.2748,484071.13029754,128058.705653408727
1658880000,2022-07-27 00:00:00,KLAY/USDT,0.2459,0.2615,0.2412,0.2615,376668.5472305,93817.853492305117
1658793600,2022-07-26 00:00:00,KLAY/USDT,0.2492,0.2492,0.2366,0.2453,470324.27432954,113789.612748590721
1658707200,2022-07-25 00:00:00,KLAY/USDT,0.258,0.2602,0.2485,0.2497,468676.01760688,118293.232573143365
1658620800,2022-07-24 00:00:00,KLAY/USDT,0.2548,0.2652,0.2542,0.258,296047.29319158,76642.538704739201
1658534400,2022-07-23 00:00:00,KLAY/USDT,0.2544,0.2594,0.2486,0.2531,152838.77067343,38655.438154414357
1658448000,2022-07-22 00:00:00,KLAY/USDT,0.2551,0.2648,0.2509,0.2535,261319.93982575,67493.849472428766
1658361600,2022-07-21 00:00:00,KLAY/USDT,0.2541,0.259,0.2446,0.2549,333465.91419363,83230.776131252298
1658275200,2022-07-20 00:00:00,KLAY/USDT,0.2636,0.2746,0.2533,0.2536,507554.87178144,134110.375350321028
1658188800,2022-07-19 00:00:00,KLAY/USDT,0.251,0.2672,0.2446,0.2635,548052.27174035,138994.787152069419
1658102400,2022-07-18 00:00:00,KLAY/USDT,0.2317,0.2533,0.2317,0.2511,594299.72428152,146729.502323312649
1658016000,2022-07-17 00:00:00,KLAY/USDT,0.2333,0.2378,0.2308,0.2308,215270.5387287,50405.023755379313
1657929600,2022-07-16 00:00:00,KLAY/USDT,0.225,0.2356,0.2218,0.234,264364.19206876,60764.349193888799
1657843200,2022-07-15 00:00:00,KLAY/USDT,0.2278,0.2308,0.2231,0.2251,304454.92233044,69241.200295247037
1657756800,2022-07-14 00:00:00,KLAY/USDT,0.2249,0.2291,0.2167,0.228,234297.73123301,52001.371093614422
1657670400,2022-07-13 00:00:00,KLAY/USDT,0.2138,0.2248,0.2097,0.2248,395436.78699734,86018.335537563193
1657584000,2022-07-12 00:00:00,KLAY/USDT,0.2179,0.2191,0.2139,0.214,114401.11038368,24782.761672523522
1657497600,2022-07-11 00:00:00,KLAY/USDT,0.2344,0.2358,0.2165,0.217,325426.70661887,74202.460591714721
1657411200,2022-07-10 00:00:00,KLAY/USDT,0.2426,0.2426,0.2334,0.2347,156797.50313782,37190.466761776791
1657324800,2022-07-09 00:00:00,KLAY/USDT,0.2381,0.2461,0.2381,0.2426,170169.30147141,41251.475236085964
1657238400,2022-07-08 00:00:00,KLAY/USDT,0.2429,0.2495,0.2337,0.2384,269770.24964437,65245.848631493422
1657152000,2022-07-07 00:00:00,KLAY/USDT,0.233,0.2442,0.2312,0.2432,163881.94520939,38799.801406004105
1657065600,2022-07-06 00:00:00,KLAY/USDT,0.2319,0.2343,0.2294,0.2329,354366.58357651,82018.16705246942
1656979200,2022-07-05 00:00:00,KLAY/USDT,0.2398,0.2426,0.2282,0.2319,256135.81670281,60131.37960310183
1656892800,2022-07-04 00:00:00,KLAY/USDT,0.2339,0.2398,0.2298,0.2392,257441.81854078,60473.790547636359
1656806400,2022-07-03 00:00:00,KLAY/USDT,0.2311,0.2371,0.228,0.234,127910.94687832,29571.692249667098
1656720000,2022-07-02 00:00:00,KLAY/USDT,0.2309,0.2327,0.225,0.2314,175434.71862742,40143.231695660328
1656633600,2022-07-01 00:00:00,KLAY/USDT,0.2419,0.2459,0.2272,0.2309,415475.98257958,97706.656098135766
1656547200,2022-06-30 00:00:00,KLAY/USDT,0.2323,0.2525,0.22,0.2422,902090.01906557,213794.386324555464
1656460800,2022-06-29 00:00:00,KLAY/USDT,0.2376,0.2421,0.2308,0.2322,330119.15355323,77662.596319484442
1656374400,2022-06-28 00:00:00,KLAY/USDT,0.2428,0.2478,0.2365,0.238,259178.09919763,62873.887260609231
1656288000,2022-06-27 00:00:00,KLAY/USDT,0.2419,0.252,0.2396,0.2427,284547.73693479,69572.718313388513
1656201600,2022-06-26 00:00:00,KLAY/USDT,0.2543,0.2589,0.2421,0.2427,247009.69584512,62427.893960921422
1656115200,2022-06-25 00:00:00,KLAY/USDT,0.2548,0.258,0.2437,0.2546,171948.51128009,43287.53843364553
1656028800,2022-06-24 00:00:00,KLAY/USDT,0.2493,0.2597,0.2486,0.2548,234206.99060198,59286.661086091467
1655942400,2022-06-23 00:00:00,KLAY/USDT,0.2426,0.251,0.2401,0.2492,211984.90055982,52253.69681015145
1655856000,2022-06-22 00:00:00,KLAY/USDT,0.2527,0.2548,0.2229,0.2428,268781.7053685,65654.500398587366
1655769600,2022-06-21 00:00:00,KLAY/USDT,0.2469,0.2651,0.2458,0.2561,310326.62656766,79107.638387694136
1655683200,2022-06-20 00:00:00,KLAY/USDT,0.2477,0.2508,0.2375,0.2474,111927.63439771,27381.985476778527
1655596800,2022-06-19 00:00:00,KLAY/USDT,0.2347,0.2497,0.2267,0.2474,91956.92377713,21770.88009518977
1655510400,2022-06-18 00:00:00,KLAY/USDT,0.2397,0.2431,0.2189,0.2347,695001.39638681,159309.490014090349
1655424000,2022-06-17 00:00:00,KLAY/USDT,0.2296,0.244,0.2296,0.2396,122983.29287607,29289.671605907883
1655337600,2022-06-16 00:00:00,KLAY/USDT,0.2607,0.261,0.2277,0.2286,116239.60478945,28800.507051034332
1655251200,2022-06-15 00:00:00,KLAY/USDT,0.2552,0.261,0.2217,0.2585,191741.52081537,45609.918338825129
1655164800,2022-06-14 00:00:00,KLAY/USDT,0.237,0.2555,0.2155,0.2551,450759.08041419,104342.406773039033
1655078400,2022-06-13 00:00:00,KLAY/USDT,0.2968,0.2986,0.2302,0.237,761253.59180912,197629.447115550575
1654992000,2022-06-12 00:00:00,KLAY/USDT,0.3091,0.3141,0.2906,0.2946,279149.37607379,84856.786527823169
1654905600,2022-06-11 00:00:00,KLAY/USDT,0.3463,0.3526,0.302,0.3107,198040.86456246,63820.771702160042
1654819200,2022-06-10 00:00:00,KLAY/USDT,0.366,0.3664,0.3413,0.3476,74545.80672719,26438.894537552825
1654732800,2022-06-09 00:00:00,KLAY/USDT,0.3786,0.3796,0.3651,0.3658,44591.59756172,16656.617947524708
1654646400,2022-06-08 00:00:00,KLAY/USDT,0.3936,0.3977,0.3786,0.3786,41334.32573119,16064.325788159811
1654560000,2022-06-07 00:00:00,KLAY/USDT,0.401,0.4014,0.3792,0.3933,45852.21772056,17818.467516450043
1654473600,2022-06-06 00:00:00,KLAY/USDT,0.4006,0.4134,0.399,0.4023,42368.71580594,17176.945930555308
1654387200,2022-06-05 00:00:00,KLAY/USDT,0.4051,0.4066,0.3959,0.4007,21528.67747118,8643.77309350633
1654300800,2022-06-04 00:00:00,KLAY/USDT,0.3994,0.4083,0.3947,0.4055,38532.67901498,15416.908590950336
1654214400,2022-06-03 00:00:00,KLAY/USDT,0.4277,0.4309,0.3922,0.3994,83631.32820821,34195.937533815717
1654128000,2022-06-02 00:00:00,KLAY/USDT,0.417,0.4312,0.4098,0.4279,74719.39004997,31242.286704292259
1654041600,2022-06-01 00:00:00,KLAY/USDT,0.4389,0.4596,0.4101,0.4179,119606.36793673,52819.662827928872
1653955200,2022-05-31 00:00:00,KLAY/USDT,0.4598,0.4607,0.4321,0.4409,94040.77605048,41750.903152830241
1653868800,2022-05-30 00:00:00,KLAY/USDT,0.4288,0.4597,0.4255,0.4581,66810.06472522,29648.708591083035
1653782400,2022-05-29 00:00:00,KLAY/USDT,0.4227,0.429,0.4043,0.4288,61010.95546854,25498.648776688907
1653696000,2022-05-28 00:00:00,KLAY/USDT,0.4179,0.4267,0.414,0.423,54022.67023685,22747.512939829474
1653609600,2022-05-27 00:00:00,KLAY/USDT,0.4347,0.4349,0.4129,0.4168,86379.40201955,36575.838287377477
1653523200,2022-05-26 00:00:00,KLAY/USDT,0.4643,0.4742,0.4084,0.4332,144951.25979021,62501.654036921781
1653436800,2022-05-25 00:00:00,KLAY/USDT,0.4608,0.4702,0.4475,0.4639,89904.88749688,41170.146528050821
1653350400,2022-05-24 00:00:00,KLAY/USDT,0.4664,0.476,0.4298,0.4608,166734.87682818,75265.605518713601
1653264000,2022-05-23 00:00:00,KLAY/USDT,0.4763,0.513,0.4617,0.4663,308592.93251352,152556.589433268562
1653177600,2022-05-22 00:00:00,KLAY/USDT,0.4459,0.4787,0.4459,0.4776,166995.76312932,77734.735443135695
1653091200,2022-05-21 00:00:00,KLAY/USDT,0.4174,0.4457,0.4099,0.4457,127165.67575423,54382.960068667855
1653004800,2022-05-20 00:00:00,KLAY/USDT,0.4345,0.4526,0.413,0.4174,175493.5582318,76028.519513224127
