https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume XEM
1663545600000,2022-09-19 00:00:00,XEM/BTC,2.06e-06,2.1e-06,2.05e-06,2.06e-06,0.031682800000000004,15380.0
1663459200000,2022-09-18 00:00:00,XEM/BTC,2.12e-06,2.15e-06,2.03e-06,2.06e-06,1.0722537722353649,520511.53992008
1663372800000,2022-09-17 00:00:00,XEM/BTC,2.12e-06,2.16e-06,2.1e-06,2.11e-06,0.8991693472502743,426146.61007122
1663286400000,2022-09-16 00:00:00,XEM/BTC,2.09e-06,2.15e-06,2.07e-06,2.12e-06,0.8978833752173752,423529.89397046
1663200000000,2022-09-15 00:00:00,XEM/BTC,2.12e-06,2.13e-06,2.06e-06,2.09e-06,0.6259916367661461,299517.52955318
1663113600000,2022-09-14 00:00:00,XEM/BTC,2.11e-06,2.14e-06,2.09e-06,2.12e-06,0.5305730412871528,250270.30249394
1663027200000,2022-09-13 00:00:00,XEM/BTC,2.09e-06,2.13e-06,2.03e-06,2.09e-06,0.7754570087506462,371032.06160318
1662940800000,2022-09-12 00:00:00,XEM/BTC,2.14e-06,2.22e-06,2.07e-06,2.1e-06,0.6603272076178679,314441.52743708
1662854400000,2022-09-11 00:00:00,XEM/BTC,2.12e-06,2.2e-06,2.1e-06,2.14e-06,0.642589586970735,300275.50793025
1662768000000,2022-09-10 00:00:00,XEM/BTC,2.16e-06,2.19e-06,2.09e-06,2.11e-06,0.7683575483781026,364150.49686166
1662681600000,2022-09-09 00:00:00,XEM/BTC,2.29e-06,2.3e-06,2.12e-06,2.17e-06,0.8373971176996032,385897.28926249
1662595200000,2022-09-08 00:00:00,XEM/BTC,2.2e-06,2.3e-06,2.2e-06,2.3e-06,0.79412090106849,345269.9569863
1662508800000,2022-09-07 00:00:00,XEM/BTC,2.19e-06,2.27e-06,2.18e-06,2.2e-06,0.6942760331118261,315580.01505083
