https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOS,Volume USDT
1663459200,2022-09-18 00:00:00,SOS/USDT,0.000000256,0.000000256,0.0000002525,0.0000002542,7704318831.61155503,1957.918809532533077679
1663372800,2022-09-17 00:00:00,SOS/USDT,0.0000002475,0.000000256,0.0000002468,0.0000002559,186662432135.93675114,47311.579115299016536145
1663286400,2022-09-16 00:00:00,SOS/USDT,0.0000002516,0.0000002532,0.0000002454,0.0000002468,154739905904.00499654,38649.478840051160522957
1663200000,2022-09-15 00:00:00,SOS/USDT,0.0000002671,0.0000002677,0.0000002453,0.0000002517,318891724773.98702159,82459.24806395573430035
1663113600,2022-09-14 00:00:00,SOS/USDT,0.0000002636,0.0000002689,0.0000002556,0.000000267,343401199799.7076759,89937.362436185790786566
1663027200,2022-09-13 00:00:00,SOS/USDT,0.0000002755,0.0000002778,0.0000002602,0.0000002641,319954958580.13435776,85678.562983992450117867
1662940800,2022-09-12 00:00:00,SOS/USDT,0.0000002886,0.0000002892,0.0000002707,0.0000002746,290573837733.05799812,81691.850349296899344994
1662854400,2022-09-11 00:00:00,SOS/USDT,0.0000002989,0.0000002993,0.0000002844,0.000000288,283242236630.3414012,82340.22918000057516542
1662768000,2022-09-10 00:00:00,SOS/USDT,0.0000002915,0.000000299,0.0000002891,0.0000002989,223579157099.57204327,65427.740707162464965483
1662681600,2022-09-09 00:00:00,SOS/USDT,0.00000027,0.000000299,0.000000268,0.000000293,482503106104.76846807,137998.35902149237961143
1662595200,2022-09-08 00:00:00,SOS/USDT,0.0000002718,0.0000002751,0.0000002636,0.0000002691,242597334245.1844438,64999.860703955272389041
1662508800,2022-09-07 00:00:00,SOS/USDT,0.0000002601,0.0000002798,0.0000002519,0.0000002707,332997620491.61673775,87066.624859971687992038
1662422400,2022-09-06 00:00:00,SOS/USDT,0.0000002864,0.0000002922,0.0000002542,0.0000002599,453943122785.57745724,124784.793335013297998898
1662336000,2022-09-05 00:00:00,SOS/USDT,0.0000002885,0.0000002942,0.0000002832,0.0000002869,152450058003.10074056,43832.456644497010446018
1662249600,2022-09-04 00:00:00,SOS/USDT,0.0000002878,0.0000002921,0.0000002842,0.0000002898,190968378695.77382449,55203.576772453382897115
1662163200,2022-09-03 00:00:00,SOS/USDT,0.0000002825,0.0000003147,0.00000028,0.0000002877,302399512127.58832668,87336.529461766299042401
1662076800,2022-09-02 00:00:00,SOS/USDT,0.0000002846,0.00000029,0.000000275,0.0000002818,362779122027.45926654,103277.968230385959842954
1661990400,2022-09-01 00:00:00,SOS/USDT,0.000000279,0.0000002859,0.0000002707,0.0000002859,332935902199.41361286,92503.127045384446434067
1661904000,2022-08-31 00:00:00,SOS/USDT,0.0000002803,0.00000029,0.0000002765,0.0000002802,397584907888.61424293,112436.232832919738336994
1661817600,2022-08-30 00:00:00,SOS/USDT,0.0000002894,0.0000003019,0.00000027,0.0000002809,501963592340.16238515,143353.169006236040305433
1661731200,2022-08-29 00:00:00,SOS/USDT,0.0000002734,0.00000029,0.0000002713,0.0000002894,465600838313.00324202,129470.00297121176246382
1661644800,2022-08-28 00:00:00,SOS/USDT,0.0000002846,0.000000295,0.0000002707,0.0000002723,309964341165.26440152,88410.730655599139387434
