https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUT,Volume BTC
1663545600000,2022-09-19 00:00:00,BTC/EUT,19388,19490,19388,19462,2798.2673789600003,0.14378108
1663542000000,2022-09-18 23:00:00,BTC/EUT,19412,19494,19385,19388,2337.3684222399997,0.12055748
1663538400000,2022-09-18 22:00:00,BTC/EUT,19455,19455,19370,19412,14356.78014888,0.73958274
1663534800000,2022-09-18 21:00:00,BTC/EUT,19708,19709,19414,19455,8051.31887235,0.41384317
1663531200000,2022-09-18 20:00:00,BTC/EUT,19719,19746,19674,19707,1015.70804229,0.05154047
1663527600000,2022-09-18 19:00:00,BTC/EUT,19650,19728,19616,19719,4265.8605675,0.2163325
1663524000000,2022-09-18 18:00:00,BTC/EUT,19645,19701,19583,19650,7433.2674345000005,0.37828333000000003
1663520400000,2022-09-18 17:00:00,BTC/EUT,19722,19728,19640,19645,6021.90266675,0.30653615
1663516800000,2022-09-18 16:00:00,BTC/EUT,19802,19843,19678,19721,3553.56268501,0.18019181
1663513200000,2022-09-18 15:00:00,BTC/EUT,19800,19847,19774,19802,2433.56342366,0.12289483
1663509600000,2022-09-18 14:00:00,BTC/EUT,19976,19976,19716,19801,4956.57344935,0.25031935
1663506000000,2022-09-18 13:00:00,BTC/EUT,20000,20002,19924,19976,2462.16505216,0.12325616
1663502400000,2022-09-18 12:00:00,BTC/EUT,19915,20014,19884,20000,3163.4770000000003,0.15817385
1663498800000,2022-09-18 11:00:00,BTC/EUT,19902,19921,19892,19917,2722.49356815,0.13669195
1663495200000,2022-09-18 10:00:00,BTC/EUT,19815,20022,19791,19876,7572.4141328000005,0.3809828
1663491600000,2022-09-18 09:00:00,BTC/EUT,20042,20061,19807,19815,3831.93388065,0.19338551
1663488000000,2022-09-18 08:00:00,BTC/EUT,20053,20075,20027,20027,1179.15691572,0.05887836
1663484400000,2022-09-18 07:00:00,BTC/EUT,20046,20062,20045,20053,738.32318527,0.03681859
1663480800000,2022-09-18 06:00:00,BTC/EUT,20065,20077,20046,20046,1638.67069392,0.08174552
1663477200000,2022-09-18 05:00:00,BTC/EUT,20008,20052,20006,20052,740.5337948399999,0.03693067
1663473600000,2022-09-18 04:00:00,BTC/EUT,19979,20019,19972,20009,1100.274901,0.054989
1663470000000,2022-09-18 03:00:00,BTC/EUT,20028,20028,19936,19978,1512.9167589200001,0.07572914
1663466400000,2022-09-18 02:00:00,BTC/EUT,20000,20037,19999,20028,643.4970363599999,0.03212987
1663462800000,2022-09-18 01:00:00,BTC/EUT,19991,20038,19988,20001,46623.37425216,2.33105216
1663459200000,2022-09-18 00:00:00,BTC/EUT,20092,20092,19975,19991,12076.433558319999,0.6040935199999999
1663455600000,2022-09-17 23:00:00,BTC/EUT,20113,20123,20081,20081,36839.21821586,1.83453106
1663452000000,2022-09-17 22:00:00,BTC/EUT,20030,20113,20030,20113,1264.6760750199999,0.06287854
1663448400000,2022-09-17 21:00:00,BTC/EUT,20073,20077,19994,20030,1469.0374557999999,0.07334186
1663444800000,2022-09-17 20:00:00,BTC/EUT,20006,20084,20001,20069,1937.99027884,0.09656636
1663441200000,2022-09-17 19:00:00,BTC/EUT,20076,20076,20007,20007,1738.0028881800001,0.08686974
1663437600000,2022-09-17 18:00:00,BTC/EUT,20062,20097,20045,20076,1531.12685628,0.07626653
1663434000000,2022-09-17 17:00:00,BTC/EUT,20122,20188,20051,20061,3822.1741835999997,0.1905276
1663430400000,2022-09-17 16:00:00,BTC/EUT,19983,20172,19934,20122,3178.23005844,0.15794802
1663426800000,2022-09-17 15:00:00,BTC/EUT,19902,19991,19896,19983,5454.12045366,0.27293802
1663423200000,2022-09-17 14:00:00,BTC/EUT,19887,19939,19887,19903,8050.52565915,0.40448805
1663419600000,2022-09-17 13:00:00,BTC/EUT,19851,19896,19851,19886,2387.65912324,0.12006734000000001
1663416000000,2022-09-17 12:00:00,BTC/EUT,19814,19856,19738,19846,4204.7003759399995,0.21186639
1663412400000,2022-09-17 11:00:00,BTC/EUT,19866,19866,19802,19802,2427.06302112,0.12256656
1663408800000,2022-09-17 10:00:00,BTC/EUT,19873,19883,19822,19867,122135.01805622,6.14763266
1663405200000,2022-09-17 09:00:00,BTC/EUT,19860,19888,19860,19872,1193.24086848,0.060046340000000004
1663401600000,2022-09-17 08:00:00,BTC/EUT,19822,19887,19812,19859,76137.38077917999,3.83389802
1663398000000,2022-09-17 07:00:00,BTC/EUT,19821,19864,19776,19824,407721.64603296004,20.56707254
1663394400000,2022-09-17 06:00:00,BTC/EUT,19844,19852,19784,19808,1684.71041216,0.08505202
1663390800000,2022-09-17 05:00:00,BTC/EUT,19939,19939,19810,19843,1997.31561899,0.10065593
1663387200000,2022-09-17 04:00:00,BTC/EUT,19885,19952,19883,19939,1405.48156673,0.07048907
