https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTX,Volume USDT
1663459200,2022-09-18 00:00:00,LTX/USDT,0.495,0.4987,0.493,0.4935,4642.3073,2302.32970712
1663372800,2022-09-17 00:00:00,LTX/USDT,0.495,0.4958,0.4753,0.493,255448.9866,124436.59594654
1663286400,2022-09-16 00:00:00,LTX/USDT,0.5452,0.547,0.4882,0.495,600891.0782,305609.10972666
1663200000,2022-09-15 00:00:00,LTX/USDT,0.5879,0.5914,0.543,0.5484,255898.2523,144321.07575892
1663113600,2022-09-14 00:00:00,LTX/USDT,0.5822,0.591,0.5787,0.5878,107324.4802,62773.33193459
1663027200,2022-09-13 00:00:00,LTX/USDT,0.6266,0.685,0.5769,0.5822,681588.7375,430937.63600705
1662940800,2022-09-12 00:00:00,LTX/USDT,0.616,0.6278,0.6092,0.6266,130216.6779,80418.50836631
1662854400,2022-09-11 00:00:00,LTX/USDT,0.609,0.6228,0.6073,0.6165,83832.5862,51648.6319257
1662768000,2022-09-10 00:00:00,LTX/USDT,0.5808,0.6158,0.5794,0.6158,155126.5294,92288.28696257
1662681600,2022-09-09 00:00:00,LTX/USDT,0.5395,0.5805,0.5351,0.5804,201678.6537,113286.65638009
1662595200,2022-09-08 00:00:00,LTX/USDT,0.5472,0.5539,0.5291,0.5395,149486.022,80517.67195823
1662508800,2022-09-07 00:00:00,LTX/USDT,0.5247,0.5499,0.5081,0.5467,248392.0036,129966.69688122
1662422400,2022-09-06 00:00:00,LTX/USDT,0.5178,0.5776,0.5178,0.5251,352577.0372,189934.90472504
1662336000,2022-09-05 00:00:00,LTX/USDT,0.5002,0.5255,0.5002,0.5179,176576.7108,90172.15091361
1662249600,2022-09-04 00:00:00,LTX/USDT,0.4836,0.5017,0.4836,0.5003,93991.3599,46264.54295866
1662163200,2022-09-03 00:00:00,LTX/USDT,0.4636,0.486,0.4609,0.4833,157751.8991,74821.10610566
1662076800,2022-09-02 00:00:00,LTX/USDT,0.4474,0.473,0.4462,0.4609,219362.3465,101136.71195433
1661990400,2022-09-01 00:00:00,LTX/USDT,0.4573,0.4573,0.4335,0.4471,221712.9007,98696.86484347
1661904000,2022-08-31 00:00:00,LTX/USDT,0.4469,0.5011,0.4452,0.4575,552518.6302,262060.39173055
1661817600,2022-08-30 00:00:00,LTX/USDT,0.4308,0.4539,0.4296,0.4427,222356.3005,98549.07888144
1661731200,2022-08-29 00:00:00,LTX/USDT,0.4375,0.448,0.423,0.4296,227245.5707,98451.61802371
1661644800,2022-08-28 00:00:00,LTX/USDT,0.448,0.4501,0.4345,0.4402,95959.2456,42400.48636642
1661558400,2022-08-27 00:00:00,LTX/USDT,0.4405,0.4534,0.4379,0.448,138142.2612,61735.64455704
1661472000,2022-08-26 00:00:00,LTX/USDT,0.5282,0.5307,0.4362,0.439,605386.2993,289480.76795005
1661385600,2022-08-25 00:00:00,LTX/USDT,0.5137,0.5405,0.5129,0.5287,68523.1756,36200.19998461
1661299200,2022-08-24 00:00:00,LTX/USDT,0.4906,0.5305,0.4789,0.5141,233752.4658,116919.15676476
1661212800,2022-08-23 00:00:00,LTX/USDT,0.4783,0.4949,0.4642,0.4921,216244.7339,103328.95678082
1661126400,2022-08-22 00:00:00,LTX/USDT,0.5017,0.512,0.4711,0.4805,121095.0027,58849.72282048
1661040000,2022-08-21 00:00:00,LTX/USDT,0.4891,0.5136,0.4883,0.504,112530.8202,56655.73413605
1660953600,2022-08-20 00:00:00,LTX/USDT,0.5428,0.5496,0.4813,0.4914,318122.9043,164485.0579163
1660867200,2022-08-19 00:00:00,LTX/USDT,0.6167,0.6222,0.5382,0.5401,285616.7656,163963.69080608
1660780800,2022-08-18 00:00:00,LTX/USDT,0.6458,0.6593,0.6004,0.6165,150120.246,95629.12286633
1660694400,2022-08-17 00:00:00,LTX/USDT,0.674,0.694,0.6354,0.6476,108534.6622,72305.4721584
