https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SAND3L,Volume USDT
1663459200,2022-09-18 00:00:00,SAND3L/USDT,0.002029,0.002041,0.001969,0.001974,1826810.3816,3644.7857244043
1663372800,2022-09-17 00:00:00,SAND3L/USDT,0.001852,0.002112,0.001811,0.00203,36232291.3025,70712.3379501025
1663286400,2022-09-16 00:00:00,SAND3L/USDT,0.001743,0.001867,0.001665,0.001832,28356330.3505,50288.7472748294
1663200000,2022-09-15 00:00:00,SAND3L/USDT,0.001983,0.002001,0.0017,0.001763,37123549.4025,67714.1224222406
1663113600,2022-09-14 00:00:00,SAND3L/USDT,0.001896,0.002016,0.00181,0.002002,28727364.027,55575.4799409859
1663027200,2022-09-13 00:00:00,SAND3L/USDT,0.002472,0.00257,0.001806,0.001869,58382878.6954,127818.1506054503
1662940800,2022-09-12 00:00:00,SAND3L/USDT,0.002618,0.002843,0.002416,0.002505,28819255.1012,75019.0559296206
1662854400,2022-09-11 00:00:00,SAND3L/USDT,0.002763,0.002808,0.002467,0.002632,22954899.1061,61275.6625173213
1662768000,2022-09-10 00:00:00,SAND3L/USDT,0.00269,0.00307,0.002565,0.002745,46068512.8394,127879.6039032026
1662681600,2022-09-09 00:00:00,SAND3L/USDT,0.002228,0.0028,0.002228,0.0027,77213138.4145,195565.9673946863
1662595200,2022-09-08 00:00:00,SAND3L/USDT,0.002151,0.002257,0.002048,0.002226,38971885.9895,83624.7418466881
1662508800,2022-09-07 00:00:00,SAND3L/USDT,0.001976,0.002203,0.001835,0.002118,76890968.7259,154105.0299731916
1662422400,2022-09-06 00:00:00,SAND3L/USDT,0.002631,0.002782,0.001945,0.001991,85696882.52838446,208032.66538146876815
1662336000,2022-09-05 00:00:00,SAND3L/USDT,0.002798,0.002881,0.002456,0.002605,56759307.9596,149044.0232560038
1662249600,2022-09-04 00:00:00,SAND3L/USDT,0.002414,0.002962,0.002371,0.002789,43389789.3551,117153.730701817
1662163200,2022-09-03 00:00:00,SAND3L/USDT,0.002446,0.002477,0.002314,0.002413,13721256.2116,32948.7886333852
