https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume TUSD
1663459200,2022-09-18 00:00:00,ETH/TUSD,1452.8,1457.95,1452.8,1457.95,0.0823605,119.670164085
1663372800,2022-09-17 00:00:00,ETH/TUSD,1432.98,1475.41,1414.43,1465.48,8.5869986,12355.908024322
1663286400,2022-09-16 00:00:00,ETH/TUSD,1472.87,1477.42,1415.62,1430.78,110.2171107,159032.193863365
1663200000,2022-09-15 00:00:00,ETH/TUSD,1637.32,1655,1460.45,1472.2,184.9259736,290468.696323418
1663113600,2022-09-14 00:00:00,ETH/TUSD,1561.76,1647.13,1561.76,1640.51,58.947674,94216.49822947
1663027200,2022-09-13 00:00:00,ETH/TUSD,1689.23,1750,1567.01,1568.78,250.8859866,414290.42187919
1662940800,2022-09-12 00:00:00,ETH/TUSD,1763.31,1780.75,1697.47,1709,95.5878433,166033.57762144
1662854400,2022-09-11 00:00:00,ETH/TUSD,1774.09,1782.23,1743.35,1761.24,34.2264646,60201.351926214
1662768000,2022-09-10 00:00:00,ETH/TUSD,1715.18,1782.69,1709.42,1775.52,48.3813549,84161.836915819
1662681600,2022-09-09 00:00:00,ETH/TUSD,1640.75,1783.73,1632.4,1719.09,162.1498665,272216.009646847
1662595200,2022-09-08 00:00:00,ETH/TUSD,1625.71,1659.83,1598.57,1630.36,82.2830018,134393.862180581
1662508800,2022-09-07 00:00:00,ETH/TUSD,1564.51,1655.95,1491.36,1629.39,62.2604347,96217.118980408
1662422400,2022-09-06 00:00:00,ETH/TUSD,1619.6,1682.66,1562.88,1572.26,42.2481876,68526.332757119
1662336000,2022-09-05 00:00:00,ETH/TUSD,1591.72,1625.54,1559.53,1622.14,31.9047039,50948.12662271
1662249600,2022-09-04 00:00:00,ETH/TUSD,1558.87,1579.19,1539.69,1579.19,23.06112449,36089.0152406702
1662163200,2022-09-03 00:00:00,ETH/TUSD,1566.68,1575.14,1540,1553,60.5708876,93771.48473829
