https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOKI,Volume USDT
1663459200,2022-09-18 00:00:00,LOKI/USDT,0.21315,0.2132,0.21048,0.21141,48781.8472,10322.724450964
1663372800,2022-09-17 00:00:00,LOKI/USDT,0.20995,0.21435,0.20761,0.21315,1752649.1182,368960.09609481
1663286400,2022-09-16 00:00:00,LOKI/USDT,0.20563,0.21897,0.20475,0.20972,1868327.3279,388229.315543166
1663200000,2022-09-15 00:00:00,LOKI/USDT,0.21599,0.22002,0.2049,0.20567,1899321.9504,403338.412637
1663113600,2022-09-14 00:00:00,LOKI/USDT,0.21079,0.21719,0.20621,0.21591,1490928.6489,316386.20711208
1663027200,2022-09-13 00:00:00,LOKI/USDT,0.22659,0.23034,0.20897,0.21102,1436791.315,316870.318886108
1662940800,2022-09-12 00:00:00,LOKI/USDT,0.22446,0.2353,0.2204,0.22628,1442627.0415,328381.542957072
1662854400,2022-09-11 00:00:00,LOKI/USDT,0.23105,0.23488,0.22062,0.22406,1303422.3909,298020.602600741
1662768000,2022-09-10 00:00:00,LOKI/USDT,0.22356,0.23612,0.2216,0.23162,1391084.446,315207.859127379
1662681600,2022-09-09 00:00:00,LOKI/USDT,0.21003,0.22485,0.20853,0.22395,1357652.4071,297567.302433879
1662595200,2022-09-08 00:00:00,LOKI/USDT,0.20879,0.21214,0.2062,0.21006,1101252.4197,229942.273735481
1662508800,2022-09-07 00:00:00,LOKI/USDT,0.2017,0.21141,0.2,0.20857,1367083.42897144,277165.926401792
1662422400,2022-09-06 00:00:00,LOKI/USDT,0.20984,0.21528,0.20029,0.20163,1313569.8509,273826.644697877
1662336000,2022-09-05 00:00:00,LOKI/USDT,0.21142,0.21378,0.20303,0.20989,1322465.1007,277784.161480693
1662249600,2022-09-04 00:00:00,LOKI/USDT,0.21159,0.21312,0.20607,0.21147,1214683.7943,255929.534150866
1662163200,2022-09-03 00:00:00,LOKI/USDT,0.21273,0.21279,0.20641,0.21145,1064328.9336,223318.210125601
1662076800,2022-09-02 00:00:00,LOKI/USDT,0.21161,0.21715,0.20813,0.2128,1351533.9406,287741.069126116
1661990400,2022-09-01 00:00:00,LOKI/USDT,0.21351,0.21538,0.20526,0.2118,1259687.605,266910.912321031
1661904000,2022-08-31 00:00:00,LOKI/USDT,0.20828,0.21631,0.20607,0.21356,1211623.3055,257079.029000975
