https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume OMG
1663545600000,2022-09-19 00:00:00,OMG/BTC,8.632e-05,8.736e-05,8.616e-05,8.736e-05,0.0422033957733024,483.09747909
1663459200000,2022-09-18 00:00:00,OMG/BTC,9.107e-05,9.15e-05,8.433e-05,8.631e-05,1.9723536486167221,22851.9713662
1663372800000,2022-09-17 00:00:00,OMG/BTC,8.924e-05,9.106e-05,8.863e-05,9.106e-05,0.546260447621469,5998.90673865
1663286400000,2022-09-16 00:00:00,OMG/BTC,8.81e-05,8.98e-05,8.665e-05,8.918e-05,1.7083033661945886,19155.67802416
1663200000000,2022-09-15 00:00:00,OMG/BTC,8.961e-05,9.106e-05,8.7e-05,8.809e-05,1.3111128599552941,14883.7877166
1663113600000,2022-09-14 00:00:00,OMG/BTC,8.827e-05,9.06e-05,8.755e-05,8.961e-05,1.035191830895085,11552.1909485
1663027200000,2022-09-13 00:00:00,OMG/BTC,8.825e-05,9.012e-05,8.632e-05,8.837e-05,1.565351829405679,17713.6112867
1662940800000,2022-09-12 00:00:00,OMG/BTC,8.866e-05,9.563e-05,8.668e-05,8.825e-05,3.451458264094093,39110.008658290004
1662854400000,2022-09-11 00:00:00,OMG/BTC,8.913e-05,9.075e-05,8.8e-05,8.874e-05,0.6618503448653885,7458.30904739
1662768000000,2022-09-10 00:00:00,OMG/BTC,9.052e-05,9.201e-05,8.827e-05,8.907e-05,1.2197518434318464,13694.30608995
1662681600000,2022-09-09 00:00:00,OMG/BTC,9.566e-05,9.627e-05,8.873e-05,9.039e-05,0.8901698424986663,9848.10092376
1662595200000,2022-09-08 00:00:00,OMG/BTC,9.394e-05,9.585e-05,9.252e-05,9.585e-05,0.3542771524149225,3696.16225785
1662508800000,2022-09-07 00:00:00,OMG/BTC,8.989e-05,9.642e-05,8.923e-05,9.381e-05,1.0732511029352683,11440.68972322
1662422400000,2022-09-06 00:00:00,OMG/BTC,9.436e-05,9.663e-05,8.922e-05,8.991e-05,1.2728553936577192,14156.99470201
1662336000000,2022-09-05 00:00:00,OMG/BTC,9.549e-05,9.606e-05,9.163e-05,9.422e-05,0.3016888615941228,3201.96202074
1662249600000,2022-09-04 00:00:00,OMG/BTC,9.065e-05,9.635e-05,9.049e-05,9.543e-05,0.7978391846304193,8360.46510144
1662163200000,2022-09-03 00:00:00,OMG/BTC,9.001e-05,9.11e-05,8.924e-05,9.061e-05,0.510666698436479,5635.8757139
1662076800000,2022-09-02 00:00:00,OMG/BTC,8.957e-05,9.157e-05,8.885e-05,8.993e-05,0.5703267936541678,6341.89696046
1661990400000,2022-09-01 00:00:00,OMG/BTC,8.96e-05,8.985e-05,8.748e-05,8.964e-05,0.13530899020179601,1509.4711089
1661904000000,2022-08-31 00:00:00,OMG/BTC,9.165e-05,9.25e-05,8.951e-05,8.961e-05,0.13563822622638122,1513.65055492
1661817600000,2022-08-30 00:00:00,OMG/BTC,9.19e-05,9.263e-05,9.008e-05,9.162e-05,0.5075921048933322,5540.18887681
1661731200000,2022-08-29 00:00:00,OMG/BTC,8.784e-05,9.188e-05,8.662e-05,9.186e-05,0.30029877413876044,3269.09181514
1661644800000,2022-08-28 00:00:00,OMG/BTC,8.892e-05,9.001e-05,8.731e-05,8.785e-05,0.24144512775464896,2748.37937114
1661558400000,2022-08-27 00:00:00,OMG/BTC,8.781e-05,8.927e-05,8.727e-05,8.896e-05,0.5368123017881856,6034.31094636
1661472000000,2022-08-26 00:00:00,OMG/BTC,9.206e-05,9.252e-05,8.686e-05,8.779e-05,0.7683465237071646,8752.09618074
1661385600000,2022-08-25 00:00:00,OMG/BTC,9.124e-05,9.304e-05,9.017e-05,9.209e-05,0.19345670635546688,2100.73521941
1661299200000,2022-08-24 00:00:00,OMG/BTC,9.15e-05,9.283e-05,9.028e-05,9.122e-05,0.10821352377571421,1186.29164411
1661212800000,2022-08-23 00:00:00,OMG/BTC,8.993e-05,9.155e-05,8.93e-05,9.153e-05,0.22625800525742581,2471.95460786
1661126400000,2022-08-22 00:00:00,OMG/BTC,9.024e-05,9.026e-05,8.685e-05,8.993e-05,0.131049948882143,1457.2439551
1661040000000,2022-08-21 00:00:00,OMG/BTC,8.865e-05,9.125e-05,8.849e-05,9.019e-05,0.2869381795412374,3181.48552546
1660953600000,2022-08-20 00:00:00,OMG/BTC,9.075e-05,9.104e-05,8.68e-05,8.878e-05,0.43939911969368156,4949.30299272
1660867200000,2022-08-19 00:00:00,OMG/BTC,9.163e-05,9.167e-05,8.745e-05,9.069e-05,2.0858789618987377,23000.09881904
1660780800000,2022-08-18 00:00:00,OMG/BTC,9.479e-05,9.572e-05,8.937e-05,9.185e-05,0.654854689665286,7129.61012156
1660694400000,2022-08-17 00:00:00,OMG/BTC,9.516e-05,0.0001001,9.41e-05,9.49e-05,0.956360062406151,10077.55597899
1660608000000,2022-08-16 00:00:00,OMG/BTC,9.676e-05,9.69e-05,9.462e-05,9.523e-05,0.22814846618329018,2395.76253474
1660521600000,2022-08-15 00:00:00,OMG/BTC,9.568e-05,9.706e-05,9.471e-05,9.676e-05,0.6056525121566496,6259.32732696
1660435200000,2022-08-14 00:00:00,OMG/BTC,9.867e-05,9.963e-05,9.505e-05,9.581e-05,0.25423196778595336,2653.50138593
1660348800000,2022-08-13 00:00:00,OMG/BTC,9.854e-05,9.887e-05,9.73e-05,9.868e-05,0.318967800795886,3232.34496145
1660262400000,2022-08-12 00:00:00,OMG/BTC,0.00010002,0.00010072,9.819e-05,9.864e-05,0.261533784440628,2651.39684145
1660176000000,2022-08-11 00:00:00,OMG/BTC,0.00010009,0.00010079,9.716e-05,0.00010002,0.6720991201204349,6719.64727175
1660089600000,2022-08-10 00:00:00,OMG/BTC,9.882e-05,0.00010026,9.805e-05,0.0001002,0.747289169307318,7457.97574159
1660003200000,2022-08-09 00:00:00,OMG/BTC,0.00010094,0.00010561,9.791e-05,9.871e-05,0.8964305810383163,9081.45660053
1659916800000,2022-08-08 00:00:00,OMG/BTC,0.00010064,0.00010265,9.846e-05,0.00010094,0.8427896923264938,8349.41244627
1659830400000,2022-08-07 00:00:00,OMG/BTC,0.00010179,0.00010275,9.999e-05,0.00010073,1.5162065029445027,15052.18408562
1659744000000,2022-08-06 00:00:00,OMG/BTC,0.00010129,0.00010568,9.993e-05,0.00010193,1.3848640726912749,13586.4227675
1659657600000,2022-08-05 00:00:00,OMG/BTC,9.727e-05,0.00010319,9.679e-05,0.00010126,4.174002680941465,41220.64666148
1659571200000,2022-08-04 00:00:00,OMG/BTC,9.437e-05,9.737e-05,9.42e-05,9.718e-05,7.564395293296091,77839.01310245
1659484800000,2022-08-03 00:00:00,OMG/BTC,9.368e-05,9.604e-05,9.187e-05,9.438e-05,6.440790866973349,68243.17511097
1659398400000,2022-08-02 00:00:00,OMG/BTC,9.736e-05,9.736e-05,9.124e-05,9.377e-05,6.878241010833,73352.25563435
1659312000000,2022-08-01 00:00:00,OMG/BTC,9.431e-05,0.00010053,9.419e-05,9.746e-05,7.483071792779584,76780.95416355
1659225600000,2022-07-31 00:00:00,OMG/BTC,9.535e-05,9.744e-05,9.382e-05,9.442e-05,6.143642981609477,65067.17836909
1659139200000,2022-07-30 00:00:00,OMG/BTC,9.593e-05,0.0001012,9.487e-05,9.535e-05,9.698940926552444,101719.35948141
1659052800000,2022-07-29 00:00:00,OMG/BTC,9.737e-05,0.00010191,9.395e-05,9.589e-05,12.985759143699383,135423.49717071
1658966400000,2022-07-28 00:00:00,OMG/BTC,8.751e-05,0.00010357,8.586e-05,9.721e-05,14.900865674152671,153285.31708829
1658880000000,2022-07-27 00:00:00,OMG/BTC,8.796e-05,8.837e-05,8.541e-05,8.756e-05,9.796850333981093,111887.28110988
1658793600000,2022-07-26 00:00:00,OMG/BTC,8.634e-05,8.813e-05,8.52e-05,8.802e-05,6.282480286050824,71375.59970519
1658707200000,2022-07-25 00:00:00,OMG/BTC,9.048e-05,9.122e-05,8.601e-05,8.641e-05,5.572155279777605,64485.07441011
1658620800000,2022-07-24 00:00:00,OMG/BTC,9.273e-05,9.284e-05,9.012e-05,9.054e-05,5.280644428776522,58323.8836843
1658534400000,2022-07-23 00:00:00,OMG/BTC,8.889e-05,9.438e-05,8.8e-05,9.264e-05,6.871193898914088,74170.91859795
1658448000000,2022-07-22 00:00:00,OMG/BTC,8.312e-05,9.362e-05,8.3e-05,8.89e-05,20.763514674396486,233560.34504383
1658361600000,2022-07-21 00:00:00,OMG/BTC,8.112e-05,8.385e-05,8.056e-05,8.316e-05,10.52796272121677,126598.87832151
1658275200000,2022-07-20 00:00:00,OMG/BTC,8.598e-05,8.715e-05,8.081e-05,8.109e-05,34.084875925758304,420333.89968872
1658188800000,2022-07-19 00:00:00,OMG/BTC,8.635e-05,9.079e-05,8.547e-05,8.597e-05,31.376261368891914,364967.56274156
1658102400000,2022-07-18 00:00:00,OMG/BTC,8.673e-05,8.816e-05,8.57e-05,8.631e-05,21.729688867549662,251763.28197833
1658016000000,2022-07-17 00:00:00,OMG/BTC,8.672e-05,8.77e-05,8.543e-05,8.673e-05,12.737708758682086,146866.23727294
1657929600000,2022-07-16 00:00:00,OMG/BTC,8.5e-05,8.673e-05,8.464e-05,8.668e-05,12.221608511309068,140996.86792004
1657843200000,2022-07-15 00:00:00,OMG/BTC,8.594e-05,8.685e-05,8.382e-05,8.507e-05,18.20277255787234,213974.051462
1657756800000,2022-07-14 00:00:00,OMG/BTC,8.614e-05,8.692e-05,8.442e-05,8.587e-05,14.873850762875565,173213.5875495
1657670400000,2022-07-13 00:00:00,OMG/BTC,8.487e-05,8.71e-05,8.402e-05,8.611e-05,22.314682284694335,259141.58964922
1657584000000,2022-07-12 00:00:00,OMG/BTC,8.501e-05,8.697e-05,8.38e-05,8.482e-05,15.413777068651102,181723.37972944
