https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PAX,Volume USDT,tradecount
1630897200000,2021-09-06 03:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99960000,96634.55000000,96586.70558400,48
1630893600000,2021-09-06 02:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99950000,179130.29000000,179047.54138600,79
1630890000000,2021-09-06 01:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99950000,305656.64000000,305504.62786900,93
1630886400000,2021-09-06 00:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,398311.21000000,398115.33897100,114
1630882800000,2021-09-05 23:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99950000,52264.14000000,52238.27366800,33
1630879200000,2021-09-05 22:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99950000,110226.84000000,110174.77076500,48
1630875600000,2021-09-05 21:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,492734.10000000,492488.00088800,228
1630872000000,2021-09-05 20:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99950000,116446.22000000,116390.64075500,67
1630868400000,2021-09-05 19:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99960000,82632.32000000,82597.57247400,31
1630864800000,2021-09-05 18:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,193341.57000000,193250.28353700,139
1630861200000,2021-09-05 17:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99960000,11347.93000000,11342.49127400,24
1630857600000,2021-09-05 16:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99950000,21565.49000000,21556.60404900,25
1630854000000,2021-09-05 15:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99960000,20354.76000000,20344.63284300,32
1630850400000,2021-09-05 14:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,105238.53000000,105195.37387400,55
1630846800000,2021-09-05 13:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99960000,127886.94000000,127831.20490600,43
1630843200000,2021-09-05 12:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,135860.49000000,135802.87094200,31
1630839600000,2021-09-05 11:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99960000,114121.27000000,114074.33934900,25
1630836000000,2021-09-05 10:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99960000,163166.11000000,163084.64441100,51
1630832400000,2021-09-05 09:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,108587.69000000,108541.45075800,36
1630828800000,2021-09-05 08:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99960000,66020.90000000,65990.73473700,45
1630825200000,2021-09-05 07:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,29513.08000000,29499.07275600,24
1630821600000,2021-09-05 06:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,14789.75000000,14782.45453900,20
1630818000000,2021-09-05 05:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99960000,23063.23000000,23051.83746100,24
1630814400000,2021-09-05 04:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99960000,22528.13000000,22518.78175100,27
1630810800000,2021-09-05 03:00:00,PAX/USDT,0.99940000,0.99980000,0.99940000,0.99950000,858677.95000000,858288.22846200,48
1630807200000,2021-09-05 02:00:00,PAX/USDT,0.99940000,0.99950000,0.99940000,0.99940000,14981.83000000,14973.07865600,11
1630803600000,2021-09-05 01:00:00,PAX/USDT,0.99950000,0.99950000,0.99940000,0.99950000,2911.89000000,2910.21442500,13
1630800000000,2021-09-05 00:00:00,PAX/USDT,0.99940000,0.99950000,0.99940000,0.99950000,23656.41000000,23642.97746000,24
1630796400000,2021-09-04 23:00:00,PAX/USDT,0.99950000,0.99950000,0.99940000,0.99950000,22884.07000000,22871.63829700,21
1630792800000,2021-09-04 22:00:00,PAX/USDT,0.99950000,0.99950000,0.99940000,0.99940000,25193.27000000,25178.74954800,28
1630789200000,2021-09-04 21:00:00,PAX/USDT,0.99950000,0.99950000,0.99940000,0.99940000,18953.71000000,18943.66548600,19
1630785600000,2021-09-04 20:00:00,PAX/USDT,0.99940000,0.99950000,0.99940000,0.99950000,25025.72000000,25012.59923800,25
1630782000000,2021-09-04 19:00:00,PAX/USDT,0.99940000,0.99950000,0.99940000,0.99940000,33127.13000000,33108.78701400,34
1630778400000,2021-09-04 18:00:00,PAX/USDT,0.99950000,0.99960000,0.99940000,0.99950000,937874.18000000,937407.04985900,180
1630774800000,2021-09-04 17:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99950000,60925.10000000,60894.81936400,41
1630771200000,2021-09-04 16:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99950000,101986.74000000,101937.06442600,39
1630767600000,2021-09-04 15:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,65060.39000000,65029.21575100,52
1630764000000,2021-09-04 14:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,69116.63000000,69082.07916600,29
1630760400000,2021-09-04 13:00:00,PAX/USDT,0.99950000,0.99960000,0.99940000,0.99960000,835459.09000000,835065.53011100,165
1630756800000,2021-09-04 12:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99950000,617064.32000000,616757.20358000,106
1630753200000,2021-09-04 11:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99960000,149188.93000000,149116.41457800,47
1630749600000,2021-09-04 10:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99960000,35157.92000000,35142.84571500,39
1630746000000,2021-09-04 09:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99960000,7371.36000000,7368.11275200,13
1630742400000,2021-09-04 08:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99950000,20952.37000000,20943.39231700,19
1630738800000,2021-09-04 07:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,5080.79000000,5078.34974500,21
1630735200000,2021-09-04 06:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,10059.70000000,10055.53756000,16
1630731600000,2021-09-04 05:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99960000,17527.72000000,17519.59980700,23
1630728000000,2021-09-04 04:00:00,PAX/USDT,0.99960000,0.99960000,0.99950000,0.99950000,26710.17000000,26698.26720500,30
1630724400000,2021-09-04 03:00:00,PAX/USDT,0.99950000,0.99960000,0.99950000,0.99960000,132418.71000000,132362.75751600,78
1630720800000,2021-09-04 02:00:00,PAX/USDT,0.99980000,0.99980000,0.99950000,0.99950000,943446.33000000,943112.70636500,57
1630717200000,2021-09-04 01:00:00,PAX/USDT,0.99960000,0.99980000,0.99960000,0.99970000,889507.74000000,889267.76688600,83
1630713600000,2021-09-04 00:00:00,PAX/USDT,0.99960000,0.99970000,0.99960000,0.99960000,29024.73000000,29015.94185700,32
1630710000000,2021-09-03 23:00:00,PAX/USDT,0.99960000,0.99970000,0.99960000,0.99960000,25783.61000000,25774.76443700,22
1630706400000,2021-09-03 22:00:00,PAX/USDT,0.99970000,0.99970000,0.99960000,0.99960000,44602.38000000,44586.22630600,42
