https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SXP,Volume USDT
1663459200,2022-09-18 00:00:00,SXP/USDT,0.3576,0.3576,0.355,0.3554,581.22532143,206.686748411753
1663372800,2022-09-17 00:00:00,SXP/USDT,0.3474,0.3589,0.3474,0.3583,72244.97626525,25545.680252674274
1663286400,2022-09-16 00:00:00,SXP/USDT,0.3421,0.348,0.3381,0.3472,109645.6946728,37556.589960556622
1663200000,2022-09-15 00:00:00,SXP/USDT,0.3578,0.3585,0.3397,0.3427,186073.89669714,64474.912994933559
1663113600,2022-09-14 00:00:00,SXP/USDT,0.3532,0.3608,0.3472,0.3583,182883.49892,64824.671572893419
1663027200,2022-09-13 00:00:00,SXP/USDT,0.3917,0.399,0.3518,0.3526,328614.1759763,122739.616446541901
1662940800,2022-09-12 00:00:00,SXP/USDT,0.3863,0.4005,0.3807,0.3915,273283.67449216,107385.184209923752
1662854400,2022-09-11 00:00:00,SXP/USDT,0.3896,0.3946,0.3786,0.3874,130109.36887762,50462.238739850089
1662768000,2022-09-10 00:00:00,SXP/USDT,0.3872,0.3934,0.3817,0.3892,236154.71558537,91543.549172913115
1662681600,2022-09-09 00:00:00,SXP/USDT,0.3688,0.392,0.3672,0.3871,465058.19396176,177155.899625529391
1662595200,2022-09-08 00:00:00,SXP/USDT,0.3565,0.3689,0.351,0.3684,257466.9485222,92832.009021253849
1662508800,2022-09-07 00:00:00,SXP/USDT,0.3425,0.3586,0.3359,0.3557,476586.23427167,164643.641589053109
1662422400,2022-09-06 00:00:00,SXP/USDT,0.3753,0.3874,0.3424,0.3428,357595.07247677,129307.393819711115
1662336000,2022-09-05 00:00:00,SXP/USDT,0.3834,0.3857,0.3666,0.3744,113417.79475859,42535.617246408989
1662249600,2022-09-04 00:00:00,SXP/USDT,0.3733,0.3834,0.3706,0.3834,131709.74192785,49732.982787993458
1662163200,2022-09-03 00:00:00,SXP/USDT,0.3715,0.3767,0.3671,0.3733,99679.98863952,37140.427727884676
1662076800,2022-09-02 00:00:00,SXP/USDT,0.3758,0.3838,0.3664,0.3719,220047.17226204,82846.137484842631
1661990400,2022-09-01 00:00:00,SXP/USDT,0.3675,0.3764,0.3585,0.3752,269197.56788439,98932.959647359966
1661904000,2022-08-31 00:00:00,SXP/USDT,0.3671,0.3816,0.3667,0.3673,226101.10502547,84689.478276506519
1661817600,2022-08-30 00:00:00,SXP/USDT,0.3775,0.3828,0.3599,0.3664,541790.54137743,201777.571706521003
1661731200,2022-08-29 00:00:00,SXP/USDT,0.358,0.3789,0.3552,0.3778,540902.55977214,198107.859204109948
1661644800,2022-08-28 00:00:00,SXP/USDT,0.361,0.3729,0.3557,0.3564,278732.54224438,101773.387617466434
1661558400,2022-08-27 00:00:00,SXP/USDT,0.3655,0.3674,0.3556,0.3614,251979.45350749,91263.781029277371
1661472000,2022-08-26 00:00:00,SXP/USDT,0.4079,0.4092,0.3606,0.3657,354934.72475405,137914.553226322581
1661385600,2022-08-25 00:00:00,SXP/USDT,0.4053,0.4164,0.4012,0.4084,214421.88236071,87693.143699461801
1661299200,2022-08-24 00:00:00,SXP/USDT,0.4068,0.419,0.3943,0.406,438881.58921781,177977.914407101238
1661212800,2022-08-23 00:00:00,SXP/USDT,0.3976,0.4114,0.3857,0.4066,310002.55638343,124522.054926802681
1661126400,2022-08-22 00:00:00,SXP/USDT,0.3982,0.3984,0.3699,0.3971,228426.59371563,87621.927793003299
1661040000,2022-08-21 00:00:00,SXP/USDT,0.3889,0.403,0.3873,0.3978,199648.06236965,79073.69484189824
1660953600,2022-08-20 00:00:00,SXP/USDT,0.3844,0.4015,0.3804,0.3882,347915.26090995,136454.555452562683
1660867200,2022-08-19 00:00:00,SXP/USDT,0.4342,0.4342,0.3792,0.3832,471206.8227175,189644.225499509742
1660780800,2022-08-18 00:00:00,SXP/USDT,0.4569,0.4613,0.429,0.4342,220845.00128359,99564.038304632691
1660694400,2022-08-17 00:00:00,SXP/USDT,0.4818,0.4963,0.4529,0.4552,278701.9610655,131104.771067602389
1660608000,2022-08-16 00:00:00,SXP/USDT,0.5004,0.505,0.4747,0.4822,291990.41201253,142039.742591794268
1660521600,2022-08-15 00:00:00,SXP/USDT,0.4904,0.5204,0.4849,0.5001,401312.25369351,200686.935738698447
1660435200,2022-08-14 00:00:00,SXP/USDT,0.506,0.5118,0.4825,0.4895,478382.81011791,238307.743291008027
1660348800,2022-08-13 00:00:00,SXP/USDT,0.5004,0.5171,0.4816,0.5066,902146.43891607,448826.241140701628
1660262400,2022-08-12 00:00:00,SXP/USDT,0.4795,0.5035,0.4683,0.501,550251.95248149,268988.352198062882
1660176000,2022-08-11 00:00:00,SXP/USDT,0.4682,0.5053,0.4682,0.4795,470485.46365486,226491.345610433435
1660089600,2022-08-10 00:00:00,SXP/USDT,0.4466,0.4694,0.4344,0.4681,297314.59285061,134894.516823146707
1660003200,2022-08-09 00:00:00,SXP/USDT,0.4735,0.485,0.4385,0.4479,437306.53436104,199629.775683483104
1659916800,2022-08-08 00:00:00,SXP/USDT,0.4648,0.4882,0.4643,0.474,436602.16234394,209088.823187418354
