https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume BTC
1663459200,2022-09-18 00:00:00,AAVE/BTC,0.004049,0.004057,0.004031,0.004044,0.9352,0.0037850274
1663372800,2022-09-17 00:00:00,AAVE/BTC,0.004012,0.004058,0.003994,0.00405,69.6126,0.2798803921
1663286400,2022-09-16 00:00:00,AAVE/BTC,0.003989,0.004067,0.003932,0.004011,354.4199,1.4178683515
1663200000,2022-09-15 00:00:00,AAVE/BTC,0.004131,0.00415,0.00397,0.00399,810.7524,3.2639669511
1663113600,2022-09-14 00:00:00,AAVE/BTC,0.004113,0.004222,0.004086,0.004135,439.191,1.8278348917
1663027200,2022-09-13 00:00:00,AAVE/BTC,0.004065,0.004201,0.003995,0.004114,1262.0646,5.1757089738
1662940800,2022-09-12 00:00:00,AAVE/BTC,0.004195,0.004343,0.00404,0.004065,1262.4297,5.2215218359
1662854400,2022-09-11 00:00:00,AAVE/BTC,0.0043,0.004372,0.004155,0.0042,408.0673,1.737665204
1662768000,2022-09-10 00:00:00,AAVE/BTC,0.004271,0.00436,0.004228,0.004282,368.2326,1.5791576777
1662681600,2022-09-09 00:00:00,AAVE/BTC,0.00457,0.004627,0.004222,0.004261,357.4679,1.568896022
1662595200,2022-09-08 00:00:00,AAVE/BTC,0.004537,0.004656,0.004495,0.00457,349.8203,1.5965757639
1662508800,2022-09-07 00:00:00,AAVE/BTC,0.004432,0.004596,0.00439,0.004534,331.6081,1.4824371945
1662422400,2022-09-06 00:00:00,AAVE/BTC,0.004604,0.004705,0.004412,0.004433,830.957,3.8392815006
1662336000,2022-09-05 00:00:00,AAVE/BTC,0.004443,0.004621,0.004409,0.004602,533.7649,2.4132130835
1662249600,2022-09-04 00:00:00,AAVE/BTC,0.004393,0.004486,0.004377,0.004447,137.0401,0.6072082479
1662163200,2022-09-03 00:00:00,AAVE/BTC,0.00442,0.004436,0.00434,0.004385,173.6029,0.7617768425
1662076800,2022-09-02 00:00:00,AAVE/BTC,0.004299,0.004517,0.004252,0.004441,870.8268,3.8486414451
1661990400,2022-09-01 00:00:00,AAVE/BTC,0.004232,0.004316,0.004155,0.004292,296.2538,1.2501742017
1661904000,2022-08-31 00:00:00,AAVE/BTC,0.004262,0.004352,0.004222,0.004234,276.7489,1.1875828526
1661817600,2022-08-30 00:00:00,AAVE/BTC,0.00423,0.004326,0.00416,0.004265,458.6604,1.9533263081
1661731200,2022-08-29 00:00:00,AAVE/BTC,0.004022,0.004239,0.003989,0.004224,328.0063,1.3518632827
1661644800,2022-08-28 00:00:00,AAVE/BTC,0.004093,0.004146,0.004003,0.004017,267.8423,1.093757601
1661558400,2022-08-27 00:00:00,AAVE/BTC,0.004085,0.004116,0.00403,0.004096,274.9383,1.1202392185
