https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WNCG,Volume BTC
1663459200,2022-09-18 00:00:00,WNCG/BTC,0.000005143,0.000005143,0.000005143,0.000005143,187.9516,0.0009666350788
1663372800,2022-09-17 00:00:00,WNCG/BTC,0.00000505,0.000005416,0.00000498,0.00000516,11824.568,0.0607538510083
1663286400,2022-09-16 00:00:00,WNCG/BTC,0.000004985,0.00000521,0.00000497,0.00000505,1784.2986,0.0091018176141
1663200000,2022-09-15 00:00:00,WNCG/BTC,0.000005044,0.000005374,0.000004925,0.00000501,8402.5409,0.0425687986159
1663113600,2022-09-14 00:00:00,WNCG/BTC,0.00000496,0.000005107,0.00000485,0.000004959,2986.7624,0.0149467216959
1663027200,2022-09-13 00:00:00,WNCG/BTC,0.00000479,0.000004989,0.00000452,0.000004957,15096.2957,0.0710162563319
1662940800,2022-09-12 00:00:00,WNCG/BTC,0.000005,0.000005046,0.00000475,0.00000475,6295.6021,0.0308934792804
1662854400,2022-09-11 00:00:00,WNCG/BTC,0.000005034,0.000005119,0.00000482,0.00000503,9588.6855,0.047513689229
1662768000,2022-09-10 00:00:00,WNCG/BTC,0.00000501,0.00000504,0.00000476,0.00000504,6173.5881,0.0303147198146
1662681600,2022-09-09 00:00:00,WNCG/BTC,0.00000506,0.00000507,0.000004686,0.000004961,21918.4984,0.1063081671815
1662595200,2022-09-08 00:00:00,WNCG/BTC,0.000005289,0.000005369,0.000004917,0.000005069,17305.727,0.0885973843931
1662508800,2022-09-07 00:00:00,WNCG/BTC,0.000005202,0.00000598,0.00000504,0.000005296,58657.4818,0.3233704218632
1662422400,2022-09-06 00:00:00,WNCG/BTC,0.000005093,0.00000528,0.000004844,0.00000514,9959.6932,0.050167181823
1662336000,2022-09-05 00:00:00,WNCG/BTC,0.00000495,0.000005169,0.00000492,0.000005107,2675.4354,0.0134799918895
1662249600,2022-09-04 00:00:00,WNCG/BTC,0.00000503,0.000005173,0.00000492,0.000004925,4885.4716,0.0245630568467
1662163200,2022-09-03 00:00:00,WNCG/BTC,0.00000504,0.000005183,0.000004985,0.00000503,10141.6956,0.0514779963729
1662076800,2022-09-02 00:00:00,WNCG/BTC,0.00000486,0.000005107,0.00000486,0.000004983,10801.5951,0.053920110731
1661990400,2022-09-01 00:00:00,WNCG/BTC,0.000004808,0.000004979,0.00000475,0.00000487,19449.027,0.0945702053356
1661904000,2022-08-31 00:00:00,WNCG/BTC,0.00000513,0.00000513,0.00000473,0.000004754,17583.346,0.0854590750808
1661817600,2022-08-30 00:00:00,WNCG/BTC,0.00000501,0.000005189,0.000004692,0.00000515,22487.8537,0.1100128773709
1661731200,2022-08-29 00:00:00,WNCG/BTC,0.00000482,0.000005107,0.000004808,0.000004925,8155.3138,0.0400693464064
1661644800,2022-08-28 00:00:00,WNCG/BTC,0.000004693,0.000005044,0.000004637,0.000004866,10590.1877,0.0512456250836
1661558400,2022-08-27 00:00:00,WNCG/BTC,0.00000482,0.000004985,0.00000446,0.00000463,63323.3742,0.2952141169729
1661472000,2022-08-26 00:00:00,WNCG/BTC,0.000004841,0.00000501,0.000004509,0.00000484,29067.554,0.1394119963829
1661385600,2022-08-25 00:00:00,WNCG/BTC,0.000004811,0.00000495,0.0000047,0.00000484,13795.5552,0.0667589651674
1661299200,2022-08-24 00:00:00,WNCG/BTC,0.00000494,0.000006197,0.00000465,0.00000477,13984.9623,0.0673971357277
1661212800,2022-08-23 00:00:00,WNCG/BTC,0.00000496,0.00000516,0.000004821,0.00000498,30447.1918,0.1516498563422
1661126400,2022-08-22 00:00:00,WNCG/BTC,0.0000047,0.00000506,0.000004633,0.00000494,38594.173,0.1858237879446
1661040000,2022-08-21 00:00:00,WNCG/BTC,0.000004909,0.00000583,0.00000461,0.00000467,78730.1271,0.3873932430465
1660953600,2022-08-20 00:00:00,WNCG/BTC,0.000004651,0.000005001,0.00000442,0.000004892,50292.8929,0.2381842065461
1660867200,2022-08-19 00:00:00,WNCG/BTC,0.000004611,0.000005001,0.000004498,0.0000047,14414.6742,0.0672798164226
1660780800,2022-08-18 00:00:00,WNCG/BTC,0.00000459,0.00000497,0.00000457,0.00000462,22599.2157,0.1065459289115
1660694400,2022-08-17 00:00:00,WNCG/BTC,0.00000516,0.000005245,0.00000455,0.00000455,54181.1885,0.2657471671645
1660608000,2022-08-16 00:00:00,WNCG/BTC,0.00000489,0.00000513,0.00000486,0.00000513,22311.437,0.1104346017326
1660521600,2022-08-15 00:00:00,WNCG/BTC,0.000005034,0.00000505,0.000004813,0.000004886,19614.9671,0.0969920724626
1660435200,2022-08-14 00:00:00,WNCG/BTC,0.00000507,0.0000051,0.000004903,0.00000501,8705.9475,0.0432486549911
1660348800,2022-08-13 00:00:00,WNCG/BTC,0.00000514,0.00000514,0.000004949,0.00000505,22936.797,0.114756379237
1660262400,2022-08-12 00:00:00,WNCG/BTC,0.000005695,0.00000572,0.000005108,0.000005317,27619.2703,0.1507107313944
1660176000,2022-08-11 00:00:00,WNCG/BTC,0.000005661,0.00000586,0.000005523,0.00000565,32344.2644,0.1824422209372
1660089600,2022-08-10 00:00:00,WNCG/BTC,0.000005489,0.00000589,0.00000548,0.000005723,43025.5637,0.2422151971927
1660003200,2022-08-09 00:00:00,WNCG/BTC,0.000005718,0.000005791,0.00000538,0.00000547,18054.9653,0.1007277338109
1659916800,2022-08-08 00:00:00,WNCG/BTC,0.00000581,0.00000604,0.00000559,0.00000568,31792.3386,0.1855060364448
1659830400,2022-08-07 00:00:00,WNCG/BTC,0.0000059,0.000005973,0.00000576,0.00000577,16153.9582,0.0943639914828
1659744000,2022-08-06 00:00:00,WNCG/BTC,0.00000594,0.000006,0.000005824,0.00000588,14976.7547,0.0886533966007
1659657600,2022-08-05 00:00:00,WNCG/BTC,0.000005939,0.000005999,0.00000589,0.00000594,36075.324,0.2140819932208
1659571200,2022-08-04 00:00:00,WNCG/BTC,0.000005839,0.000006022,0.00000576,0.00000587,19073.5173,0.1110369436745
1659484800,2022-08-03 00:00:00,WNCG/BTC,0.000005825,0.000005999,0.000005758,0.00000579,13143.1573,0.0768808059791
1659398400,2022-08-02 00:00:00,WNCG/BTC,0.00000591,0.00000591,0.000005514,0.000005867,17858.7914,0.102838624278
1659312000,2022-08-01 00:00:00,WNCG/BTC,0.00000591,0.000006138,0.000005883,0.000005925,8710.1777,0.0519201514233
1659225600,2022-07-31 00:00:00,WNCG/BTC,0.0000059,0.000005975,0.00000576,0.00000591,7146.036,0.0418595107288
1659139200,2022-07-30 00:00:00,WNCG/BTC,0.00000586,0.00000641,0.000005804,0.000005804,76386.2466,0.4629348989607
1659052800,2022-07-29 00:00:00,WNCG/BTC,0.00000581,0.000006088,0.000005705,0.00000586,22713.7645,0.1328120860549
1658966400,2022-07-28 00:00:00,WNCG/BTC,0.000005961,0.000006025,0.0000058,0.00000587,10683.8754,0.0630662905432
1658880000,2022-07-27 00:00:00,WNCG/BTC,0.00000617,0.000006886,0.00000593,0.000006,53398.7285,0.3263999763425
1658793600,2022-07-26 00:00:00,WNCG/BTC,0.000005991,0.00000659,0.000005991,0.000006176,63933.283,0.3999067055257
1658707200,2022-07-25 00:00:00,WNCG/BTC,0.00000632,0.000006335,0.000005859,0.00000603,18951.6036,0.1141258207965
1658620800,2022-07-24 00:00:00,WNCG/BTC,0.000006403,0.000006807,0.000006273,0.000006349,5472.8289,0.0359897686387
1658534400,2022-07-23 00:00:00,WNCG/BTC,0.00000627,0.00000662,0.00000626,0.00000643,15857.4253,0.1024430459542
1658448000,2022-07-22 00:00:00,WNCG/BTC,0.0000066,0.000006722,0.000006122,0.000006278,35782.8558,0.2235585733377
1658361600,2022-07-21 00:00:00,WNCG/BTC,0.000006338,0.00000671,0.00000619,0.00000664,8033.0644,0.0515003201958
1658275200,2022-07-20 00:00:00,WNCG/BTC,0.00000672,0.000006897,0.00000626,0.00000627,60499.0529,0.3956145215556
1658188800,2022-07-19 00:00:00,WNCG/BTC,0.00000705,0.00000725,0.000006401,0.000006658,26757.4296,0.1847457067852
1658102400,2022-07-18 00:00:00,WNCG/BTC,0.000007185,0.00000766,0.000006942,0.00000709,39128.8798,0.2877794630727
1658016000,2022-07-17 00:00:00,WNCG/BTC,0.00000711,0.00000775,0.000006696,0.000007381,37866.8673,0.2766030193134
1657929600,2022-07-16 00:00:00,WNCG/BTC,0.00000722,0.000007452,0.000006916,0.00000705,18245.4412,0.1310248256019
1657843200,2022-07-15 00:00:00,WNCG/BTC,0.00000723,0.00000751,0.000007,0.00000722,28949.0737,0.2120762045503
1657756800,2022-07-14 00:00:00,WNCG/BTC,0.00000712,0.000007926,0.00000701,0.000007196,16893.097,0.1221030185664
1657670400,2022-07-13 00:00:00,WNCG/BTC,0.00000746,0.00000755,0.000006915,0.00000709,22748.4456,0.1644598922602
1657584000,2022-07-12 00:00:00,WNCG/BTC,0.000007071,0.000007716,0.000007071,0.00000744,7139.6696,0.0528974108691
1657497600,2022-07-11 00:00:00,WNCG/BTC,0.00000743,0.00000743,0.00000696,0.00000722,19184.2835,0.1392165921854
